"","x"
"1",1e-15
"2",1e-15
"3",1e-15
"4",1e-15
"5",1e-15
"6",5.49727800662758e-05
"7",5.84251250135281e-06
"8",1e-15
"9",1e-15
"10",1e-15
"11",1e-15
"12",1e-15
"13",1e-15
"14",1e-15
"15",0.00128705421427078
"16",1e-15
"17",1e-15
"18",1e-15
"19",1e-15
"20",1e-15
"21",1e-15
"22",1e-15
"23",6.67637560491929e-06
"24",1e-15
"25",0.000541213018620201
"26",1e-15
"27",1e-15
"28",0.00162169352784358
"29",1e-15
"30",1e-15
"31",1e-15
"32",1e-15
"33",1e-15
"34",1e-15
"35",0.0051330335802463
"36",1e-15
"37",0.00612899254219634
"38",1e-15
"39",0.000324103168499179
"40",1e-15
"41",0.00176156642025471
"42",0.00262940666017975
"43",1e-15
"44",1e-15
"45",1e-15
"46",6.25046449316269e-05
"47",0.00119486530942747
"48",1e-15
"49",6.46973110534077e-05
"50",1e-15
"51",1e-15
"52",0.000232239449001637
"53",1e-15
"54",1.0525364663283e-05
"55",0.000105692927277024
"56",0.000283522868768205
"57",1e-15
"58",1e-15
"59",1e-15
"60",0.00989642725069173
"61",1e-15
"62",1e-15
"63",1e-15
"64",1e-15
"65",1e-15
"66",1e-15
"67",1e-15
"68",1.17941646549102e-06
"69",1.84828607857623e-05
"70",1e-15
"71",0.000458784289234959
"72",0.000111247115745949
"73",6.06689047029096e-05
"74",4.49724204153457e-05
"75",1e-15
"76",1e-15
"77",3.03219842912039e-06
"78",0.017878208601259
"79",1e-15
"80",0.000505907807793582
"81",1e-15
"82",0.0134608280129067
"83",1e-15
"84",1e-15
"85",3.37719936682745e-07
"86",1e-15
"87",1e-15
"88",3.50391729115884e-05
"89",1e-15
"90",1e-15
"91",1e-15
"92",1e-15
"93",1e-15
"94",5.3329945363001e-05
"95",1e-15
"96",1e-15
"97",0.00483947159933984
"98",0.000763078634081538
"99",0.0171742403719292
"100",0.0104730976217682
"101",2.01272314854783e-05
"102",7.22967091648652e-06
"103",1e-15
"104",0.00675938553095623
"105",0.000124581710595706
"106",1e-15
"107",1e-15
"108",0.0004185154451537
"109",1e-15
"110",3.72131194437131e-06
"111",1e-15
"112",1e-15
"113",9.79556721455443e-05
"114",1e-15
"115",0.000131124004052907
"116",1e-15
"117",1e-15
"118",0.0104598534962217
"119",1e-15
"120",1e-15
"121",3.12037153525901e-05
"122",2.18588590609192e-05
"123",1e-15
"124",1e-15
"125",4.86385250297872e-06
"126",1e-15
"127",1e-15
"128",0.0260064826941597
"129",1e-15
"130",1e-15
"131",1e-15
"132",1e-15
"133",1e-15
"134",1e-15
"135",1e-15
"136",1e-15
"137",1e-15
"138",1e-15
"139",1e-15
"140",0.00959935042408799
"141",0.00512515236163269
"142",1e-15
"143",1.68045403677874e-05
"144",1e-15
"145",0.000178263814738289
"146",8.11469015005173e-06
"147",1e-15
"148",1e-15
"149",1e-15
"150",1e-15
"151",1e-15
"152",4.01162702091673e-05
"153",1e-15
"154",1e-15
"155",1e-15
"156",1e-15
"157",1e-15
"158",1e-15
"159",0.0140468523127326
"160",1e-15
"161",4.96151064677264e-09
"162",1e-15
"163",1e-15
"164",4.64045779802191e-06
"165",6.06686340831608e-07
"166",0.000194166566394816
"167",1e-15
"168",7.5759441832135e-06
"169",1e-15
"170",1e-15
"171",1e-15
"172",1e-15
"173",1e-15
"174",1e-15
"175",1e-15
"176",1e-15
"177",1e-15
"178",1e-15
"179",6.96990120852004e-06
"180",1e-15
"181",1e-15
"182",1e-15
"183",1e-15
"184",1e-15
"185",1e-15
"186",1e-15
"187",1e-15
"188",1e-15
"189",2.69844887157422e-06
"190",1e-15
"191",1e-15
"192",1e-15
"193",3.80414720113631e-06
"194",1e-15
"195",1e-15
"196",0.00723760833458997
"197",2.85626857469135e-05
"198",1e-15
"199",1e-15
"200",1.49801537455696e-05
"201",1e-15
"202",1.53275124006313e-05
"203",1e-15
"204",1e-15
"205",1e-15
"206",1.50158265335154e-05
"207",1e-15
"208",1e-15
"209",1e-15
"210",1e-15
"211",1e-15
"212",0.000636191071223258
"213",0.0535508606691883
"214",2.66493999682149e-05
"215",7.90964392205495e-07
"216",1e-15
"217",1e-15
"218",1e-15
"219",1e-15
"220",1e-15
"221",0.000512884086039778
"222",1e-15
"223",1e-15
"224",0.000224414597906786
"225",1.08883220510947e-05
"226",1e-15
"227",1.05965534125119e-07
"228",1e-15
"229",1e-15
"230",1e-15
"231",0.00916904803775709
"232",0.000223940756246321
"233",0.00556442209336472
"234",0.00805010993609279
"235",4.83614207504868e-05
"236",1e-15
"237",1e-15
"238",1e-15
"239",3.29941694965363e-07
"240",3.2634557659561e-06
"241",8.19126814208815e-05
"242",1e-15
"243",0.000339032398592898
"244",1e-15
"245",1e-15
"246",1e-15
"247",1e-15
"248",1e-15
"249",0.000555914181313621
"250",0.000670862647609849
"251",1e-15
"252",0.00116374227284521
"253",1e-15
"254",0.000425266187206286
"255",1e-15
"256",1e-15
"257",2.73466177269643e-06
"258",1e-15
"259",1e-15
"260",1e-15
"261",1e-15
"262",1e-15
"263",1e-15
"264",1e-15
"265",1e-15
"266",1e-15
"267",8.08120737788576e-05
"268",1e-15
"269",1e-15
"270",1e-15
"271",1e-15
"272",1e-15
"273",1e-15
"274",1e-15
"275",1.83364136596698e-06
"276",1e-15
"277",1e-15
"278",9.44104312727845e-07
"279",9.49423034933838e-05
"280",1.07323505349477e-06
"281",1e-15
"282",1e-15
"283",1e-15
"284",1e-15
"285",1e-15
"286",0.0100463209007888
"287",1e-15
"288",1e-15
"289",1e-15
"290",1e-15
"291",0.00198351097448224
"292",1e-15
"293",0.00175300766500153
"294",1e-15
"295",1e-15
"296",1e-15
"297",5.99312069338165e-06
"298",1e-15
"299",1e-15
"300",1e-15
"301",1e-15
"302",5.16481070432784e-05
"303",1e-15
"304",1e-15
"305",1e-15
"306",1e-15
"307",1e-15
"308",0.000357089990259962
"309",1e-15
"310",1e-15
"311",1e-15
"312",1e-15
"313",1e-15
"314",1e-15
"315",1e-15
"316",1e-15
"317",1e-15
"318",1e-15
"319",1e-15
"320",0.0317008223075099
"321",1e-15
"322",1e-15
"323",2.94296605796163e-06
"324",1e-15
"325",0.000181542952711666
"326",1e-15
"327",1e-15
"328",1e-15
"329",1e-15
"330",1e-15
"331",1e-15
"332",4.11603675067873e-05
"333",1e-15
"334",2.0428686680618e-05
"335",1e-15
"336",1e-15
"337",1e-15
"338",1e-15
"339",1e-15
"340",6.49182257828063e-06
"341",0.000123917206455437
"342",1e-15
"343",1e-15
"344",0.00198313378032977
"345",1e-15
"346",1e-15
"347",1e-15
"348",1e-15
"349",1e-15
"350",1e-15
"351",1.6026796614943e-05
"352",1e-15
"353",1e-15
"354",0.00028868865940368
"355",1e-15
"356",1e-15
"357",1e-15
"358",1e-15
"359",1e-15
"360",1e-15
"361",1e-15
"362",0.00174502603336057
"363",1e-15
"364",4.51702323422953e-06
"365",1e-15
"366",1e-15
"367",0.0597801133612272
"368",1e-15
"369",1e-15
"370",2.18906460403012e-07
"371",0.000315342344367142
"372",1e-15
"373",1e-15
"374",0.00491523399538896
"375",0.000120719765567823
"376",1e-15
"377",1e-15
"378",1e-15
"379",0.00152097239636295
"380",1e-15
"381",1e-15
"382",1e-15
"383",1e-15
"384",0.000703936661680227
"385",1e-15
"386",0.000366231108928861
"387",1e-15
"388",1e-15
"389",0.00128038978144451
"390",1e-15
"391",1e-15
"392",1e-15
"393",1e-15
"394",1e-15
"395",1e-15
"396",1e-15
"397",0.00438654357567125
"398",3.3288720424629e-07
"399",1e-15
"400",1e-15
"401",1.39516657420291e-05
"402",1e-15
"403",1e-15
"404",1e-15
"405",1e-15
"406",1e-15
"407",1e-15
"408",1.94510348007215e-05
"409",1e-15
"410",1e-15
"411",0.000673221762651277
"412",1e-15
"413",1e-15
"414",2.16556248259225e-05
"415",1e-15
"416",1e-15
"417",1e-15
"418",1e-15
"419",1e-15
"420",1e-15
"421",0.000212155006476977
"422",9.19218796191501e-06
"423",1e-15
"424",1e-15
"425",1e-15
"426",6.57342495352653e-05
"427",0.00049102802249279
"428",1.08990556049182e-05
"429",1e-15
"430",7.88587405097241e-05
"431",1e-15
"432",1e-15
"433",0.000631073047399511
"434",1e-15
"435",1e-15
"436",1e-15
"437",1e-15
"438",2.79300601983001e-05
"439",1e-15
"440",1e-15
"441",1e-15
"442",1e-15
"443",1e-15
"444",3.14900428123321e-05
"445",1e-15
"446",1e-15
"447",1e-15
"448",1e-15
"449",1e-15
"450",1e-15
"451",1e-15
"452",1e-15
"453",1e-15
"454",1e-15
"455",1e-15
"456",1e-15
"457",1e-15
"458",1e-15
"459",1e-15
"460",1e-15
"461",1e-15
"462",1e-15
"463",5.83772031633734e-05
"464",3.34765709508744e-06
"465",1e-15
"466",9.59994150462329e-06
"467",1e-15
"468",1e-15
"469",1e-15
"470",4.24283576690998e-05
"471",1e-15
"472",1e-15
"473",1e-15
"474",1e-15
"475",1e-15
"476",1e-15
"477",1e-15
"478",0.00989559965036146
"479",1e-15
"480",1e-15
"481",1e-15
"482",1e-15
"483",1e-15
"484",2.62176800036595e-06
"485",1e-15
"486",1e-15
"487",1e-15
"488",1e-15
"489",7.68807414810446e-05
"490",1e-15
"491",0.0343836418859674
"492",0.00028619169533084
"493",1e-15
"494",1e-15
"495",0.000309153211762281
"496",1e-15
"497",1e-15
"498",1e-15
"499",1e-15
"500",1e-15
"501",1e-15
"502",0.0387149666830403
"503",1e-15
"504",1e-15
"505",1e-15
"506",1e-15
"507",1e-15
"508",1e-15
"509",0.000712260761784878
"510",1e-15
"511",1e-15
"512",1e-15
"513",1.71180499963786e-06
"514",3.71671988529387e-05
"515",1e-15
"516",1e-15
"517",0.000101736313477763
"518",3.21032291250578e-06
"519",1e-15
"520",1e-15
"521",1e-15
"522",1e-15
"523",2.15922050528228e-06
"524",0.000577095196099608
"525",1e-15
"526",1e-15
"527",1e-15
"528",3.68581286114278e-06
"529",1e-15
"530",9.67963049801623e-05
"531",0.00192210735979848
"532",1e-15
"533",0.0033882490030035
"534",0.0145444908168556
"535",0.000105868826069555
"536",1e-15
"537",1e-15
"538",1e-15
"539",1e-15
"540",1e-15
"541",1e-15
"542",1e-15
"543",1e-15
"544",4.84064041414989e-05
"545",1e-15
"546",1e-15
"547",1e-15
"548",1.72479511085788e-05
"549",1.07600564087651e-05
"550",0.000754226108715894
"551",0.000595796931940229
"552",1e-15
"553",1e-15
"554",0.000894489038474111
"555",0.00915054048689246
"556",1e-15
"557",1e-15
"558",1e-15
"559",1e-15
"560",1e-15
"561",1e-15
"562",4.96768420020777e-05
"563",1e-15
"564",1e-15
"565",0.00530871337072647
"566",1e-15
"567",4.39720211783401e-05
"568",1e-15
"569",1e-15
"570",1e-15
"571",1e-15
"572",1e-15
"573",1e-15
"574",1e-15
"575",6.54483875084377e-06
"576",5.49028053253853e-05
"577",1e-15
"578",1e-15
"579",1e-15
"580",1e-15
"581",0.00086725283150979
"582",1e-15
"583",1e-15
"584",1e-15
"585",1e-15
"586",0.000699478783059537
"587",1e-15
"588",1.48023147051868e-05
"589",1e-15
"590",1.52742447465659e-05
"591",1e-15
"592",0.000135623726435607
"593",1e-15
"594",1e-15
"595",1e-15
"596",1e-15
"597",0.0273631416111164
"598",2.49396993523554e-06
"599",0.0139054769402738
"600",8.95208342200915e-05
"601",1e-15
"602",1e-15
"603",1e-15
"604",1e-15
"605",1e-15
"606",0.00642992555749
"607",1e-15
"608",1e-15
"609",1e-15
"610",1e-15
"611",0.000392175431051411
"612",1e-15
"613",1e-15
"614",8.17165758704164e-06
"615",1e-15
"616",1e-15
"617",1e-15
"618",1e-15
"619",1e-15
"620",0.00263106881779185
"621",1e-15
"622",1e-15
"623",1e-15
"624",1e-15
"625",3.06971276287094e-07
"626",0.00838886611562739
"627",5.95842907236133e-08
"628",1e-15
"629",1e-15
"630",1e-15
"631",1e-15
"632",0.00598674090781237
"633",1.91596659948612e-06
"634",1e-15
"635",0.0025808090891587
"636",1e-15
