"","x"
"1",1e-15
"2",1e-15
"3",1e-15
"4",1e-15
"5",5.85163177462267e-05
"6",1e-15
"7",1e-15
"8",1e-15
"9",1e-15
"10",0.000152631008030979
"11",1e-15
"12",1e-15
"13",0.00811332078790283
"14",1e-15
"15",1e-15
"16",0.0026588901471708
"17",0.00440376781042062
"18",0.00145159652529081
"19",0.000226359708340729
"20",1.26657168040278e-05
"21",1e-15
"22",0.000682006214133724
"23",1e-15
"24",1e-15
"25",1e-15
"26",1e-15
"27",1e-15
"28",1e-15
"29",1e-15
"30",1e-15
"31",1.9607658361398e-06
"32",5.93008051323896e-05
"33",0.00118634258196348
"34",1.64826457177414e-05
"35",1e-15
"36",1e-15
"37",1e-15
"38",1e-15
"39",1e-15
"40",1e-15
"41",1e-15
"42",1e-15
"43",1e-15
"44",0.000107574617439599
"45",7.39497747314077e-05
"46",1e-15
"47",1e-15
"48",1e-15
"49",1e-15
"50",1e-15
"51",1e-15
"52",6.99443120696364e-05
"53",1e-15
"54",1e-15
"55",1e-15
"56",1e-15
"57",1e-15
"58",1e-15
"59",1e-15
"60",1e-15
"61",1e-15
"62",1e-15
"63",3.56774024778961e-06
"64",1e-15
"65",1e-15
"66",1e-15
"67",1e-15
"68",1e-15
"69",1e-15
"70",0.00188788789770877
"71",1e-15
"72",1e-15
"73",0.0409723744323662
"74",1e-15
"75",1e-15
"76",0.00657166728605896
"77",1e-15
"78",1e-15
"79",1e-15
"80",1e-15
"81",1e-15
"82",1e-15
"83",0.0015689213820137
"84",0.000570419101973196
"85",1e-15
"86",1e-15
"87",1e-15
"88",0.00403889578311256
"89",1e-15
"90",1e-15
"91",7.18062932758556e-06
"92",1e-15
"93",1e-15
"94",1.01634283389274e-06
"95",1e-15
"96",7.76843707361863e-07
"97",1e-15
"98",0.00138496618043427
"99",1e-15
"100",0.000155926509767257
"101",1e-15
"102",1e-15
"103",1e-15
"104",0.0480522738272718
"105",0.00116786076733899
"106",0.00015808478422763
"107",1e-15
"108",0.00058084921371615
"109",1e-15
"110",1e-15
"111",0.000469475333028768
"112",1e-15
"113",6.53628659382788e-05
"114",1e-15
"115",1e-15
"116",1e-15
"117",1e-15
"118",5.55278785686619e-05
"119",1e-15
"120",2.13501102592772e-05
"121",1e-15
"122",1e-15
"123",1e-15
"124",1e-15
"125",0.00030565950595296
"126",0.00608019831205464
"127",3.18722311597464e-05
"128",0.00444491562914207
"129",0.00223222310676074
"130",0.000220282411332984
"131",0.00344441944158258
"132",0.00331822028914708
"133",0.00138210109137216
"134",1.81533189327343e-05
"135",1e-15
"136",2.62012916962817e-06
"137",1e-15
"138",1e-15
"139",0.00152990255659058
"140",1e-15
"141",1e-15
"142",1e-15
"143",1e-15
"144",1e-15
"145",1e-15
"146",1e-15
"147",1e-15
"148",5.492348155689e-05
"149",1e-15
"150",1e-15
"151",1e-15
"152",0.00150334515166584
"153",0.00253885149572108
"154",1e-15
"155",1e-15
"156",6.48652264401139e-06
"157",1e-15
"158",2.44307519768894e-05
"159",1e-15
"160",1e-15
"161",1e-15
"162",0.000135623665880935
"163",0.00412585784866859
"164",1e-15
"165",0.0386174454712156
"166",1e-15
"167",1e-15
"168",1e-15
"169",1e-15
"170",1.4218891882245e-05
"171",1e-15
"172",0.00210717655694126
"173",1e-15
"174",1e-15
"175",1e-15
"176",1e-15
"177",1e-15
"178",0.000344528228972685
"179",1e-15
"180",1e-15
"181",1e-15
"182",1e-15
"183",1e-15
"184",0.00112546085185306
"185",1e-15
"186",5.09345823961338e-05
"187",1e-15
"188",1e-15
"189",1e-15
"190",0.0157750826580748
"191",1e-15
"192",1e-15
"193",1e-15
"194",1e-15
"195",1e-15
"196",2.90046527329224e-06
"197",1e-15
"198",1e-15
"199",1e-15
"200",1e-15
"201",1e-15
"202",0.000189616838738638
"203",1e-15
"204",1.21354803095386e-07
"205",6.80878559639053e-05
"206",8.01897339686164e-06
"207",1e-15
"208",0.000174501177097053
"209",3.39753267826204e-05
"210",0.00863760135464142
"211",1e-15
"212",1e-15
"213",2.01226841030078e-05
"214",9.02406832481439e-07
"215",1e-15
"216",0.0159357154711209
"217",1e-15
"218",1e-15
"219",1e-15
"220",1e-15
"221",0.00284442248653882
"222",1e-15
"223",1e-15
"224",1e-15
"225",1e-15
"226",1e-15
"227",0.00287189179070779
"228",3.46868395715294e-05
"229",1.33885763253794e-07
"230",1e-15
"231",1e-15
"232",1e-15
"233",1e-15
"234",1e-15
"235",0.000367869615405358
"236",1e-15
"237",1e-15
"238",0.00011618080045106
"239",1e-15
"240",1e-15
"241",1e-15
"242",1e-15
"243",1e-15
"244",1e-15
"245",1e-15
"246",0.000861439294870037
"247",2.82873718449039e-07
"248",1e-15
"249",1e-15
"250",1e-15
"251",1e-15
"252",0.00063374028928842
"253",0.00204820852607779
"254",1e-15
"255",1e-15
"256",1e-15
"257",1.68730907728065e-05
"258",1e-15
"259",0.000148547810461586
"260",0.000178761131188421
"261",1e-15
"262",1.21161272570447e-07
"263",1e-15
"264",0.00799282010785607
"265",0.00145041166558146
"266",1e-15
"267",1e-15
"268",0.000539601388228172
"269",1e-15
"270",1e-15
"271",1e-15
"272",1e-15
"273",1.84235050459947e-06
"274",1e-15
"275",9.40268518025977e-05
"276",0.000708641921606357
"277",1e-15
"278",1e-15
"279",1e-15
"280",1e-15
"281",0.00471238770766647
"282",1e-15
"283",1e-15
"284",1e-15
"285",1e-15
"286",1e-15
"287",1e-15
"288",1e-15
"289",1e-15
"290",1e-15
"291",1e-15
"292",1e-15
"293",1e-15
"294",1e-15
"295",2.7863010872764e-05
"296",1e-15
"297",1e-15
"298",0.000738758523416538
"299",7.94036772775453e-05
"300",0.00201192291058294
"301",1e-15
"302",1e-15
"303",0.00618239232594608
"304",1e-15
"305",1e-15
"306",2.49434510978253e-05
"307",1e-15
"308",1e-15
"309",6.97316170472639e-07
"310",0.000318538303053062
"311",0.00159617018651081
"312",0.000183800084959551
"313",1e-15
"314",0.000159958585293385
"315",1e-15
"316",1e-15
"317",4.20656260269325e-07
"318",0.000114091397234284
"319",1e-15
"320",1e-15
"321",1e-15
"322",0.000434320977067859
"323",1e-15
"324",1e-15
"325",1e-15
"326",1e-15
"327",1e-15
"328",1.93225841693678e-06
"329",0.00267929560253688
"330",1e-15
"331",1e-15
"332",1e-15
"333",0.000263364681076017
"334",1e-15
"335",1e-15
"336",1e-15
"337",1e-15
"338",0.000175185334084227
"339",1e-15
"340",0.00375404251908129
"341",1e-15
"342",1e-15
"343",1e-15
"344",1e-15
"345",1e-15
"346",1e-15
"347",1e-15
"348",1e-15
"349",0.0131377950615368
"350",1e-15
"351",2.14585315316818e-05
"352",1e-15
"353",1.59414899159049e-06
"354",0.000496371928324746
"355",1e-15
"356",1e-15
"357",1e-15
"358",1e-15
"359",1e-15
"360",1e-15
"361",1e-15
"362",1e-15
"363",1e-15
"364",4.4809166094617e-05
"365",1e-15
"366",0.00290123764231098
"367",1e-15
"368",1e-15
"369",1.53314623512202e-05
"370",1e-15
"371",1e-15
"372",0.00166771862592852
"373",1e-15
"374",1e-15
"375",1e-15
"376",1e-15
"377",2.49373907222905e-05
"378",1e-15
"379",3.17277757168055e-05
"380",1e-15
"381",1e-15
"382",1e-15
"383",1e-15
"384",1e-15
"385",1e-15
"386",1e-15
"387",1e-15
"388",0.000512551053070687
"389",2.24872956466893e-06
"390",0.000414569619724747
"391",1e-15
"392",0.00482307175304642
"393",1e-15
"394",1e-15
"395",1e-15
"396",1e-15
"397",3.18346681061898e-05
"398",2.26617418075392e-06
"399",1e-15
"400",1e-15
"401",0.00770998275788115
"402",1e-15
"403",2.59823261213876e-05
"404",7.93200586057807e-06
"405",1e-15
"406",1e-15
"407",1e-15
"408",1e-15
"409",1e-15
"410",2.32809072184814e-05
"411",1e-15
"412",1e-15
"413",4.04548423760254e-07
"414",1e-15
"415",1e-15
"416",1e-15
"417",6.15149419214145e-06
"418",1e-15
"419",1.31525549538214e-05
"420",1e-15
"421",1e-15
"422",1e-15
"423",0.00163496918616624
"424",1e-15
"425",0.00086660272690664
"426",0.000814359977752477
"427",0.0303590698630251
"428",1e-15
"429",0.00142148131048603
"430",0.009832327547039
"431",1e-15
"432",1e-15
"433",1e-15
"434",0.000627398086926356
"435",1e-15
"436",1e-15
"437",7.12424179361015e-06
"438",1e-15
"439",1e-15
"440",1e-15
"441",1e-15
"442",1e-15
"443",1e-15
"444",1e-15
"445",1e-15
"446",1e-15
"447",0.0901765687766755
"448",0.0291784621379741
"449",0.000126167259137611
"450",1e-15
"451",1e-15
"452",0.000126547294421631
"453",1e-15
"454",1e-15
"455",0.00104433780918367
"456",1.22507183678566e-05
"457",1e-15
"458",7.81493274160105e-06
"459",1e-15
"460",1e-15
"461",2.74573455938398e-06
"462",1e-15
"463",1e-15
"464",1e-15
"465",2.44141003625797e-05
"466",1e-15
"467",0.000904361618171312
"468",0.00145104589747935
"469",1e-15
"470",1e-15
"471",3.439993603227e-05
"472",1e-15
"473",0.000277093688745067
"474",1e-15
"475",1e-15
"476",1e-15
"477",1e-15
"478",1e-15
"479",1e-15
"480",1e-15
"481",1e-15
"482",1e-15
"483",1e-15
"484",0.00101934059961539
"485",1e-15
"486",1e-15
"487",0.000372635792730058
"488",1e-15
"489",1e-15
"490",2.55714102771476e-05
"491",1e-15
"492",1e-15
"493",4.28640437947214e-05
"494",1e-15
"495",1e-15
"496",1e-15
"497",1e-15
"498",1e-15
"499",0.000266816631364075
"500",1e-15
"501",1e-15
"502",0.00113889126231903
"503",1e-15
"504",1e-15
"505",1e-15
"506",1e-15
"507",1e-15
"508",1e-15
"509",6.13188717338842e-05
"510",1e-15
"511",3.39434137930361e-06
"512",7.33531293850564e-06
"513",1e-15
"514",1e-15
"515",5.09210142196626e-06
"516",4.56847663654614e-05
"517",1e-15
"518",1e-15
"519",0.00162216685312822
"520",1e-15
"521",0.000340099562527785
"522",1e-15
"523",0.000179557441502665
"524",1e-15
"525",1e-15
"526",0.0132944441552559
"527",0.000206042492008396
"528",4.11294854041344e-06
"529",1e-15
"530",0.0010498463832207
"531",1e-15
"532",1e-15
"533",1e-15
"534",1e-15
"535",1e-15
"536",1e-15
"537",1e-15
"538",0.000199967042621929
"539",3.57424140029483e-05
"540",1e-15
"541",1e-15
"542",1e-15
"543",1e-15
"544",0.000657875785738948
"545",1e-15
"546",1e-15
"547",1e-15
"548",1e-15
"549",1e-15
"550",6.61616692798628e-05
"551",0.00102659359180224
"552",1e-15
"553",1e-15
"554",1e-15
"555",1e-15
"556",1e-15
"557",0.00648512644302335
"558",1e-15
"559",1e-15
"560",1e-15
"561",1e-15
"562",1.92451767333512e-06
"563",1.77176888938035e-07
"564",1.20308247953949e-05
"565",1e-15
"566",1e-15
"567",1e-15
"568",0.000808077419328423
"569",1e-15
"570",1e-15
"571",0.000356199341432495
"572",0.0154881472726364
"573",0.000268420217250154
"574",1e-15
"575",1e-15
"576",1e-15
"577",5.13324346108623e-05
"578",1.18728507203514e-06
"579",1e-15
"580",1.11469713709456e-05
"581",0.000107584531886973
"582",1e-15
"583",1e-15
"584",1e-15
"585",1e-15
"586",1e-15
"587",1e-15
"588",0.00800774659499159
"589",0.000229248587105157
"590",0.00106994324787135
"591",1e-15
"592",1e-15
"593",6.02981684783011e-05
"594",0.0136699778464913
"595",1e-15
"596",1e-15
"597",1e-15
"598",0.00506228617024185
"599",2.50706228761555e-05
"600",1e-15
"601",0.000202459753206985
"602",0.00126968623354184
"603",1e-15
"604",0.00133658471312192
"605",0.00237951271552994
"606",0.00540817659617765
"607",1e-15
"608",1e-15
"609",1e-15
"610",1e-15
"611",1e-15
"612",0.00378418964732319
"613",1e-15
"614",7.64281974214853e-05
"615",1e-15
"616",0.000116012490065764
"617",1e-15
"618",1e-15
"619",1e-15
"620",1e-15
"621",1e-15
"622",1.77154959095649e-05
"623",8.95293813842901e-05
"624",1e-15
"625",0.00188655192038811
"626",1e-15
"627",0.000289853841794141
"628",1e-15
"629",1e-15
