"","x"
"1",1e-15
"2",1e-15
"3",1e-15
"4",3.46182849192411e-05
"5",1e-15
"6",0.000190163849457026
"7",2.84241022552312e-06
"8",1e-15
"9",7.8440314577044e-08
"10",3.32678066519154e-05
"11",7.05732089656408e-07
"12",4.52536563777528e-09
"13",1e-15
"14",1e-15
"15",0.000507716821113835
"16",3.41239858292486e-06
"17",1e-15
"18",1e-15
"19",1e-15
"20",1e-15
"21",1e-15
"22",1.11108120562919e-05
"23",0.00724555362074675
"24",1e-15
"25",1e-15
"26",1e-15
"27",1e-15
"28",1e-15
"29",0.00357709986658572
"30",1e-15
"31",1e-15
"32",1e-15
"33",1e-15
"34",1e-15
"35",1e-15
"36",1e-15
"37",2.17651623649617e-05
"38",0.00118488899283897
"39",1e-15
"40",0.00514382947497127
"41",1e-15
"42",1e-15
"43",1e-15
"44",0.000100773007299826
"45",4.95574231018647e-06
"46",1e-15
"47",1e-15
"48",1e-15
"49",0.000126926179267239
"50",1e-15
"51",1e-15
"52",1e-15
"53",1e-15
"54",1e-15
"55",1e-15
"56",1e-15
"57",1e-15
"58",0.000266354819853376
"59",1e-15
"60",1e-15
"61",1e-15
"62",0.000471152722694934
"63",1e-15
"64",0.00121387666118411
"65",1e-15
"66",0.00357142124585608
"67",7.57705969411937e-06
"68",0.0044378570465311
"69",2.86236731054101e-05
"70",1e-15
"71",1e-15
"72",1.30137802689667e-06
"73",1e-15
"74",2.81255528712387e-05
"75",1e-15
"76",1e-15
"77",1e-15
"78",0.000129470177931412
"79",1e-15
"80",1e-15
"81",2.7074784842207e-05
"82",0.00378788783626816
"83",0.000278567245650119
"84",1e-15
"85",1e-15
"86",1e-15
"87",1e-15
"88",9.71602750921008e-07
"89",0.00167362830929962
"90",0.000154245695946909
"91",1e-15
"92",1.42599509801444e-05
"93",1e-15
"94",1e-15
"95",1e-15
"96",1e-15
"97",1e-15
"98",4.36622477972826e-06
"99",2.44834178753095e-05
"100",1e-15
"101",1e-15
"102",1e-15
"103",1e-15
"104",1e-15
"105",1e-15
"106",9.11509855315851e-05
"107",1e-15
"108",1e-15
"109",0.000116181592090037
"110",3.84543191506159e-05
"111",1e-15
"112",1e-15
"113",1e-15
"114",0.00864761626702493
"115",2.36162766009684e-06
"116",0.000318008981985085
"117",2.75795376459831e-05
"118",1e-15
"119",7.59245094169581e-05
"120",1e-15
"121",1e-15
"122",0.000358738426924021
"123",1e-15
"124",1e-15
"125",2.16354997982782e-05
"126",0.000822153339484655
"127",1e-15
"128",1e-15
"129",1.1978439992566e-05
"130",4.44349661621324e-07
"131",1e-15
"132",1e-15
"133",1e-15
"134",1e-15
"135",1e-15
"136",1.98237145698776e-05
"137",1e-15
"138",1e-15
"139",1e-15
"140",1e-15
"141",1e-15
"142",1e-15
"143",0.000183957912684884
"144",1e-15
"145",1e-15
"146",7.79648385296206e-06
"147",1.33365646574068e-05
"148",1e-15
"149",5.45906571840504e-05
"150",0.0151188679857656
"151",1e-15
"152",1e-15
"153",1e-15
"154",2.05805102744261e-05
"155",1e-15
"156",1e-15
"157",7.86252060791526e-07
"158",1e-15
"159",1e-15
"160",1e-15
"161",1e-15
"162",1e-15
"163",1e-15
"164",0.000324876674441255
"165",0.000190191179459287
"166",0.000126212298132922
"167",1e-15
"168",0.00131209818883093
"169",1e-15
"170",1e-15
"171",1e-15
"172",1e-15
"173",1e-15
"174",1.37425199766561e-05
"175",1e-15
"176",1e-15
"177",3.81469984355176e-05
"178",1e-15
"179",1e-15
"180",0.009535481772601
"181",9.19554408063128e-07
"182",7.85868232011655e-06
"183",1e-15
"184",0.0173677799280003
"185",8.65476494551487e-05
"186",0.000534326999225176
"187",1e-15
"188",1e-15
"189",1e-15
"190",0.000192819604992955
"191",0.0147180721615717
"192",0.000148146684023187
"193",1e-15
"194",0.00095140690211859
"195",5.56239132698533e-06
"196",1e-15
"197",6.53712981988352e-05
"198",1e-15
"199",0.00325343022973557
"200",1e-15
"201",1e-15
"202",1e-15
"203",1e-15
"204",1e-15
"205",1e-15
"206",1e-15
"207",1e-15
"208",0.00090680363305895
"209",1e-15
"210",2.37760941995679e-05
"211",1e-15
"212",1e-15
"213",1e-15
"214",1e-15
"215",2.92262133552157e-05
"216",1e-15
"217",2.52974985170962e-05
"218",0.000311535547185104
"219",2.21601283190154e-06
"220",1e-15
"221",1e-15
"222",0.000333315516066301
"223",1e-15
"224",1e-15
"225",1e-15
"226",1e-15
"227",1e-15
"228",1e-15
"229",1e-15
"230",1e-15
"231",1e-15
"232",1e-15
"233",5.65097666505032e-06
"234",1e-15
"235",1e-15
"236",1e-15
"237",1e-15
"238",0.00912924050546804
"239",0.000140937871610958
"240",7.90926749871801e-07
"241",0.000765405523116547
"242",1e-15
"243",1e-15
"244",1e-15
"245",0.000198461872273903
"246",1e-15
"247",1e-15
"248",1e-15
"249",3.04969539403066e-05
"250",2.16810816150437e-05
"251",1e-15
"252",0.000146992723851436
"253",1e-15
"254",1e-15
"255",2.40473106982719e-08
"256",1e-15
"257",1e-15
"258",1e-15
"259",1e-15
"260",0.000786989299690677
"261",1e-15
"262",1e-15
"263",1e-15
"264",1e-15
"265",1e-15
"266",1e-15
"267",2.10537584810488e-07
"268",1e-15
"269",1e-15
"270",1e-15
"271",2.00112355427384e-05
"272",1e-15
"273",1e-15
"274",0.0050521885664403
"275",1e-15
"276",0.000222467750916389
"277",1e-15
"278",1e-15
"279",1e-15
"280",0.000487288669723918
"281",1e-15
"282",1e-15
"283",1e-15
"284",1e-15
"285",1e-15
"286",1e-15
"287",1e-15
"288",1e-15
"289",2.77306208329442e-07
"290",1e-15
"291",1e-15
"292",1e-15
"293",1e-15
"294",1e-15
"295",1e-15
"296",1e-15
"297",1e-15
"298",1e-15
"299",1e-15
"300",1e-15
"301",1e-15
"302",1.05554106830663e-05
"303",0.00180675372241601
"304",1.22942905167456e-06
"305",1e-15
"306",1e-15
"307",1e-15
"308",1e-15
"309",4.37631994232301e-06
"310",1e-15
"311",1e-15
"312",1e-15
"313",1.18484094749904e-05
"314",9.1373332113065e-05
"315",2.4463395239871e-05
"316",1e-15
"317",1e-15
"318",1e-15
"319",1e-15
"320",1e-15
"321",1e-15
"322",1e-15
"323",1e-15
"324",6.45220532624613e-06
"325",1e-15
"326",1e-15
"327",1e-15
"328",1e-15
"329",2.96758610551784e-06
"330",0.00063377784460894
"331",1e-15
"332",1e-15
"333",8.07527625434901e-07
"334",0.000104475826126715
"335",1e-15
"336",1e-15
"337",1e-15
"338",4.54679149809456e-05
"339",1e-15
"340",1e-15
"341",8.06234181338628e-06
"342",0.000328112235789657
"343",1e-15
"344",1e-15
"345",1e-15
"346",0.000806024445087483
"347",1e-15
"348",1e-15
"349",7.31386952160795e-05
"350",0.000365809676283746
"351",1e-15
"352",0.000897069022992025
"353",1e-15
"354",1e-15
"355",1e-15
"356",1e-15
"357",0.00113776741040605
"358",1e-15
"359",0.0117766473465698
"360",1e-15
"361",1e-15
"362",1e-15
"363",1e-15
"364",8.60473530206463e-05
"365",6.01318114090699e-05
"366",1e-15
"367",3.49752445922835e-05
"368",1e-15
"369",1e-15
"370",1e-15
"371",6.76188706442149e-05
"372",1e-15
"373",1e-15
"374",1e-15
"375",0.00425398633886132
"376",0.00065221092966794
"377",1e-15
"378",1e-15
"379",0.000272541464174991
"380",1e-15
"381",1e-15
"382",1e-15
"383",1e-15
"384",1e-15
"385",1e-15
"386",1e-15
"387",1e-15
"388",0.000146203429281733
"389",1e-15
"390",0.000415235503587352
"391",0.000556628205719223
"392",1e-15
"393",8.6122785269982e-06
"394",1e-15
"395",1e-15
"396",1.51185926124953e-05
"397",0.000201477058171529
"398",1e-15
"399",1e-15
"400",1e-15
"401",1e-15
"402",1e-15
"403",1e-15
"404",6.56609224449767e-05
"405",1e-15
"406",1e-15
"407",0.000586686731364638
"408",1e-15
"409",0.000153579712557472
"410",1e-15
"411",0.000386206884629647
"412",1e-15
"413",0.00216798825091469
"414",1e-15
"415",1e-15
"416",1e-15
"417",1e-15
"418",5.59048089993075e-05
"419",1e-15
"420",1.17985410214017e-05
"421",0.000307027299816132
"422",0.00250343651503093
"423",1e-15
"424",1e-15
"425",0.00059255142635628
"426",1e-15
"427",1e-15
"428",1e-15
"429",0.00157883435477724
"430",1e-15
"431",2.40667114533855e-05
"432",1e-15
"433",1e-15
"434",1e-15
"435",3.23376361208716e-05
"436",1e-15
"437",1e-15
"438",1.2741130472893e-07
"439",1e-15
"440",0.00172425190073777
"441",1e-15
"442",1e-15
"443",1e-15
"444",1e-15
"445",1e-15
"446",1e-15
"447",1e-15
"448",1e-15
"449",0.000258023608018632
"450",1e-15
"451",3.36362722100914e-05
"452",1e-15
"453",2.6533039738319e-05
"454",1e-15
"455",1.24825828722308e-05
"456",1e-15
"457",1e-15
"458",1e-15
"459",1e-15
"460",1e-15
"461",6.0519621737698e-05
"462",0.000101765013449495
"463",1e-15
"464",1e-15
"465",1e-15
"466",0.00879494384963331
"467",1e-15
"468",1e-15
"469",0.00382714544488394
"470",1e-15
"471",0.00362987333994591
"472",1e-15
"473",1e-15
"474",3.747475225091e-05
"475",1e-15
"476",1e-15
"477",1e-15
"478",1e-15
"479",1e-15
"480",1e-15
"481",4.08346055824627e-06
"482",1e-15
"483",1e-15
"484",1e-15
"485",1e-15
"486",1e-15
"487",1e-15
"488",0.00421274845381692
"489",1.47314708920376e-05
"490",1e-15
"491",1e-15
"492",1e-15
"493",1e-15
"494",0.00120397478089063
"495",1e-15
"496",1e-15
"497",5.728114994763e-05
"498",3.77106911786385e-06
"499",1e-15
"500",1e-15
"501",1e-15
"502",1e-15
"503",1e-15
"504",1.74362833593733e-06
"505",4.19603355616971e-07
"506",0.000102532720952841
"507",1e-15
"508",3.14427077600099e-05
"509",0.000399203048749408
"510",9.48756076257773e-07
"511",1e-15
"512",0.000393567149326701
"513",1e-15
"514",2.86817664951755e-07
"515",1e-15
"516",1e-15
"517",1e-15
"518",0.000673763701546704
"519",1e-15
"520",1e-15
"521",0.00141676635370858
"522",0.000109465885018256
"523",1e-15
"524",1e-15
"525",1e-15
"526",1e-15
"527",1e-15
"528",0.00533221633611192
"529",3.82038544444185e-06
"530",1e-15
"531",1e-15
"532",0.000149658447732182
"533",1e-15
"534",0.00283638952111154
"535",1e-15
"536",8.75904976952446e-05
"537",9.40268174143277e-06
"538",1e-15
"539",1e-15
"540",1e-15
"541",1e-15
"542",1e-15
"543",1e-15
"544",0.00640304761184962
"545",1e-15
"546",1e-15
"547",1e-15
"548",1e-15
"549",1.27918086300083e-05
"550",1e-15
"551",1e-15
"552",1e-15
"553",1e-15
"554",1e-15
"555",1e-15
"556",0.00201892600421405
"557",1e-15
"558",1.11598581820083e-06
"559",1e-15
"560",1e-15
"561",1e-15
"562",1e-15
"563",1e-15
"564",1e-15
"565",1e-15
"566",1e-15
"567",1e-15
"568",1e-15
"569",1e-15
"570",0.000304693465341899
"571",7.50103319454576e-05
"572",4.95504853769146e-05
"573",1e-15
"574",0.000273206157739736
"575",2.5445027180826e-06
"576",1e-15
"577",1e-15
"578",1e-15
"579",1e-15
"580",0.0191280051855631
"581",1e-15
"582",1e-15
"583",1e-15
"584",1e-15
"585",1e-15
"586",3.59285372775187e-05
"587",5.63325845814866e-06
"588",6.19504844090457e-07
"589",0.000355511210065163
"590",1e-15
"591",1e-15
"592",1e-15
"593",1e-15
"594",1e-15
"595",5.82239739181922e-05
"596",1e-15
"597",1e-15
"598",1e-15
"599",0.00183415354712613
"600",1e-15
"601",0.00216399897694086
"602",1e-15
"603",1e-15
"604",1e-15
"605",1e-15
"606",1.65937379215109e-06
"607",1e-15
"608",1.47475015432885e-06
"609",0.000962304494280253
"610",0.00157759319390738
"611",1e-15
"612",1e-15
"613",0.000323835227520886
"614",1e-15
"615",1e-15
"616",1e-15
"617",1e-15
"618",1e-15
"619",1e-15
"620",1e-15
"621",1e-15
"622",1.54941138496012e-05
"623",1e-15
"624",1e-15
"625",1.18020105077665e-06
"626",1e-15
