"","x"
"1",1e-15
"2",1e-15
"3",5.49727800662758e-05
"4",5.84251250135281e-06
"5",1e-15
"6",1e-15
"7",1e-15
"8",0.00379513979108181
"9",1e-15
"10",1e-15
"11",1e-15
"12",8.78633933021344e-06
"13",0.000541213018620201
"14",0.00162169352784358
"15",1e-15
"16",1e-15
"17",1e-15
"18",0.00528766518532053
"19",0.00718804939132733
"20",0.000424779233170303
"21",0.00432052072548228
"22",1e-15
"23",6.25046449316269e-05
"24",0.00119486530942747
"25",0.000333843737043482
"26",0.000232239449001637
"27",1.0525364663283e-05
"28",0.000557535764949768
"29",1e-15
"30",0.00989642725069173
"31",1e-15
"32",1e-15
"33",1e-15
"34",1.17941646549102e-06
"35",1.84828607857623e-05
"36",0.000748031194877874
"37",0.000117825060584442
"38",1e-15
"39",0.0178842326669442
"40",0.000505907807793582
"41",0.0134608280129067
"42",1e-15
"43",5.02734964658025e-07
"44",3.50391729115884e-05
"45",1e-15
"46",1e-15
"47",5.3329945363001e-05
"48",1e-15
"49",0.00651916148300047
"50",0.0400145788478198
"51",3.19394042197496e-05
"52",0.00675938553095623
"53",0.000138984416695243
"54",0.0004185154451537
"55",3.72131194437131e-06
"56",1e-15
"57",0.00014750042267031
"58",0.00024656713816007
"59",0.0104598534962217
"60",1e-15
"61",5.54044428632272e-05
"62",1e-15
"63",5.15081814200791e-06
"64",0.0260064826941597
"65",1e-15
"66",1e-15
"67",1e-15
"68",1e-15
"69",1e-15
"70",0.00959935042408799
"71",0.00512515236163269
"72",1.9183266216749e-05
"73",0.000330318441828958
"74",1e-15
"75",1e-15
"76",4.01162702091673e-05
"77",1e-15
"78",1e-15
"79",1e-15
"80",0.0140468523127326
"81",5.78420866759188e-09
"82",4.64045779802191e-06
"83",0.000195471716223694
"84",7.5759441832135e-06
"85",1e-15
"86",1e-15
"87",1e-15
"88",1e-15
"89",1e-15
"90",8.45612469546619e-06
"91",1e-15
"92",1e-15
"93",1e-15
"94",1e-15
"95",4.37192063507119e-06
"96",1e-15
"97",5.37686023305284e-06
"98",0.00723760833458997
"99",5.18989580485796e-05
"100",1.49801537455696e-05
"101",1.53275124006313e-05
"102",1e-15
"103",1.50158265335154e-05
"104",1e-15
"105",1e-15
"106",0.000636191071223258
"107",0.0535508606691883
"108",1.70281408273798e-06
"109",1e-15
"110",1e-15
"111",0.000512884086039778
"112",0.000224414597906786
"113",2.66360571222757e-05
"114",1.25819793583837e-07
"115",1e-15
"116",0.0139083021899826
"117",0.0394222388031055
"118",4.83614207504868e-05
"119",1e-15
"120",5.73121997626824e-06
"121",9.64665323837099e-05
"122",0.00054762690521204
"123",1e-15
"124",1e-15
"125",0.001432584345891
"126",0.00116374227284521
"127",0.000425266187206286
"128",1e-15
"129",7.88281633590238e-06
"130",1e-15
"131",1e-15
"132",1e-15
"133",1e-15
"134",8.08120737788576e-05
"135",1e-15
"136",1e-15
"137",1e-15
"138",1.83364136596698e-06
"139",9.44104312727845e-07
"140",0.000107981602534779
"141",1e-15
"142",1e-15
"143",0.0100463209007888
"144",1e-15
"145",1e-15
"146",0.00289331454881547
"147",0.00175300766500153
"148",1e-15
"149",1.68410120466866e-05
"150",1e-15
"151",5.16481070432784e-05
"152",1e-15
"153",1e-15
"154",0.000357089990259962
"155",1e-15
"156",1e-15
"157",1e-15
"158",1e-15
"159",1e-15
"160",0.0317008223075099
"161",1e-15
"162",2.99966968186904e-06
"163",0.000184847253550724
"164",1e-15
"165",1e-15
"166",4.11603675067873e-05
"167",2.0428686680618e-05
"168",1e-15
"169",1e-15
"170",6.49182257828063e-06
"171",0.000178014605302979
"172",0.00198313378032977
"173",1e-15
"174",1e-15
"175",1e-15
"176",6.9405727654015e-05
"177",0.00028868865940368
"178",1e-15
"179",1e-15
"180",1e-15
"181",0.00174502603336057
"182",4.51702323422953e-06
"183",1e-15
"184",0.0666167708456349
"185",2.18906460403012e-07
"186",0.000843504889990521
"187",0.00491523399538896
"188",0.000120719765567823
"189",1e-15
"190",0.00223558752963604
"191",1e-15
"192",0.000703936661680227
"193",0.000366231108928861
"194",1e-15
"195",0.0014434679276818
"196",1e-15
"197",1e-15
"198",1e-15
"199",0.00602852349550553
"200",1e-15
"201",1.5024955688836e-05
"202",1e-15
"203",1e-15
"204",1.94510348007215e-05
"205",1e-15
"206",0.000681232638786611
"207",2.16556248259225e-05
"208",1e-15
"209",1e-15
"210",1e-15
"211",0.000212155006476977
"212",1e-15
"213",6.57342495352653e-05
"214",0.000504445811418064
"215",7.88587405097241e-05
"216",1e-15
"217",0.000781281348068763
"218",1e-15
"219",2.79300601983001e-05
"220",1e-15
"221",1e-15
"222",3.14900428123321e-05
"223",1e-15
"224",1e-15
"225",1e-15
"226",1e-15
"227",1e-15
"228",1e-15
"229",1e-15
"230",1e-15
"231",1e-15
"232",0.000195334533087732
"233",9.59994150462329e-06
"234",1e-15
"235",4.24283576690998e-05
"236",1e-15
"237",1e-15
"238",1e-15
"239",0.00989559965036146
"240",1e-15
"241",1e-15
"242",2.62176800036595e-06
"243",1e-15
"244",1e-15
"245",0.000113857050911159
"246",0.0426863912123521
"247",1e-15
"248",0.000310680926903784
"249",1e-15
"250",1e-15
"251",0.0387149666830403
"252",1e-15
"253",1e-15
"254",1e-15
"255",0.00114724930091159
"256",1e-15
"257",3.85077127809108e-05
"258",1e-15
"259",0.000101736313477763
"260",1e-15
"261",1e-15
"262",0.00058763613217927
"263",1e-15
"264",3.68581286114278e-06
"265",9.67963049801623e-05
"266",0.00192210735979848
"267",0.0219248225408085
"268",0.000114805719236055
"269",1e-15
"270",1e-15
"271",1e-15
"272",4.84064041414989e-05
"273",1e-15
"274",1.72479511085788e-05
"275",0.000771412550201522
"276",0.000718983310875942
"277",0.000894489038474111
"278",0.0116034304993821
"279",1e-15
"280",1e-15
"281",4.96768420020777e-05
"282",1e-15
"283",0.00622098456174569
"284",0.000157497715631894
"285",1e-15
"286",1e-15
"287",1e-15
"288",5.89197038133316e-05
"289",1e-15
"290",1e-15
"291",0.000987526331237887
"292",1e-15
"293",0.000699478783059537
"294",1.48023147051868e-05
"295",1.52742447465659e-05
"296",0.000135623726435607
"297",1e-15
"298",1e-15
"299",0.0273631416111164
"300",0.02530596732415
"301",1e-15
"302",1e-15
"303",0.00642992555749
"304",1e-15
"305",1e-15
"306",0.000392175431051411
"307",8.17165758704164e-06
"308",1e-15
"309",1e-15
"310",0.00263106881779185
"311",1e-15
"312",1e-15
"313",0.00838934323505214
"314",2.94899291652939e-07
"315",1e-15
"316",0.00598674090781237
"317",1.91596659948612e-06
"318",0.0025808090891587
"319",1e-15
"320",1e-15
"321",0.0170825071881203
"322",0.000435683766392914
"323",1e-15
"324",1e-15
"325",0.000242603798991992
"326",1e-15
"327",1e-15
"328",1e-15
"329",1e-15
"330",1e-15
"331",1e-15
"332",0.0173211014109008
"333",1e-15
"334",1.30950340460068e-06
"335",1e-15
"336",4.07462470386477e-06
"337",1e-15
"338",1e-15
"339",1e-15
"340",1e-15
"341",9.47133547319901e-05
"342",5.88359255616622e-05
"343",0.0102938825370805
"344",1e-15
"345",5.426371950501e-05
"346",1e-15
"347",1e-15
"348",4.85196039845537e-06
"349",8.40983181931154e-05
"350",4.8539878760856e-07
"351",1e-15
"352",7.91682106593417e-05
"353",0.00489288882015959
"354",1e-15
"355",2.49106807683752e-05
"356",1e-15
"357",0.00133531812423149
"358",1e-15
"359",0.000618895390591789
"360",1e-15
"361",9.97681105052717e-06
"362",7.95442739170982e-05
"363",0.000601947188514029
"364",1e-15
"365",2.14521646557664e-05
"366",4.53609674926359e-05
"367",1e-15
"368",0.000212628807255477
"369",1e-15
"370",1.5985120358164e-05
"371",1e-15
"372",6.36696698568251e-05
"373",1e-15
"374",1e-15
"375",1e-15
"376",0.0158472087644966
"377",1e-15
"378",1e-15
"379",1e-15
"380",0.00550104075988644
"381",1e-15
"382",1e-15
"383",1e-15
"384",1e-15
"385",0.112884431121916
"386",0.00113908106214755
"387",1e-15
"388",1.09626218841585e-05
"389",1e-15
"390",0.000293025274249459
"391",7.91946459788306e-05
"392",1e-15
"393",1e-15
"394",0.0132993686138786
"395",0.000267018063855318
"396",1e-15
"397",1.97284549774412e-05
"398",1e-15
"399",1e-15
"400",0.014825068646469
"401",2.7692614069097e-05
"402",1e-15
"403",1e-15
"404",0.000706455251940685
"405",4.59211355496869e-07
"406",1e-15
"407",0.00678997744961762
"408",0.001451170813764
"409",2.98669579090749e-05
"410",1e-15
"411",0.00114986485265434
"412",0.00263842145240656
"413",0.000434487976595843
"414",7.58381198513458e-05
"415",1e-15
"416",1e-15
"417",1e-15
"418",2.31795812533075e-06
"419",6.07096955839159e-05
"420",1e-15
"421",1e-15
"422",5.84718191887212e-06
"423",0.000361625313157865
"424",1e-15
"425",1.44049851875661e-05
"426",0.000123744579438756
"427",0.00467934936380998
"428",1e-15
"429",1e-15
"430",0.0353739288444925
"431",0.000186457193785405
"432",1.03685796681852e-06
"433",1e-15
"434",1e-15
"435",6.94873322073519e-05
"436",1e-15
"437",0.00269525945337956
"438",1e-15
"439",0.000639605802515875
"440",1e-15
"441",1e-15
"442",3.25514270033134e-05
"443",1.41905415528276e-05
"444",1e-15
"445",0.0123624857831064
"446",0.00219817259159849
"447",5.24732315634324e-05
"448",0.00191474901212363
"449",1e-15
"450",1.31116016854893e-05
"451",0.0613737830510883
"452",0.000301765394540521
"453",8.59219617965756e-06
"454",1e-15
"455",1e-15
"456",1e-15
"457",8.14722516633282e-05
"458",1e-15
"459",1e-15
"460",9.34428843155644e-05
"461",6.14140942578612e-06
"462",3.76787952305335e-05
"463",1.28862870563129e-05
"464",0.000140840913550599
"465",1e-15
"466",1e-15
"467",0.000119490224428254
"468",1e-15
"469",1e-15
"470",1e-15
"471",1e-15
"472",0.0142113527074008
"473",0.00568608334056964
"474",0.00014235421227049
"475",8.67179012598029e-07
"476",1e-15
"477",1e-15
"478",1.62764488541578e-05
"479",1e-15
"480",1e-15
"481",0.000397953756866576
"482",1e-15
"483",0.000319160940798202
"484",1e-15
"485",1e-15
"486",0.0197875426424918
"487",0.00672993767773955
"488",0.0020581381620417
"489",8.76466542898413e-07
"490",0.000167936654137946
"491",0.000907766411937017
"492",0.00120573085001396
"493",1e-15
"494",1e-15
"495",0.000282961421881001
"496",0.0356832333172749
"497",1e-15
"498",0.000880468616608843
"499",6.49761702231633e-05
"500",8.00974701645751e-05
"501",0.0265487327425196
"502",1e-15
"503",1e-15
"504",1e-15
"505",0.00308824499200211
"506",0.00342168965659051
"507",1e-15
"508",1e-15
"509",0.0230533919551476
"510",0.00721219112789118
"511",0.00209633147373744
"512",3.33359456161642e-06
"513",1e-15
"514",1e-15
"515",1e-15
"516",1e-15
"517",1e-15
"518",2.78737786585381e-06
"519",1e-15
"520",1e-15
"521",1e-15
"522",7.17677484030066e-06
"523",0.000259677988098339
"524",2.43065111756868e-05
"525",0.000120928767092909
"526",1e-15
"527",1e-15
"528",5.1166626527599e-05
"529",0.000376091290429481
"530",1e-15
"531",1.29074967836207e-06
"532",1e-15
"533",0.000118354766383777
"534",4.69076278595271e-05
"535",1e-15
"536",1e-15
"537",0.0181433669552076
"538",1e-15
"539",3.91944151134638e-06
"540",1e-15
"541",2.42706237255641e-05
"542",1e-15
"543",0.0020340673251249
"544",1e-15
"545",0.00250145198031604
"546",1e-15
"547",1e-15
"548",1e-15
"549",1e-15
"550",0.0210642925993805
"551",0.000338998678755087
"552",1e-15
"553",2.20536859540932e-06
"554",1e-15
"555",1e-15
"556",2.45946122745533e-06
"557",1e-15
"558",0.000789608641034389
"559",0.00776900488576859
"560",0.0025122191301149
"561",0.000314458154791586
"562",2.56968046741246e-06
"563",1e-15
"564",0.00932577229247766
"565",1e-15
"566",1e-15
"567",0.00045376211828152
"568",3.71040485658281e-06
"569",1e-15
"570",0.00138413434998674
"571",0.031658417383571
"572",1e-15
"573",1e-15
"574",2.98006369903181e-06
"575",1e-15
"576",1e-15
"577",6.34471539523451e-05
