"","x"
"1",0.000114946783413394
"2",1e-15
"3",1e-15
"4",1e-15
"5",7.51235959657315e-05
"6",1e-15
"7",1e-15
"8",1e-15
"9",1e-15
"10",1e-15
"11",1e-15
"12",1e-15
"13",1e-15
"14",1e-15
"15",1e-15
"16",1e-15
"17",1e-15
"18",1e-15
"19",1e-15
"20",1e-15
"21",1e-15
"22",1e-15
"23",1e-15
"24",1e-15
"25",1e-15
"26",1e-15
"27",1.19776261908733e-07
"28",1e-15
"29",1e-15
"30",1e-15
"31",1e-15
"32",1e-15
"33",1e-15
"34",7.09157023019991e-05
"35",1e-15
"36",1e-15
"37",1e-15
"38",1e-15
"39",1e-15
"40",1e-15
"41",1e-15
"42",1e-15
"43",1e-15
"44",1e-15
"45",1e-15
"46",1e-15
"47",1e-15
"48",1e-15
"49",1e-15
"50",1e-15
"51",1e-15
"52",1e-15
"53",0.00105660274329311
"54",0.00042530626857562
"55",1e-15
"56",1e-15
"57",1e-15
"58",1e-15
"59",1e-15
"60",4.81985943734387e-06
"61",1e-15
"62",1e-15
"63",1e-15
"64",1e-15
"65",1e-15
"66",1e-15
"67",1e-15
"68",1e-15
"69",1e-15
"70",1e-15
"71",1e-15
"72",1e-15
"73",1e-15
"74",1e-15
"75",1e-15
"76",1e-15
"77",1e-15
"78",4.26414987076962e-05
"79",1e-15
"80",1e-15
"81",0.00815863683995677
"82",1e-15
"83",1e-15
"84",1e-15
"85",1e-15
"86",1e-15
"87",1e-15
"88",1e-15
"89",1e-15
"90",1e-15
"91",1e-15
"92",1e-15
"93",1e-15
"94",1e-15
"95",1e-15
"96",1e-15
"97",1e-15
"98",1e-15
"99",1e-15
"100",1e-15
"101",1e-15
"102",1e-15
"103",1e-15
"104",1e-15
"105",4.46011665267143e-07
"106",1e-15
"107",1e-15
"108",1e-15
"109",1e-15
"110",1e-15
"111",1e-15
"112",1e-15
"113",1e-15
"114",1e-15
"115",1e-15
"116",1e-15
"117",1e-15
"118",1e-15
"119",1e-15
"120",1e-15
"121",1e-15
"122",8.83271124074714e-06
"123",1e-15
"124",1e-15
"125",1e-15
"126",1e-15
"127",0.014479855445774
"128",1e-15
"129",1e-15
"130",1e-15
"131",0.00130904439783031
"132",1e-15
"133",1e-15
"134",1e-15
"135",1e-15
"136",1e-15
"137",1e-15
"138",1e-15
"139",1e-15
"140",1e-15
"141",1e-15
"142",1e-15
"143",1e-15
"144",1e-15
"145",1e-15
"146",1e-15
"147",1e-15
"148",1e-15
"149",1e-15
"150",1e-15
"151",1e-15
"152",1e-15
"153",1e-15
"154",1e-15
"155",1e-15
"156",1e-15
"157",1e-15
"158",1e-15
"159",1e-15
"160",1e-15
"161",1e-15
"162",1.46033446979388e-06
"163",1e-15
"164",0.000143503637938247
"165",1e-15
"166",1e-15
"167",1e-15
"168",1e-15
"169",1e-15
"170",1e-15
"171",1e-15
"172",1e-15
"173",1e-15
"174",1e-15
"175",1e-15
"176",1e-15
"177",1e-15
"178",1e-15
"179",1e-15
"180",1e-15
"181",1e-15
"182",1e-15
"183",1e-15
"184",1e-15
"185",1e-15
"186",1e-15
"187",1e-15
"188",1e-15
"189",1e-15
"190",1e-15
"191",1e-15
"192",1e-15
"193",1e-15
"194",1e-15
"195",1e-15
"196",1e-15
"197",1e-15
"198",1e-15
"199",1e-15
"200",1e-15
"201",1e-15
"202",1e-15
"203",1e-15
"204",1e-15
"205",1e-15
"206",1e-15
"207",1e-15
"208",0.000406926412409025
"209",1e-15
"210",1e-15
"211",1e-15
"212",1e-15
"213",1e-15
"214",1e-15
"215",1e-15
"216",1e-15
"217",1e-15
"218",1e-15
"219",1e-15
"220",1e-15
"221",1e-15
"222",1e-15
"223",1e-15
"224",1e-15
"225",1e-15
"226",1e-15
"227",1e-15
"228",8.26246371991024e-05
"229",4.01614293954466e-05
"230",1e-15
"231",1e-15
"232",1e-15
"233",1e-15
"234",1e-15
"235",1e-15
"236",1e-15
"237",1e-15
"238",1e-15
"239",1e-15
"240",1e-15
"241",1e-15
"242",1e-15
"243",1e-15
"244",1e-15
"245",1e-15
"246",1e-15
"247",0.00154379111085712
"248",1e-15
"249",1e-15
"250",1e-15
"251",1e-15
"252",1e-15
"253",1e-15
"254",1e-15
"255",1e-15
"256",1e-15
"257",1e-15
"258",1e-15
"259",1e-15
"260",1e-15
"261",1e-15
"262",1e-15
"263",0.000118992166127208
"264",1e-15
"265",1e-15
"266",1e-15
"267",1e-15
"268",1e-15
"269",1e-15
"270",1e-15
"271",1e-15
"272",1.53361539578789e-07
"273",1e-15
"274",1e-15
"275",1e-15
"276",1e-15
"277",1e-15
"278",1e-15
"279",1e-15
"280",1e-15
"281",1e-15
"282",1e-15
"283",1e-15
"284",1e-15
"285",1e-15
"286",1e-15
"287",1e-15
"288",1e-15
"289",1e-15
"290",1e-15
"291",1e-15
"292",1e-15
"293",1e-15
"294",1e-15
"295",1e-15
"296",1e-15
