"","x"
"1",1e-15
"2",0.00575209690671419
"3",0.00118239641228346
"4",1e-15
"5",1e-15
"6",0.0008807277328019
"7",1e-15
"8",0.000502409249122371
"9",1e-15
"10",6.24610364874378e-07
"11",1.33801296265945e-05
"12",2.51037768317364e-06
"13",1e-15
"14",1e-15
"15",1.27897417149248e-05
"16",1e-15
"17",1.57727844095623e-05
"18",0.000611989620521336
"19",1e-15
"20",1e-15
"21",0.0142044574192973
"22",1e-15
"23",1e-15
"24",0.00343253458008064
"25",0.00142565807766104
"26",0.000554192424606859
"27",1e-15
"28",1e-15
"29",0.000746871499390678
"30",1.6389039861564e-05
"31",3.58894575613888e-06
"32",1e-15
"33",1e-15
"34",1e-15
"35",0.00022685768573405
"36",1e-15
"37",1e-15
"38",9.4057536159653e-07
"39",0.0551596785734267
"40",1e-15
"41",0.00752831708445512
"42",1e-15
"43",1e-15
"44",1e-15
"45",1e-15
"46",1.09880548240238e-05
"47",7.76891654119538e-07
"48",1e-15
"49",0.000452470471647759
"50",6.82966093489279e-05
"51",1e-15
"52",1e-15
"53",1e-15
"54",0.000183200070052014
"55",1.15063224533918e-05
"56",1e-15
"57",1e-15
"58",4.54137188798942e-06
"59",1e-15
"60",1e-15
"61",5.7058863619508e-06
"62",1.53014073934754e-05
"63",0.00237468289517173
"64",0.00150544559057242
"65",6.98451758579521e-05
"66",1e-15
"67",1e-15
"68",0.00677120696879896
"69",1e-15
"70",1e-15
"71",5.15906875109273e-07
"72",0.00318931950191181
"73",1e-15
"74",1e-15
"75",0.00360089083789661
"76",1e-15
"77",1e-15
"78",1e-15
"79",0.00200186478051623
"80",0.000563028128751197
"81",1e-15
"82",0.00045043388919086
"83",1e-15
"84",0.000661836789876524
"85",1.42079661258343e-06
"86",3.21608450848387e-06
"87",0.000338489601738101
"88",0.00925897487385507
"89",5.08517600786851e-05
"90",2.77297835213908e-05
"91",1.20445902584976e-07
"92",1e-15
"93",0.00238113472054613
"94",3.10171946726889e-06
"95",1e-15
"96",0.000101851321330004
"97",0.000165059629294806
"98",4.20070264693928e-05
"99",0.000712751681458568
"100",0.000232047683029646
"101",8.33477297534913e-06
"102",1.40174288093542e-05
"103",0.000901811307970513
"104",0.00031087437417765
"105",1e-15
"106",0.00206633901235331
"107",1.14830904462959e-05
"108",0.00132322186151901
"109",1e-15
"110",9.28694560464738e-06
"111",2.1367555083085e-06
"112",0.000733409351677095
"113",1e-15
"114",1e-15
"115",7.82537217136614e-06
"116",1e-15
"117",1e-15
"118",0.00598519220650817
"119",2.20245457582813e-06
"120",3.72730871278648e-07
"121",1e-15
"122",1e-15
"123",1e-15
"124",1e-15
"125",1e-15
"126",9.15443346934941e-05
"127",1e-15
"128",1e-15
"129",1e-15
"130",5.85920706199783e-05
"131",1e-15
"132",1e-15
"133",0.0147700907496446
"134",9.45791946094232e-07
"135",3.58975425645003e-05
"136",1e-15
"137",1e-15
"138",5.81252370964735e-05
"139",1e-15
"140",0.00320204862726658
"141",1e-15
"142",1e-15
"143",1e-15
"144",1e-15
"145",7.59701144122937e-05
"146",1e-15
"147",1e-15
"148",1e-15
"149",0.00030817957785878
"150",0.000112177440086292
"151",0.000284554758624878
"152",1e-15
"153",0.0256048019538013
"154",1e-15
"155",1e-15
"156",1e-15
"157",1e-15
"158",0.00102981027400872
"159",0.0015208560730201
"160",0.000613619715513991
"161",1e-15
"162",1.44961512782427e-06
"163",1e-15
"164",0.000523257565366197
"165",0.00274019802157277
"166",1.5211933689363e-06
"167",0.00123475819066432
"168",0.0118155692402467
"169",0.00361603419611811
"170",0.000244482478368724
"171",1e-15
"172",1e-15
"173",1e-15
"174",1e-15
"175",1e-15
"176",1e-15
"177",3.74661255962971e-05
"178",2.4471444558527e-06
"179",1e-15
"180",1e-15
"181",1e-15
"182",1e-15
"183",1.47033125730278e-06
"184",1e-15
"185",0.000717251872475289
"186",1e-15
"187",8.91610664077724e-06
"188",0.00066871168029059
"189",0.000103677604622376
"190",1e-15
"191",1e-15
"192",1e-15
"193",1e-15
"194",0.00449002373906271
"195",1e-15
"196",0.000152737714868345
"197",0.00311088131044168
"198",1e-15
"199",3.40398389739871e-05
"200",1e-15
"201",0.000170806741115803
"202",4.69751993459333e-06
"203",0.000110556709531306
"204",1e-15
"205",0.000125534698351748
"206",8.87502114021999e-07
"207",1e-15
"208",0.0105776247397525
"209",0.00111276493771162
"210",1e-15
"211",1e-15
"212",0.00205467874610488
"213",0.00839742413686562
"214",0.000593817568454891
"215",1e-15
"216",0.00354632729158244
"217",1e-15
"218",1e-15
"219",0.00312537800503665
"220",0.00341404220432773
"221",1e-15
"222",3.98475397389575e-06
"223",0.000205460628024623
"224",1e-15
"225",1e-15
"226",0.000520202466849029
"227",4.5989311213912e-05
"228",1e-15
"229",1e-15
"230",1e-15
"231",0.000407923543823796
"232",1e-15
"233",2.83590092979846e-05
"234",1e-15
"235",1e-15
"236",2.76003243862011e-05
"237",1e-15
"238",0.00218722282794248
"239",1e-15
"240",1e-15
"241",1e-15
"242",1.41376698793438e-05
"243",0.00293572445050139
"244",3.37826494556381e-08
"245",0.0082918601292179
"246",0.00033141446491769
"247",9.182027293686e-05
"248",1e-15
"249",0.00350118471205008
"250",0.0077440341352808
"251",1e-15
"252",4.74624438832061e-05
"253",0.00648126820687245
"254",1e-15
"255",0.000724762499005771
"256",9.49572584766356e-05
"257",1e-15
"258",1e-15
"259",1e-15
"260",1e-15
"261",1e-15
"262",0.0376461884104721
"263",1e-15
"264",1e-15
"265",1e-15
"266",0.000290763771889302
"267",0.00200267320896019
"268",2.83691917024598e-06
"269",0.000278392993434129
"270",8.81048799306061e-06
"271",1e-15
"272",1e-15
"273",1e-15
"274",3.26509219440441e-05
"275",0.000377189389551114
"276",0.000472449736970804
"277",1e-15
"278",1e-15
"279",1e-15
"280",1e-15
"281",1e-15
"282",1e-15
"283",0.0049893112452617
"284",0.00131345921152448
"285",0.000709528780430291
"286",1e-15
"287",0.00134033147787638
"288",8.94776711057865e-07
"289",0.00428389277742847
"290",0.000885133339433741
"291",0.00194613627635243
"292",1.06151803866972e-05
"293",0.0004640138418609
"294",5.3230043890462e-06
"295",3.46431086417631e-06
"296",1e-15
"297",1e-15
"298",1e-15
"299",0.00697495870604459
"300",1e-15
"301",1e-15
"302",1e-15
"303",1e-15
"304",0.000415390937143267
"305",0.00378333893838434
"306",0.00409662292654878
"307",3.63529436973042e-05
"308",0.011548422803885
"309",1e-15
"310",1e-15
"311",4.51918988808586e-05
"312",0.00199948451219989
"313",0.000639473770316923
"314",0.000252445789816647
"315",0.0048100620874526
"316",1e-15
"317",1e-15
"318",0.022396408072353
"319",1e-15
"320",2.43086158313588e-06
"321",0.00195200875576296
"322",0.00119639963091323
"323",1e-15
"324",1e-15
"325",4.21922060155344e-05
"326",1e-15
"327",1.3315797386948e-06
"328",1.97083625230743e-05
"329",0.00101781020769265
"330",1e-15
"331",5.90671325628733e-07
"332",0.0144090588507995
"333",1e-15
"334",0.000876496079802003
"335",0.00242760798567732
"336",1e-15
"337",0.00141663222595989
"338",0.0677807482335319
"339",1e-15
"340",2.71001539647875e-05
"341",1e-15
"342",1e-15
"343",0.00216339730251769
"344",1e-15
"345",1e-15
"346",1e-15
"347",1e-15
"348",0.00918314400190567
"349",0.000331069220470659
"350",1e-15
"351",0.00088203002550602
"352",4.9163537145569e-05
"353",9.85146586873764e-06
"354",3.10412105009039e-06
"355",0.000160048000158897
"356",1e-15
"357",0.000299224225831618
"358",5.24447732297428e-06
"359",1.13129970422676e-05
"360",0.000976855677131017
"361",8.59114716756926e-05
"362",1e-15
"363",1e-15
"364",1e-15
"365",2.31262621930295e-06
"366",0.000220736225617246
"367",0.00113810484335164
"368",1.42003284785419e-05
"369",1e-15
"370",0.00266498922287817
"371",1e-15
"372",0.00112057034232527
"373",1e-15
"374",1e-15
"375",1e-15
"376",0.000485700874230499
"377",1e-15
"378",1e-15
"379",0.00276539237340645
"380",1e-15
"381",1e-15
"382",3.95119503981967e-06
"383",0.000546668259027161
"384",1e-15
"385",6.12248768128154e-06
"386",1e-15
"387",1e-15
"388",1e-15
"389",0.000344279320270813
"390",0.000110819831976583
"391",1e-15
"392",0.000356793000352074
"393",2.59582243478107e-08
"394",3.75118216552339e-05
"395",6.65262955834578e-10
"396",0.00844690400838388
"397",0.00119646208818514
"398",1e-15
"399",1e-15
"400",1e-15
"401",1e-15
"402",1e-15
"403",0.00253535776627589
"404",1e-15
"405",1e-15
"406",1e-15
"407",0.000480957122066084
"408",5.26804254030733e-06
"409",8.14369041284291e-05
"410",1e-15
"411",2.22725820631098e-06
"412",1e-15
"413",1e-15
"414",5.06902522817709e-05
"415",1e-15
"416",1e-15
"417",1e-15
"418",0.00512115939757696
"419",1e-15
"420",1e-15
"421",1e-15
"422",0.0169345348829538
"423",1e-15
"424",0.00965113994672995
"425",5.01875652625383e-06
"426",0.00522080574831563
"427",0.00473393353193607
"428",1e-15
"429",0.0184237369848435
"430",2.68812666504026e-06
"431",1e-15
"432",1e-15
"433",0.000214013934910717
"434",1e-15
"435",1e-15
"436",1e-15
"437",1e-15
"438",1e-15
"439",9.23397283778549e-05
"440",1e-15
"441",1e-15
"442",1.00630860900841e-05
"443",1e-15
"444",0.000335934960611239
"445",1e-15
"446",0.000183219466520446
"447",1e-15
"448",0.000167140171962621
"449",0.00100441580906374
"450",1e-15
"451",1e-15
"452",0.00112759495603743
"453",0.000265785119774375
"454",5.26212806831738e-05
"455",1e-15
"456",1e-15
"457",0.000201343780033558
"458",1e-15
"459",0.0199069900843991
"460",1e-15
"461",1e-15
"462",1e-15
"463",1e-15
"464",1e-15
"465",1e-15
"466",1e-15
"467",1e-15
"468",1e-15
"469",6.25965537087714e-05
"470",1e-15
"471",6.07951212483471e-06
"472",1e-15
"473",2.39133662072177e-06
"474",1e-15
"475",1e-15
"476",0.00153635749383751
"477",0.00305840477191088
"478",1e-15
"479",1e-15
"480",1e-15
"481",1e-15
"482",1e-15
"483",1e-15
"484",1.88660213286118e-05
"485",1e-15
"486",1.89037551826532e-05
