"","x"
"1",1.57414498097586e-05
"2",1e-15
"3",1e-15
"4",1e-15
"5",0.000340522816339117
"6",8.95908308651272e-08
"7",1e-15
"8",4.49850426962328e-05
"9",5.64885084486377e-07
"10",0.00075521077179419
"11",1e-15
"12",3.51508160048031e-05
"13",1e-15
"14",1e-15
"15",1e-15
"16",1e-15
"17",0.0019308350071684
"18",1e-15
"19",0.0251532105356642
"20",0.000152181689074382
"21",1e-15
"22",4.99032269598576e-05
"23",1e-15
"24",0.085246251328299
"25",0.000410347656052634
"26",1e-15
"27",1e-15
"28",0.000210449143837721
"29",7.57104714854684e-06
"30",1e-15
"31",3.76276435509748e-06
"32",0.000161623758814788
"33",6.24315275649101e-05
"34",7.00738085890329e-07
"35",1e-15
"36",1e-15
"37",1e-15
"38",1e-15
"39",0.00302890262964173
"40",3.18172680635609e-06
"41",1e-15
"42",3.00134300745825e-08
"43",1e-15
"44",0.000397916006965815
"45",0.0268879030878607
"46",0.000303712034298464
"47",0.00350798100784677
"48",0.000837864724553272
"49",0.000123879032333463
"50",1e-15
"51",1e-15
"52",1e-15
"53",5.40892581056829e-05
"54",1e-15
"55",1e-15
"56",0.00544819566997856
"57",0.000232887562500284
"58",1e-15
"59",7.11794356778039e-06
"60",0.000494453306950082
"61",0.00031964062940526
"62",2.22007036199123e-07
"63",0.00199930131651205
"64",0.000758197427573548
"65",1e-15
"66",5.52837593092992e-06
"67",1e-15
"68",1e-15
"69",1e-15
"70",1e-15
"71",1e-15
"72",0.0208837238755355
"73",1.23530178186559e-05
"74",1e-15
"75",1e-15
"76",0.0493509476965348
"77",1e-15
"78",0.00205273044474463
"79",1e-15
"80",1e-15
"81",9.2016227253966e-05
"82",1e-15
"83",7.63334541602489e-05
"84",1e-15
"85",0.0166827169510753
"86",1e-15
"87",1.17869379900881e-05
"88",1.26488660650015e-05
"89",0.00229523555760258
"90",6.50200758478547e-06
"91",1e-15
"92",0.00775127750026994
"93",0.00054687032007894
"94",7.43023762029837e-05
