"","x"
"1",5.07026359786167e-07
"2",1.56705126586054e-05
"3",4.32763055593366e-05
"4",7.58435170222782e-09
"5",5.07016430284501e-05
"6",1.05009481587981e-06
"7",5.34976605071069e-06
"8",3.25340899420823e-06
"9",3.47613842843764e-06
"10",2.87079237264454e-05
"11",1.3520130453748e-05
"12",1.29251058592628e-05
"13",2.44513918501443e-06
"14",5.25369204118498e-06
"15",7.92421039919056e-06
"16",1.69950999751034e-06
"17",1.31350202825509e-07
"18",5.02644112299055e-06
"19",3.27483306805654e-07
"20",1.29953815769523e-05
"21",1.76673337071165e-08
"22",4.15514014773244e-06
"23",5.16930277526528e-05
"24",3.58131928179795e-06
"25",1.38876389721432e-07
"26",7.35049326516801e-07
"27",7.24748918656815e-08
"28",1.33555148794651e-05
"29",1.11567575542537e-05
"30",9.01278085330137e-06
"31",4.69413470671753e-06
"32",7.49215812756443e-06
"33",1.49331477850012e-06
"34",4.72038850851675e-06
"35",1.13178590055441e-07
"36",3.38031808599926e-06
"37",5.41697054989854e-06
"38",7.02774275440632e-08
"39",8.76330119581326e-08
"40",8.43151039953138e-06
"41",7.91139772360339e-07
"42",1.3890412768558e-05
"43",7.84034388756627e-06
"44",1.38059594889661e-06
"45",9.762244086442e-07
"46",3.26906789571701e-06
"47",7.05978184456502e-06
"48",2.45778659646589e-08
"49",1.75278536129753e-05
"50",1.41914230060713e-05
"51",1.35019991007734e-05
"52",3.71398784271282e-06
"53",3.09561040023887e-07
"54",2.50244364125018e-05
"55",2.88193164355022e-06
"56",1.66528848022374e-06
"57",7.109727040433e-08
"58",5.20831710858483e-05
"59",1.03822615460381e-06
"60",1.73673435525101e-05
"61",9.23798271534881e-06
"62",1.11396280264575e-05
"63",1.10635365985212e-05
"64",4.57112812823901e-07
"65",1.21240499861841e-07
"66",5.11356056537293e-05
"67",1.90558882163794e-05
"68",2.16439725253537e-07
"69",6.5931664539054e-07
"70",1.12173580690822e-06
"71",2.14439984658199e-08
"72",2.75229954727063e-06
"73",4.35916713836804e-08
"74",4.13691500111835e-06
"75",1.17688262957216e-06
"76",1.93816644191713e-05
"77",2.7964530080471e-07
"78",4.42127445654528e-07
"79",1.537042487465e-05
"80",6.30869354570907e-05
"81",1.4492500054919e-05
"82",2.97324973652646e-06
"83",1.23169758318165e-05
"84",1.13063828498516e-05
"85",2.14807701405251e-05
"86",8.48108057338592e-07
"87",4.53722394466727e-06
"88",9.91077898671033e-06
"89",3.8103027503178e-06
"90",9.25416595642936e-06
"91",2.1897939175286e-06
"92",4.95367939890023e-07
"93",2.76716855404091e-05
"94",2.54704371542847e-05
"95",1.77314467897371e-06
"96",1.01205517338832e-05
"97",6.82042949895489e-07
"98",1.25310578091842e-06
