"","x"
"1",5.30430517287073e-08
"2",2.65929985967528e-05
"3",2.3524518091067e-05
"4",1.11216467659769e-05
"5",1.81616218442038e-06
"6",5.18615118683119e-06
"7",5.81163449009381e-06
"8",1.09774747480973e-06
"9",6.32800660982369e-07
"10",1.56367859094342e-06
"11",1.76458581080396e-09
"12",3.95535154187332e-05
"13",2.13788899694478e-06
"14",4.21285528684479e-09
"15",4.38218630578469e-05
"16",1.70471193117194e-06
"17",7.57038653986797e-09
"18",6.42717693066786e-06
"19",3.62493915728734e-06
"20",4.4084237995623e-06
"21",3.3663818415075e-06
"22",1.04493759273128e-05
"23",5.14166978438091e-07
"24",4.38017756434483e-05
"25",5.90029624961685e-05
"26",1.0998695013642e-05
"27",3.55512921290657e-06
"28",2.11906370062298e-06
"29",5.0082050064848e-06
"30",9.8464661304476e-06
"31",1.50478322366032e-05
"32",3.09316608135823e-05
"33",7.34395660018095e-06
"34",1.14157180086671e-06
"35",3.12123003332054e-07
"36",1.94872114572808e-05
"37",2.7700169940692e-05
"38",4.33720826809036e-07
"39",2.3808262028524e-09
"40",1.60644874191984e-06
"41",3.59613916578461e-05
"42",1.53690293412945e-05
"43",3.44140585571973e-05
"44",4.35965431799801e-06
"45",7.50325678111619e-06
"46",1.16651348580632e-07
"47",4.52370308964278e-05
"48",1.05910375487461e-05
"49",4.793389939306e-06
"50",1.56135629825194e-05
"51",2.50119425171391e-09
"52",1.92781745012027e-08
"53",2.38523995693685e-05
"54",8.44763011986771e-07
"55",5.86092868348764e-06
"56",2.26713580009363e-06
"57",1.97733471229977e-06
"58",2.11916122294653e-06
"59",4.00933790811742e-06
"60",3.70002225781318e-05
"61",5.8058278284312e-05
"62",1.08358258723573e-05
"63",5.36636957348957e-06
"64",6.93511347904519e-06
"65",3.19615630750558e-06
"66",1.3919577899979e-05
"67",1.88951557477113e-05
"68",1.31464195973763e-07
"69",2.17621231868304e-06
"70",4.1359960383236e-06
"71",8.13462978865864e-07
"72",2.73292661412405e-06
"73",2.65678426591975e-07
"74",4.62741743700867e-06
"75",1.59024873747082e-06
"76",7.74224913069332e-08
"77",5.8283923034419e-05
"78",6.30034204029961e-07
"79",1.35428204206534e-08
"80",2.42584408238766e-06
"81",2.60962456088976e-08
"82",2.65961187273511e-06
"83",1.40039864621189e-05
"84",9.70985229553634e-07
"85",9.44341614905753e-07
"86",3.2449306885951e-07
"87",2.6453545869165e-05
"88",2.73017249030616e-06
"89",5.66394819045968e-06
"90",1.41257182851851e-05
"91",1.03944286478086e-06
"92",2.13606331255223e-05
"93",9.68714294113937e-07
"94",2.80729983725969e-06
"95",1.2161644109554e-06
"96",2.83111922538826e-06
"97",4.36160648199513e-05
"98",2.24928832004423e-07
"99",9.56497437099024e-06
"100",5.01523894858025e-07
"101",1.02937011282611e-05
"102",1.53340130900625e-05
"103",0.000139996027927691
"104",3.54915037871217e-05
"105",1.45280587017238e-05
"106",9.76858507184541e-06
"107",1.65189047298675e-05
"108",2.14994155744996e-06
"109",1.68620822587062e-05
"110",5.88589469452394e-06
"111",1.5740408228937e-05
"112",3.6741658502315e-06
"113",6.45885647665434e-06
"114",1.94696323363441e-06
"115",2.58543132458655e-08
"116",8.49354044540895e-06
"117",8.11210573825605e-07
"118",7.46072291213373e-06
"119",3.87970967008489e-06
"120",6.5019371826347e-05
"121",2.97938668403219e-07
"122",2.58378167398154e-05
"123",8.41539393725554e-10
"124",1.18579138321806e-05
"125",2.96521556830687e-06
"126",7.41235014634078e-06
"127",5.35186015204747e-06
"128",4.58250256640813e-06
"129",4.12226907986479e-06
"130",1.15933187450068e-05
"131",2.59656281763609e-05
"132",5.46760920623335e-05
"133",3.26473174827591e-07
"134",8.31572940851455e-06
"135",2.44697145326267e-05
"136",2.32172659908603e-06
"137",6.96176937138304e-05
