"","x"
"1",2.51050717906542e-05
"2",1.69357869506115e-07
"3",6.30772029881488e-05
"4",1.55081080178698e-05
"5",1.13154434455698e-05
"6",1.06428994776087e-05
"7",7.83316700658787e-06
"8",1.45653756313813e-05
"9",4.76319308795325e-06
"10",2.92851926128046e-05
"11",8.24683628556366e-05
"12",3.93097879343163e-05
"13",1.77997224348747e-06
"14",3.46702641040864e-08
"15",0.000217550225746765
"16",6.72913004688969e-05
"17",7.71093536389156e-06
"18",1.01128526204253e-05
"19",5.20676906579087e-06
"20",8.01872476641208e-07
"21",4.04475804371973e-06
"22",0.000149372233829936
"23",1.32936901420244e-06
"24",2.09190431865736e-06
"25",5.66622266329198e-06
"26",1.99822073901901e-05
"27",7.47214948924046e-05
"28",1.17668860546427e-05
"29",1.40691550010175e-06
"30",1.1805005989407e-06
"31",3.60150815817972e-05
"32",1.25178011561866e-05
"33",1.08546091758255e-05
"34",1.73770067846135e-05
"35",2.41964592806454e-05
"36",2.52718080417935e-06
"37",6.02336472588227e-06
"38",3.25092792841097e-06
"39",0.000101761777336784
"40",4.41748997019875e-05
"41",5.38816890016669e-06
"42",5.59099469862323e-05
"43",1.11591712536052e-05
"44",3.46320435973269e-06
"45",7.32486517440734e-07
"46",4.55920607860261e-05
"47",3.89359678455437e-05
"48",4.25083717892072e-06
"49",4.85403078107627e-05
"50",1.99986038840194e-09
"51",8.04084774744807e-05
"52",4.29050224330929e-05
"53",1.04500128957907e-05
"54",1.01466146856799e-05
"55",5.6815561597201e-05
"56",5.41700943352819e-05
"57",1.39745573973782e-05
"58",6.30605202167622e-06
"59",2.42927294006323e-05
"60",8.07013793058253e-06
"61",4.4725620985675e-06
"62",6.66530635173856e-06
"63",3.83877431456847e-05
"64",6.78739632697933e-06
"65",2.10833661418164e-07
"66",1.79833702071974e-05
"67",0.000109392484980431
"68",2.47512327633537e-07
"69",2.38221800075156e-06
"70",6.8381580245247e-05
"71",7.23135292101107e-05
"72",6.10075299167789e-07
"73",1.44496159482088e-07
"74",2.11257279814081e-06
"75",3.08617314694892e-05
"76",3.03226703611825e-05
"77",1.79892750074018e-06
"78",1.68245262943678e-07
