"","x"
"1",1e-15
"2",1e-15
"3",1e-15
"4",1e-15
"5",1e-15
"6",1e-15
"7",0.0513610903328771
"8",1e-15
"9",1e-15
"10",1e-15
"11",1e-15
"12",0.000294424369859048
"13",0.00212060436945305
"14",1e-15
"15",1e-15
"16",1e-15
"17",1e-15
"18",1.51798477965315e-06
"19",1e-15
"20",1e-15
"21",1e-15
"22",4.53342498629716e-06
"23",0.00049993570871798
"24",9.42935419812052e-06
"25",1e-15
"26",1e-15
"27",1e-15
"28",1e-15
"29",1e-15
"30",1e-15
"31",3.60503425105296e-05
"32",1e-15
"33",9.06231742522356e-05
"34",1e-15
"35",1e-15
"36",1e-15
"37",1e-15
"38",1e-15
"39",1e-15
"40",1e-15
"41",1e-15
"42",9.86551865784779e-05
"43",1e-15
"44",1e-15
"45",1e-15
"46",1e-15
"47",1e-15
"48",1e-15
"49",1e-15
"50",1e-15
"51",1e-15
"52",1e-15
"53",1e-15
"54",1e-15
"55",1e-15
"56",0.0682102123544017
"57",1e-15
"58",0.00746969588736912
"59",1e-15
"60",1e-15
"61",1e-15
"62",1e-15
"63",1e-15
"64",4.01526229401039e-05
"65",1e-15
"66",4.9522052908535e-05
"67",1e-15
"68",1e-15
"69",1e-15
"70",1e-15
"71",1e-15
"72",1e-15
"73",1e-15
"74",1e-15
"75",1e-15
"76",1e-15
"77",1e-15
"78",1e-15
"79",1e-15
"80",1e-15
"81",1e-15
"82",1e-15
"83",1e-15
"84",1e-15
"85",1e-15
"86",1e-15
"87",1e-15
"88",1e-15
"89",0.000288193324338049
"90",1e-15
"91",1e-15
"92",1e-15
"93",1e-15
"94",0.000221506152415452
"95",1e-15
"96",1e-15
"97",1e-15
"98",1e-15
"99",1e-15
"100",1e-15
"101",0.0048482329725491
"102",1e-15
"103",0.000912684311729306
"104",1e-15
"105",1e-15
"106",1e-15
"107",1e-15
"108",1e-15
"109",1e-15
"110",1e-15
"111",1e-15
"112",1e-15
"113",1e-15
"114",1e-15
"115",0.00168727190091966
"116",1e-15
"117",1e-15
"118",7.50591127149924e-05
"119",1e-15
"120",1e-15
"121",0.000146261203511799
"122",1e-15
"123",1e-15
"124",1e-15
"125",0.00103065107332723
"126",1e-15
"127",1e-15
"128",1e-15
"129",1e-15
"130",0.000984539319867195
"131",1e-15
"132",1e-15
"133",1e-15
"134",1e-15
"135",0.00569871388799226
"136",0.000320765789596056
"137",1e-15
"138",1e-15
"139",1e-15
"140",1e-15
"141",1e-15
"142",0.000166436846580686
"143",1e-15
"144",1e-15
"145",1.98642212636546e-05
"146",1e-15
"147",1e-15
"148",1e-15
"149",1e-15
"150",1e-15
"151",2.22023695922724e-05
"152",1e-15
"153",1.13903685803329e-05
"154",1e-15
"155",1e-15
"156",8.34097039223991e-05
"157",1e-15
"158",1e-15
"159",1e-15
"160",1e-15
"161",1e-15
"162",1e-15
"163",1e-15
"164",1e-15
"165",2.09458338296109e-06
"166",8.4438520124519e-05
"167",1e-15
"168",1e-15
"169",0.000131921022181514
"170",1e-15
"171",1e-15
"172",1e-15
"173",1e-15
"174",1e-15
"175",1e-15
"176",1e-15
"177",1e-15
"178",1e-15
"179",1e-15
"180",1e-15
"181",1e-15
"182",1e-15
"183",1e-15
"184",1e-15
"185",1e-15
"186",1e-15
"187",0.000678117570657499
"188",1e-15
"189",1e-15
"190",1e-15
"191",1e-15
"192",4.9447325292995e-05
"193",1e-15
"194",1e-15
"195",1e-15
"196",1e-15
"197",1e-15
"198",1e-15
"199",1e-15
"200",1.34696133644585e-05
"201",1e-15
"202",1e-15
"203",1e-15
"204",1e-15
"205",1e-15
"206",1e-15
"207",1e-15
"208",1e-15
"209",1e-15
"210",1e-15
"211",1e-15
"212",1e-15
"213",1e-15
"214",1e-15
"215",1e-15
"216",0.0157064569523051
"217",8.79646163927106e-05
"218",1e-15
"219",0.000219416462366562
"220",1e-15
"221",1e-15
"222",1e-15
"223",1e-15
"224",1e-15
"225",2.28978782149669e-05
"226",0.00133004083713484
"227",1e-15
"228",0.00186584478184082
"229",0.000197976767361108
"230",1e-15
"231",1e-15
"232",1e-15
"233",1e-15
"234",1e-15
"235",1e-15
"236",1e-15
"237",1e-15
"238",1e-15
"239",1e-15
"240",1e-15
"241",1e-15
"242",1e-15
"243",1e-15
"244",1.69028100002189e-05
"245",1e-15
"246",1e-15
"247",1e-15
"248",1e-15
"249",1e-15
"250",1e-15
"251",1e-15
"252",1e-15
"253",4.12716379472045e-05
"254",1e-15
"255",1e-15
"256",1e-15
"257",1e-15
"258",1e-15
"259",1e-15
"260",9.79965983272102e-05
"261",0.000332645479661053
"262",1e-15
"263",0.00073635434430086
"264",1e-15
"265",1e-15
"266",3.36301712267062e-06
"267",0.00080091280076755
"268",1e-15
"269",1e-15
"270",1e-15
"271",1e-15
"272",1e-15
"273",1e-15
"274",1e-15
"275",1.27806104466277e-05
"276",1e-15
"277",1e-15
"278",1e-15
"279",0.000418263659371698
"280",1e-15
"281",0.000227012930717696
"282",0.000142613173326867
"283",0.0037280241482669
"284",1e-15
"285",1.20481259102689e-05
"286",1e-15
"287",1e-15
"288",1e-15
"289",0.00172802398868221
"290",1e-15
"291",1e-15
"292",1e-15
"293",1e-15
"294",1e-15
"295",1e-15
"296",6.82279428867449e-05
"297",3.02710431654418e-06
"298",1e-15
"299",1e-15
"300",1e-15
"301",1e-15
"302",1e-15
"303",9.34686656295369e-06
"304",1e-15
"305",1.85714802691805e-06
"306",1e-15
"307",1e-15
"308",1e-15
"309",1e-15
"310",1e-15
"311",1e-15
"312",1e-15
"313",1e-15
"314",1e-15
"315",1e-15
"316",1e-15
"317",1e-15
"318",1e-15
"319",1e-15
"320",1e-15
"321",1e-15
"322",1e-15
"323",1e-15
"324",3.65519997432839e-05
"325",1e-15
"326",1e-15
"327",1e-15
"328",1e-15
"329",1e-15
"330",1e-15
"331",1e-15
"332",1e-15
"333",1e-15
"334",1e-15
"335",1e-15
"336",1e-15
"337",1e-15
"338",1e-15
"339",1e-15
"340",1e-15
"341",0.0220721252897291
"342",1e-15
"343",1e-15
"344",1e-15
"345",1e-15
"346",1e-15
"347",1e-15
"348",6.8469020412576e-05
"349",1e-15
"350",1e-15
"351",1e-15
"352",1e-15
"353",1e-15
"354",1e-15
"355",1e-15
"356",1e-15
"357",1e-15
"358",1e-15
"359",8.77457886366839e-05
"360",1e-15
"361",1e-15
"362",0.0428412698918594
"363",0.0046823152540314
"364",1e-15
"365",1e-15
"366",1e-15
"367",1e-15
"368",1e-15
"369",1e-15
"370",1e-15
"371",1e-15
"372",1e-15
"373",1e-15
"374",1e-15
"375",1e-15
"376",1e-15
"377",1e-15
"378",1e-15
"379",1e-15
"380",1e-15
"381",1e-15
"382",1e-15
"383",1e-15
"384",0.000139461876454527
"385",1e-15
"386",1e-15
"387",1e-15
"388",1e-15
"389",1e-15
"390",1e-15
"391",1e-15
"392",1e-15
"393",1e-15
"394",1e-15
"395",1e-15
"396",1e-15
"397",1e-15
"398",1e-15
"399",1e-15
"400",1e-15
"401",0.00130770419161097
"402",1e-15
"403",1e-15
"404",8.27899457371828e-05
"405",1e-15
"406",1e-15
"407",0.000204669108567535
"408",1e-15
"409",1e-15
"410",1e-15
"411",1e-15
"412",1e-15
"413",1e-15
"414",1e-15
"415",1e-15
"416",1e-15
"417",1e-15
"418",0.00552694299546763
"419",1e-15
"420",1e-15
"421",1e-15
"422",1.00998085278414e-05
"423",1e-15
"424",1e-15
"425",1e-15
"426",1e-15
"427",9.37715499106373e-05
"428",1e-15
"429",0.000149605200913894
"430",1e-15
"431",1e-15
"432",5.97227315835003e-06
"433",1e-15
"434",1e-15
"435",1e-15
"436",1e-15
"437",1e-15
"438",1e-15
"439",0.000217951443709619
"440",1e-15
"441",5.61470326765345e-06
"442",0.00213659175171299
"443",1e-15
"444",1e-15
"445",1e-15
"446",1e-15
"447",1e-15
"448",1e-15
"449",1e-15
"450",1e-15
"451",1e-15
"452",1e-15
"453",1e-15
"454",1e-15
"455",1e-15
"456",1e-15
"457",1e-15
"458",3.20365524009159e-05
"459",1e-15
"460",1e-15
"461",1e-15
"462",1e-15
"463",1e-15
"464",1e-15
"465",1e-15
"466",1e-15
"467",1e-15
"468",6.37264975011931e-07
"469",1e-15
"470",1e-15
"471",1e-15
"472",1e-15
"473",1.53981542139192e-06
"474",1e-15
"475",1e-15
"476",1e-15
"477",1e-15
"478",1e-15
"479",1e-15
"480",1e-15
"481",1e-15
"482",1e-15
"483",1e-15
"484",1e-15
"485",1e-15
"486",1e-15
"487",1e-15
"488",1e-15
"489",1e-15
"490",1e-15
"491",1e-15
"492",1e-15
"493",1e-15
"494",0.00150172033395646
"495",1e-15
"496",1e-15
"497",1e-15
"498",1e-15
"499",1e-15
"500",1e-15
"501",1e-15
"502",0.0061418316690266
"503",1e-15
"504",1e-15
"505",1e-15
"506",1e-15
"507",1e-15
"508",0.00153199687294348
"509",1e-15
"510",1e-15
"511",1e-15
"512",1e-15
"513",1e-15
"514",1e-15
"515",1e-15
"516",1e-15
"517",1e-15
"518",1e-15
"519",0.000857575071342431
"520",1e-15
"521",6.15284515559367e-08
"522",7.05490550334531e-06
"523",1e-15
"524",1e-15
"525",1e-15
"526",1e-15
"527",0.0105491198776614
"528",1e-15
"529",1e-15
"530",1e-15
"531",1.72464674708106e-05
"532",1e-15
"533",1e-15
"534",1e-15
"535",1e-15
"536",1e-15
"537",1e-15
"538",1e-15
"539",1e-15
"540",1e-15
"541",1e-15
"542",1e-15
"543",1e-15
"544",1e-15
"545",4.88556555612307e-05
"546",1e-15
"547",5.54916764439195e-06
"548",1e-15
"549",1e-15
"550",1e-15
"551",1e-15
"552",1e-15
"553",1e-15
"554",1e-15
"555",1e-15
"556",1e-15
"557",1e-15
"558",1e-15
"559",1e-15
"560",1e-15
"561",1e-15
"562",1e-15
"563",1e-15
"564",1e-15
"565",1e-15
"566",1e-15
"567",1e-15
"568",1e-15
"569",1e-15
"570",8.32594103576945e-05
"571",1e-15
"572",1e-15
"573",4.20325142402866e-06
"574",1e-15
"575",1e-15
"576",1e-15
"577",1e-15
"578",1e-15
"579",1e-15
"580",1e-15
"581",1e-15
"582",1e-15
"583",1e-15
"584",1e-15
"585",1e-15
"586",1e-15
"587",1e-15
"588",1e-15
"589",1e-15
"590",1e-15
"591",1e-15
"592",1e-15
"593",1e-15
"594",1.99044577027241e-05
"595",1e-15
"596",0.00748127319577885
"597",1e-15
"598",1e-15
"599",1e-15
"600",1e-15
"601",1e-15
"602",1e-15
"603",1e-15
"604",1e-15
"605",1e-15
"606",1e-15
"607",6.75123392114285e-05
"608",1e-15
"609",1e-15
"610",1e-15
"611",1e-15
"612",1e-15
"613",2.74764236195546e-05
"614",1e-15
"615",1e-15
"616",3.06145500283961e-07
"617",1e-15
"618",1e-15
"619",1e-15
"620",1e-15
"621",1e-15
"622",1e-15
"623",1e-15
"624",1e-15
"625",1e-15
"626",1e-15
"627",1e-15
"628",1e-15
"629",0.00113246365701902
"630",1e-15
"631",7.68323489064304e-06
"632",1e-15
"633",1e-15
"634",5.07182973485953e-06
"635",1e-15
"636",1e-15
"637",1e-15
"638",1e-15
"639",1e-15
"640",1e-15
"641",1e-15
"642",1e-15
"643",1e-15
"644",7.32304997494992e-05
"645",1e-15
"646",1e-15
"647",1e-15
"648",1e-15
"649",1e-15
"650",0.0549397953039387
"651",1e-15
"652",1e-15
"653",1e-15
"654",1e-15
"655",0.000356669608763682
"656",1e-15
"657",1e-15
"658",1e-15
"659",1e-15
"660",1e-15
"661",1e-15
"662",1e-15
"663",1.8332225679929e-05
"664",1e-15
"665",1e-15
"666",1e-15
"667",1e-15
"668",1e-15
"669",1e-15
"670",1e-15
"671",1e-15
"672",1e-15
"673",1e-15
"674",1e-15
"675",1e-15
"676",1e-15
"677",1e-15
"678",1e-15
"679",1e-15
"680",1e-15
"681",0.0013623908382544
"682",1e-15
"683",8.67102365220696e-06
"684",1e-15
"685",1e-15
"686",1e-15
"687",1e-15
"688",1e-15
