"","x"
"1",1e-15
"2",1e-15
"3",1e-15
"4",1.17031796338374e-05
"5",1e-15
"6",1e-15
"7",1e-15
"8",1.1469249266316e-05
"9",1.22973754693723e-05
"10",1e-15
"11",1e-15
"12",3.3520981860713e-05
"13",1e-15
"14",1e-15
"15",1e-15
"16",1e-15
"17",1e-15
"18",1e-15
"19",1e-15
"20",0.00232307895961781
"21",1e-15
"22",1e-15
"23",1e-15
"24",1e-15
"25",1e-15
"26",1e-15
"27",1e-15
"28",0.0128476800842708
"29",1e-15
"30",1e-15
"31",1e-15
"32",5.972325489223e-05
"33",1e-15
"34",1e-15
"35",1e-15
"36",1e-15
"37",1e-15
"38",1e-15
"39",1e-15
"40",1e-15
"41",1e-15
"42",1e-15
"43",1e-15
"44",1e-15
"45",1e-15
"46",1e-15
"47",1e-15
"48",1e-15
"49",2.13907450131723e-05
"50",1e-15
"51",1e-15
"52",1e-15
"53",1e-15
"54",1e-15
"55",1e-15
"56",1e-15
"57",0.000359744935358619
"58",1e-15
"59",1e-15
"60",1e-15
"61",1e-15
"62",1e-15
"63",1e-15
"64",1e-15
"65",1e-15
"66",1e-15
"67",1e-15
"68",1e-15
"69",1e-15
"70",1e-15
"71",1e-15
"72",0.000260222891210526
"73",1e-15
"74",1e-15
"75",0.00163531066205702
"76",1e-15
"77",1e-15
"78",1e-15
"79",1e-15
"80",1e-15
"81",1e-15
"82",1e-15
"83",1e-15
"84",0.00234235804581073
"85",1e-15
"86",0.000125427920390164
"87",1e-15
"88",1e-15
"89",1e-15
"90",0.0188607139088149
"91",9.46558354731897e-05
"92",1e-15
"93",1e-15
"94",1e-15
"95",1e-15
"96",1e-15
"97",1e-15
"98",1e-15
"99",0.000319059428535162
"100",1e-15
"101",1.06162103407081e-05
"102",1e-15
"103",1e-15
"104",1e-15
"105",1e-15
"106",1e-15
"107",1e-15
"108",1e-15
"109",1e-15
"110",1e-15
"111",1e-15
"112",1e-15
"113",2.08207948190209e-05
"114",1e-15
"115",1e-15
"116",0.00150211287142155
"117",1e-15
"118",0.000485678425950042
"119",0.00238543318260787
"120",1e-15
"121",1.32723111549993e-05
"122",1e-15
"123",1e-15
"124",1e-15
"125",1e-15
"126",1e-15
"127",1e-15
"128",0.00245826352532641
"129",1e-15
"130",1e-15
"131",1e-15
"132",1e-15
"133",1e-15
"134",1e-15
"135",1e-15
"136",1e-15
"137",1e-15
"138",1e-15
"139",1e-15
"140",1e-15
"141",1e-15
"142",1e-15
"143",1e-15
"144",1e-15
"145",1e-15
"146",1e-15
"147",1e-15
"148",1.65160812892751e-05
"149",1e-15
"150",1e-15
"151",1e-15
"152",1e-15
"153",1e-15
"154",1e-15
"155",1e-15
"156",1e-15
"157",1e-15
"158",1e-15
"159",1e-15
"160",1e-15
"161",1e-15
"162",1e-15
"163",1e-15
"164",1e-15
"165",1e-15
"166",1e-15
"167",9.35472968099926e-06
"168",1e-15
"169",1e-15
"170",1e-15
"171",1e-15
"172",1e-15
"173",1e-15
"174",1e-15
"175",0.000136702885378148
"176",1e-15
"177",1e-15
"178",1e-15
"179",1e-15
"180",1e-15
"181",1e-15
"182",1e-15
"183",1e-15
"184",1e-15
"185",1e-15
"186",1e-15
"187",1e-15
"188",1e-15
"189",1e-15
"190",1e-15
"191",1e-15
"192",1e-15
"193",1e-15
"194",1e-15
"195",1e-15
"196",1e-15
"197",0.00129191056139222
"198",1e-15
"199",1e-15
"200",1e-15
"201",1e-15
"202",1e-15
"203",1e-15
"204",1e-15
"205",1e-15
"206",1e-15
"207",1e-15
"208",1e-15
"209",1e-15
"210",1e-15
"211",1e-15
"212",1e-15
"213",1e-15
"214",1e-15
"215",1e-15
"216",1e-15
"217",1e-15
"218",1e-15
"219",1e-15
"220",1e-15
"221",2.54092641234216e-05
"222",1e-15
"223",1e-15
"224",1e-15
"225",1e-15
"226",1e-15
"227",1e-15
"228",1e-15
"229",1e-15
"230",1e-15
"231",0.00037656000749775
"232",0.00162367270435604
"233",1e-15
"234",1e-15
"235",1e-15
"236",1e-15
"237",1.37567461200305e-07
"238",0.00257290492498496
"239",1e-15
"240",1e-15
"241",9.45066227058255e-05
"242",1e-15
"243",1e-15
"244",1e-15
"245",1e-15
"246",1e-15
"247",1e-15
"248",1e-15
"249",1e-15
"250",1e-15
"251",1e-15
"252",1e-15
"253",1e-15
"254",1e-15
"255",1e-15
"256",0.000364968604669169
"257",1e-15
"258",1e-15
"259",1e-15
"260",1e-15
"261",0.00133600350447372
"262",1e-15
"263",1e-15
"264",1e-15
"265",1e-15
"266",0.00178312273709713
"267",1e-15
"268",1e-15
"269",1e-15
"270",1e-15
"271",1e-15
"272",2.11223124141346e-05
"273",1e-15
"274",1e-15
"275",0.000484058329651038
"276",1e-15
"277",1e-15
"278",0.0173656108451926
"279",1e-15
"280",1e-15
"281",1e-15
"282",1e-15
"283",1e-15
"284",1e-15
"285",1e-15
"286",1e-15
"287",1.62180325948835e-05
"288",1e-15
"289",1e-15
"290",1.64578083715616e-05
"291",1e-15
"292",1e-15
"293",1e-15
"294",0.000142803872537844
"295",1e-15
"296",1e-15
"297",1e-15
"298",1e-15
"299",0.00135143593336351
"300",1e-15
"301",1e-15
"302",1e-15
"303",1e-15
"304",1e-15
"305",1e-15
"306",1e-15
"307",1e-15
"308",4.70492635114006e-05
"309",1e-15
"310",1e-15
"311",1e-15
"312",1e-15
"313",1e-15
"314",1e-15
"315",1e-15
"316",1e-15
"317",1e-15
"318",1e-15
"319",0.00184239848590206
"320",1e-15
"321",1e-15
"322",3.06626522994513e-06
"323",1e-15
"324",1e-15
"325",1e-15
"326",1e-15
"327",1e-15
"328",1e-15
"329",1e-15
"330",1e-15
"331",1e-15
"332",1e-15
"333",1e-15
"334",1e-15
"335",1e-15
"336",1e-15
"337",1.24800827067117e-05
"338",0.000274941593230715
"339",3.31970436495688e-06
"340",1e-15
"341",1e-15
"342",1e-15
"343",1e-15
"344",1e-15
"345",1e-15
"346",1e-15
"347",1e-15
"348",1e-15
"349",1.08290894315077e-05
"350",1e-15
"351",1e-15
"352",1e-15
"353",1e-15
"354",1e-15
"355",1e-15
"356",1e-15
"357",1e-15
"358",1e-15
"359",1e-15
"360",1e-15
"361",1e-15
"362",0.000103283642383323
"363",1e-15
"364",1e-15
"365",1e-15
"366",1e-15
"367",1e-15
"368",1e-15
"369",1e-15
"370",0.000705431289881209
"371",1e-15
"372",1e-15
"373",1e-15
"374",1e-15
"375",1e-15
"376",1e-15
"377",1e-15
"378",1e-15
"379",1e-15
"380",1e-15
"381",1e-15
"382",1e-15
"383",1e-15
"384",0.00050681988107959
"385",1e-15
"386",1e-15
"387",1e-15
"388",1e-15
"389",1e-15
"390",1e-15
"391",1.20406960346653e-06
"392",1e-15
"393",1e-15
"394",1e-15
"395",0.000826681869659285
"396",1e-15
"397",1e-15
"398",1e-15
"399",1e-15
"400",1e-15
"401",1e-15
"402",1e-15
"403",1e-15
"404",2.30173643853693e-05
"405",1e-15
"406",1e-15
"407",1e-15
"408",1e-15
"409",1e-15
"410",1e-15
"411",1e-15
"412",1e-15
"413",1e-15
"414",1e-15
"415",1e-15
"416",1e-15
"417",1e-15
"418",1e-15
"419",0.000104299507406425
"420",1e-15
"421",1e-15
"422",0.00013154755564404
"423",0.000482898381998442
"424",1e-15
"425",1.86346752117927e-06
"426",1e-15
"427",1.28720769531077e-05
"428",0.000220734793944577
"429",1e-15
"430",1.49505386364268e-05
"431",1e-15
"432",1e-15
"433",1e-15
"434",1e-15
"435",1e-15
"436",1e-15
"437",1e-15
"438",1e-15
"439",1e-15
"440",1e-15
"441",1e-15
"442",1e-15
"443",1e-15
"444",1e-15
"445",1e-15
"446",1e-15
"447",0.000128613023382407
"448",1e-15
"449",1e-15
"450",1e-15
"451",1e-15
"452",1e-15
"453",1e-15
"454",1e-15
"455",1.76944128492673e-05
"456",1e-15
"457",1e-15
"458",1e-15
"459",0.000734527284813713
"460",1e-15
"461",5.00800210623265e-06
"462",1e-15
"463",1e-15
"464",1e-15
"465",1e-15
"466",1e-15
"467",1e-15
"468",1e-15
"469",1e-15
"470",1e-15
"471",1e-15
"472",1e-15
"473",1e-15
"474",1e-15
"475",1e-15
"476",1e-15
"477",1.06567538793456e-07
"478",1e-15
"479",0.00647774713162941
"480",1e-15
"481",1e-15
"482",0.00859146242044229
"483",1e-15
"484",1e-15
"485",0.00260825086662042
"486",1e-15
"487",1e-15
"488",1e-15
"489",1e-15
"490",1e-15
"491",1e-15
"492",1e-15
"493",1e-15
"494",1e-15
"495",1e-15
"496",1.3558378521572e-05
"497",1e-15
"498",1e-15
"499",1.92470966468017e-05
"500",1e-15
"501",1e-15
"502",1e-15
"503",1e-15
"504",1e-15
"505",0.00062399128344659
"506",1e-15
"507",1e-15
"508",1e-15
"509",2.96839478048927e-05
"510",1e-15
"511",1e-15
"512",1e-15
"513",1e-15
"514",1e-15
"515",1e-15
"516",1e-15
"517",1e-15
"518",1e-15
"519",3.76150667780184e-06
"520",1.45427593967185e-07
"521",1e-15
"522",1e-15
"523",3.00271161979282e-05
"524",1e-15
"525",1e-15
"526",1e-15
"527",1e-15
"528",1e-15
"529",1e-15
"530",1e-15
"531",1e-15
"532",1e-15
"533",1e-15
"534",1e-15
"535",1e-15
"536",7.03369411270138e-07
"537",0.00464181678623343
"538",0.000599173110782725
"539",1e-15
"540",1e-15
"541",1e-15
"542",1e-15
"543",3.92441366547924e-05
"544",1e-15
"545",1e-15
"546",1e-15
"547",1e-15
"548",0.00231847762345339
"549",1e-15
"550",1e-15
"551",1e-15
"552",1e-15
"553",1e-15
"554",1e-15
"555",1e-15
"556",1e-15
"557",1e-15
"558",1e-15
"559",1e-15
"560",1e-15
"561",1e-15
"562",0.000326288215922399
"563",1e-15
"564",1e-15
"565",1e-15
"566",1e-15
"567",1e-15
"568",1e-15
"569",1e-15
"570",1e-15
"571",0.000128614914653102
"572",1e-15
"573",1e-15
"574",1e-15
"575",1e-15
"576",1e-15
"577",1e-15
"578",1e-15
"579",1e-15
"580",1e-15
"581",1e-15
"582",0.000158772967675969
"583",1e-15
"584",1e-15
"585",1e-15
"586",1e-15
"587",1e-15
"588",1e-15
"589",1e-15
"590",1e-15
"591",1e-15
"592",1e-15
"593",1e-15
"594",1e-15
"595",1e-15
"596",1e-15
"597",1e-15
"598",4.77612721593301e-05
"599",0.00234801447681532
"600",1e-15
"601",0.0132910841716781
"602",0.0011796783688689
"603",1e-15
"604",1e-15
"605",1e-15
"606",1e-15
"607",1e-15
"608",1e-15
"609",1e-15
"610",1e-15
"611",1e-15
"612",1.76123819333185e-05
"613",1e-15
"614",1e-15
"615",5.36878923540485e-07
"616",9.56958160847066e-06
"617",1e-15
"618",1e-15
"619",1e-15
"620",0.000749264238514069
"621",1e-15
"622",3.75304383495312e-05
"623",1e-15
"624",1e-15
"625",1e-15
"626",1e-15
"627",1e-15
"628",1e-15
"629",1e-15
"630",1e-15
"631",0.00148104878435451
"632",1e-15
"633",1e-15
"634",0.000363036680223416
"635",6.31242391126996e-05
"636",1e-15
"637",1e-15
"638",1e-15
"639",1e-15
"640",1e-15
"641",1e-15
"642",1e-15
"643",6.61297952562201e-05
"644",1e-15
"645",1e-15
"646",1e-15
"647",1e-15
"648",1e-15
"649",1e-15
"650",1e-15
"651",1e-15
"652",1e-15
"653",1e-15
"654",1e-15
"655",0.000140429660643537
"656",1e-15
"657",1e-15
"658",1e-15
"659",1e-15
"660",0.000545509051321891
"661",1e-15
"662",1e-15
"663",1e-15
"664",1e-15
"665",1e-15
"666",1e-15
"667",1e-15
"668",1e-15
"669",1e-15
"670",1e-15
"671",1e-15
"672",1e-15
"673",1.51098321240495e-05
"674",1e-15
"675",1e-15
"676",1e-15
"677",1e-15
"678",1e-15
"679",1e-15
"680",1e-15
"681",1e-15
"682",1e-15
"683",1e-15
"684",0.00549754094645405
"685",1e-15
"686",1e-15
"687",1e-15
"688",1e-15
"689",9.26535556011743e-06
"690",1e-15
"691",1e-15
"692",1e-15
