"","x"
"1",1e-15
"2",1e-15
"3",9.81761745639798e-05
"4",1e-15
"5",1e-15
"6",1e-15
"7",1e-15
"8",1e-15
"9",1e-15
"10",1e-15
"11",1e-15
"12",1e-15
"13",1e-15
"14",1e-15
"15",1e-15
"16",1e-15
"17",1e-15
"18",1e-15
"19",1e-15
"20",1e-15
"21",1e-15
"22",1e-15
"23",1e-15
"24",1e-15
"25",1e-15
"26",1e-15
"27",1e-15
"28",1e-15
"29",1e-15
"30",1e-15
"31",1e-15
"32",1e-15
"33",1e-15
"34",1e-15
"35",1e-15
"36",1.42120528776601e-05
"37",1e-15
"38",1e-15
"39",0.000457360520825789
"40",0.00179729586056721
"41",1e-15
"42",3.75951887825465e-05
"43",0.00495647642130326
"44",1e-15
"45",1e-15
"46",1e-15
"47",1e-15
"48",1e-15
"49",1e-15
"50",1e-15
"51",1e-15
"52",1e-15
"53",6.00554423988431e-05
"54",7.74002272635466e-05
"55",0.000289197289581877
"56",1e-15
"57",1.80346610534343e-07
"58",1e-15
"59",1e-15
"60",1e-15
"61",1e-15
"62",1e-15
"63",2.0388038705077e-06
"64",1e-15
"65",1e-15
"66",1e-15
"67",1e-15
"68",1e-15
"69",1e-15
"70",1e-15
"71",4.48326252922016e-06
"72",1e-15
"73",1e-15
"74",1e-15
"75",1e-15
"76",1e-15
"77",1e-15
"78",1e-15
"79",1e-15
"80",1e-15
"81",1e-15
"82",1e-15
"83",5.33367685595643e-06
"84",1e-15
"85",1e-15
"86",1e-15
"87",2.42322348387169e-06
"88",1e-15
"89",1e-15
"90",1e-15
"91",1e-15
"92",0.00244253059824617
"93",1e-15
"94",1e-15
"95",1e-15
"96",1e-15
"97",1e-15
"98",1e-15
"99",1e-15
"100",1e-15
"101",1e-15
"102",8.88063404748118e-05
"103",1e-15
"104",1e-15
"105",4.12268386351666e-06
"106",1e-15
"107",1e-15
"108",1e-15
"109",0.00471182931863057
"110",1e-15
"111",1e-15
"112",1e-15
"113",1e-15
"114",1e-15
"115",1e-15
"116",1e-15
"117",1e-15
"118",1e-15
"119",1e-15
"120",1e-15
"121",1e-15
"122",1e-15
"123",1e-15
"124",1e-15
"125",1e-15
"126",4.88874939886808e-05
"127",1e-15
"128",0.000198972624744886
"129",1e-15
"130",4.39022076186291e-05
"131",1e-15
"132",1e-15
"133",1e-15
"134",1e-15
"135",1e-15
"136",1e-15
"137",1e-15
"138",1e-15
"139",0.000526915990815668
"140",1e-15
"141",1e-15
"142",2.43133378423632e-05
"143",1e-15
"144",2.80702361210583e-06
"145",1e-15
"146",1e-15
"147",1e-15
"148",1e-15
"149",4.09372275556041e-06
"150",1e-15
"151",0.00179463132890212
"152",1e-15
"153",1e-15
"154",1e-15
"155",1e-15
"156",1e-15
"157",1e-15
"158",1e-15
"159",1e-15
"160",1e-15
"161",1.89453844068321e-06
"162",0.00707803212091862
"163",5.51781010601493e-05
"164",1e-15
"165",1e-15
"166",2.00911190710862e-05
"167",1e-15
"168",1e-15
"169",1e-15
"170",1e-15
"171",1e-15
"172",1e-15
"173",1e-15
"174",1e-15
"175",0.000107929879745727
"176",1e-15
"177",1e-15
"178",1e-15
"179",8.06939081801072e-05
"180",1e-15
"181",1e-15
"182",1e-15
"183",1e-15
"184",0.000343641447245635
"185",1e-15
"186",1e-15
"187",1e-15
"188",1e-15
"189",1e-15
"190",2.79810324910201e-07
"191",1e-15
"192",1e-15
"193",0.000272964597920256
"194",1e-15
"195",1e-15
"196",1e-15
"197",1e-15
"198",1e-15
"199",1e-15
"200",4.89705849104904e-06
"201",1e-15
"202",1e-15
"203",1e-15
"204",1e-15
"205",0.000774824016891773
"206",1e-15
"207",1e-15
"208",1e-15
"209",1e-15
"210",1e-15
"211",1e-15
"212",1e-15
"213",1e-15
"214",1.11138381101439e-05
"215",1e-15
"216",9.84823884131458e-06
"217",1e-15
"218",1.73880580730534e-05
"219",1e-15
"220",1e-15
"221",2.26043475500814e-05
"222",1.48378767171886e-05
"223",3.54178616365219e-05
"224",1.50643173604248e-05
"225",1.06299326940729e-06
"226",1e-15
"227",1e-15
"228",1e-15
"229",1e-15
"230",1e-15
"231",1e-15
"232",1e-15
"233",1e-15
"234",1e-15
"235",1e-15
"236",1e-15
"237",1e-15
"238",0.000432105240314784
"239",1e-15
"240",1e-15
"241",1e-15
"242",1e-15
"243",1e-15
"244",0.00236453816947357
"245",1e-15
"246",0.00396771459060863
"247",1e-15
"248",1e-15
"249",1e-15
"250",1e-15
"251",1e-15
"252",1e-15
"253",1e-15
"254",1e-15
"255",1e-15
"256",1e-15
"257",1e-15
"258",9.96316753009152e-05
"259",1e-15
"260",1e-15
"261",1e-15
"262",1e-15
"263",1e-15
"264",0.00703595345386288
"265",1e-15
"266",1e-15
"267",1e-15
"268",1e-15
"269",1e-15
"270",1e-15
"271",1e-15
"272",1e-15
"273",1e-15
"274",1e-15
"275",0.00203310063170958
"276",1e-15
"277",1e-15
"278",1e-15
"279",1e-15
"280",1e-15
"281",1e-15
"282",1e-15
"283",1e-15
"284",1e-15
"285",1e-15
"286",0.00132118226792555
"287",1e-15
"288",1e-15
"289",1e-15
"290",1e-15
"291",1e-15
"292",1e-15
"293",1e-15
"294",1e-15
"295",1e-15
"296",1e-15
"297",1e-15
"298",1e-15
"299",1e-15
"300",1e-15
"301",1e-15
"302",2.25793940009655e-05
"303",1e-15
"304",1e-15
"305",1e-15
"306",1e-15
"307",1e-15
"308",1e-15
"309",1e-15
"310",2.20379245001734e-05
"311",1e-15
"312",1e-15
"313",1e-15
"314",1e-15
"315",1e-15
"316",2.08476853653661e-05
"317",1e-15
"318",1e-15
"319",1e-15
"320",0.000298402880047899
"321",1e-15
"322",1e-15
"323",1e-15
"324",0.00696114646579471
"325",1e-15
"326",2.76022621215066e-06
"327",1e-15
"328",1e-15
"329",6.03659167364157e-06
"330",0.00368124150809768
"331",1e-15
"332",0.00886096032405348
"333",1e-15
"334",1e-15
"335",1e-15
"336",1e-15
"337",1e-15
"338",1e-15
"339",1e-15
"340",1e-15
"341",1e-15
"342",1e-15
"343",1e-15
"344",1e-15
"345",1e-15
"346",1e-15
"347",1e-15
"348",1e-15
"349",1e-15
"350",0.00586254343903947
"351",1e-15
"352",1e-15
"353",1e-15
"354",1e-15
"355",1e-15
"356",1e-15
"357",1e-15
"358",1e-15
"359",1e-15
"360",1e-15
"361",5.55465044349557e-06
"362",7.51066845474657e-05
"363",1e-15
"364",1e-15
"365",1e-15
"366",1e-15
"367",1e-15
"368",0.00156890424965972
"369",1e-15
"370",1e-15
"371",8.40664179793116e-05
"372",1e-15
"373",1e-15
"374",5.78816602048171e-06
"375",1e-15
"376",1e-15
"377",1e-15
"378",0.00604292692801034
"379",1e-15
"380",1e-15
"381",1e-15
"382",1e-15
"383",1e-15
"384",0.00490091181633046
"385",1e-15
"386",1e-15
"387",1e-15
"388",0.000603511701694703
"389",1e-15
"390",0.000411903972378447
"391",1e-15
"392",1e-15
"393",1e-15
"394",0.00563019793463027
"395",1e-15
"396",1e-15
"397",1e-15
"398",1e-15
"399",1e-15
"400",1e-15
"401",1e-15
"402",1e-15
"403",1e-15
"404",1e-15
"405",1e-15
"406",1e-15
"407",1e-15
"408",1e-15
"409",1e-15
"410",2.78098415851247e-07
"411",1e-15
"412",1e-15
"413",1e-15
"414",1e-15
"415",1e-15
"416",1e-15
"417",1e-15
"418",1e-15
"419",1e-15
"420",1e-15
"421",0.000501819529966419
"422",1e-15
"423",1e-15
"424",1e-15
"425",1e-15
"426",1e-15
"427",1e-15
"428",1e-15
"429",1e-15
"430",1e-15
"431",1e-15
"432",1e-15
"433",1e-15
"434",1e-15
"435",1e-15
"436",1e-15
"437",1e-15
"438",1e-15
"439",1e-15
"440",1e-15
"441",5.04935017997532e-06
"442",7.08517178182877e-06
"443",1e-15
"444",1e-15
"445",1e-15
"446",1e-15
"447",1e-15
"448",1e-15
"449",1e-15
"450",2.77146630229819e-05
"451",1e-15
"452",1e-15
"453",1e-15
"454",1e-15
"455",1e-15
"456",1e-15
"457",1e-15
"458",2.46742805687372e-06
"459",1e-15
"460",0.00855463880848928
"461",1e-15
"462",1e-15
"463",1e-15
"464",1e-15
"465",1e-15
"466",1e-15
"467",1e-15
"468",1e-15
"469",0.00037293191169574
"470",1e-15
"471",1e-15
"472",1e-15
"473",1e-15
"474",1e-15
"475",1e-15
"476",1e-15
"477",0.032906033840165
"478",1e-15
"479",1e-15
"480",1e-15
"481",1e-15
"482",1e-15
"483",1e-15
"484",1e-15
"485",1e-15
"486",1e-15
"487",1e-15
"488",1e-15
"489",1e-15
"490",1e-15
"491",1e-15
"492",8.59286806116355e-05
"493",1e-15
"494",1.136971688942e-05
"495",1e-15
"496",1e-15
"497",1e-15
"498",1e-15
"499",2.31450922427712e-06
"500",2.59986638506682e-06
"501",0.000609575080712688
"502",1e-15
"503",1e-15
"504",1e-15
"505",1e-15
"506",1e-15
"507",9.84456381383225e-05
"508",1e-15
"509",1e-15
"510",3.53245014128589e-07
"511",1e-15
"512",1e-15
"513",1e-15
"514",1e-15
"515",1e-15
"516",1e-15
"517",1e-15
"518",1e-15
"519",1e-15
"520",1e-15
"521",1e-15
"522",1e-15
"523",1e-15
"524",1e-15
"525",1e-15
"526",1e-15
"527",1e-15
"528",1e-15
"529",1e-15
"530",1e-15
"531",1e-15
"532",0.000136141718803717
"533",1e-15
"534",1e-15
"535",1e-15
"536",1e-15
"537",1e-15
"538",1e-15
"539",1e-15
"540",1.84417870974229e-08
"541",1e-15
"542",1e-15
"543",1e-15
"544",1e-15
"545",1e-15
"546",1e-15
"547",0.00889373374815972
"548",1e-15
"549",1e-15
"550",1e-15
"551",1e-15
"552",1e-15
"553",1e-15
"554",1e-15
"555",1e-15
"556",9.71143512495942e-07
"557",0.00267538907292564
"558",1e-15
"559",1e-15
"560",1e-15
"561",1e-15
"562",1e-15
"563",1e-15
"564",1e-15
"565",1e-15
"566",1e-15
"567",1e-15
"568",1e-15
"569",1e-15
"570",1e-15
"571",1e-15
"572",1e-15
"573",1e-15
"574",1e-15
"575",1e-15
"576",1e-15
"577",1e-15
"578",1e-15
"579",1e-15
"580",1e-15
"581",1e-15
"582",1e-15
"583",1e-15
"584",1e-15
"585",7.77509469742643e-05
"586",1e-15
"587",1.16473139555318e-06
"588",0.000641520088988212
"589",1e-15
"590",1e-15
"591",1e-15
"592",1e-15
"593",1e-15
"594",1e-15
"595",5.91104998528547e-05
"596",2.6383447302436e-06
"597",1e-15
"598",1.66002678181343e-05
"599",1e-15
"600",1.28038760494054e-05
"601",1e-15
"602",1e-15
"603",1e-15
"604",1e-15
"605",0.000943680244556044
"606",0.000138089010060072
"607",1e-15
"608",1e-15
"609",1e-15
"610",1e-15
"611",1e-15
"612",1e-15
"613",1e-15
"614",1e-15
"615",1e-15
"616",1e-15
"617",0.000675410732576598
"618",1e-15
"619",1e-15
"620",1e-15
"621",1e-15
"622",1e-15
"623",1e-15
"624",1e-15
"625",1e-15
"626",1e-15
"627",1e-15
"628",0.00420371379620044
"629",1.39681201039021e-06
"630",1e-15
"631",1e-15
"632",0.000113109665826894
"633",1e-15
"634",1e-15
"635",1e-15
"636",1e-15
"637",0.000816346330927309
"638",1e-15
"639",1e-15
"640",1e-15
"641",1e-15
"642",1e-15
"643",1e-15
"644",1e-15
"645",1e-15
"646",1e-15
"647",1e-15
"648",1e-15
"649",1e-15
"650",1e-15
"651",1e-15
"652",1e-15
"653",1e-15
"654",1e-15
"655",1e-15
"656",1e-15
"657",1e-15
"658",1e-15
"659",1e-15
"660",1e-15
"661",1e-15
"662",1e-15
"663",1e-15
"664",3.54568029711233e-05
"665",1e-15
"666",1e-15
"667",1e-15
"668",5.85271436196466e-05
"669",0.00241400596816688
"670",1e-15
"671",1e-15
"672",1e-15
"673",1e-15
"674",1e-15
"675",6.77259802861485e-06
"676",1e-15
"677",1e-15
"678",1e-15
"679",1e-15
"680",1e-15
"681",1e-15
"682",0.000137312543948886
"683",1e-15
"684",1e-15
