"","x"
"1",1e-15
"2",1e-15
"3",1e-15
"4",0.0513610903328771
"5",1e-15
"6",0.000294424369859048
"7",0.00212060436945305
"8",1e-15
"9",1.51798477965315e-06
"10",1e-15
"11",4.53342498629716e-06
"12",0.00066251406892015
"13",1e-15
"14",1e-15
"15",1e-15
"16",4.50450000891722e-05
"17",9.06231742522356e-05
"18",1e-15
"19",1e-15
"20",1e-15
"21",9.86551865784779e-05
"22",1e-15
"23",1e-15
"24",1e-15
"25",1e-15
"26",1e-15
"27",1e-15
"28",0.0682102123544017
"29",0.00746969588736912
"30",1e-15
"31",1e-15
"32",4.01526229401039e-05
"33",4.9522052908535e-05
"34",1e-15
"35",1e-15
"36",1e-15
"37",1e-15
"38",1e-15
"39",1e-15
"40",1e-15
"41",1e-15
"42",1e-15
"43",1e-15
"44",1e-15
"45",0.000330464333271441
"46",1e-15
"47",0.000221506152415452
"48",1e-15
"49",1e-15
"50",1e-15
"51",0.0300491878250779
"52",0.000955489697499812
"53",1e-15
"54",1e-15
"55",1e-15
"56",1e-15
"57",1e-15
"58",0.00739843363534054
"59",7.50591127149924e-05
"60",1e-15
"61",0.000267102051862866
"62",1e-15
"63",0.00103065107332723
"64",1e-15
"65",0.000984539319867195
"66",1e-15
"67",1e-15
"68",0.0121344600473319
"69",1e-15
"70",1e-15
"71",0.000166436846580686
"72",1e-15
"73",2.06246670119148e-05
"74",1e-15
"75",1e-15
"76",5.33990405573448e-05
"77",2.33524379711358e-05
"78",8.34097039223991e-05
"79",1e-15
"80",1e-15
"81",1e-15
"82",1e-15
"83",8.53004689741477e-05
"84",1e-15
"85",0.00028403594516746
"86",1e-15
"87",1e-15
"88",1e-15
"89",1e-15
"90",1e-15
"91",1e-15
"92",1e-15
"93",1e-15
"94",0.000875123856848181
"95",1e-15
"96",4.9447325292995e-05
"97",1e-15
"98",1e-15
"99",1e-15
"100",1.34696133644585e-05
"101",1e-15
"102",1e-15
"103",1e-15
"104",1e-15
"105",1e-15
"106",1e-15
"107",1e-15
"108",0.0157064569523051
"109",0.000114141181144056
"110",0.000219416462366562
"111",1e-15
"112",1e-15
"113",0.00134512992998581
"114",0.00186584478184082
"115",0.000197976767361108
"116",1e-15
"117",1e-15
"118",1e-15
"119",1e-15
"120",1e-15
"121",1e-15
"122",1.69028100002189e-05
"123",1e-15
"124",1e-15
"125",1e-15
"126",1e-15
"127",4.77146348393243e-05
"128",1e-15
"129",1e-15
"130",9.79965983272102e-05
"131",0.000332645479661053
"132",0.00132691353749093
"133",3.36301712267062e-06
"134",0.00080091280076755
"135",1e-15
"136",1e-15
"137",1e-15
"138",1.76276050316559e-05
"139",1e-15
"140",0.000543356391254912
"141",0.000383984302630425
"142",0.00582474594734605
"143",1.28813530498872e-05
"144",1e-15
"145",0.00172802398868221
"146",1e-15
"147",1e-15
"148",6.82279428867449e-05
"149",3.45101837251338e-06
"150",1e-15
"151",1e-15
"152",9.34686656295369e-06
"153",1.85714802691805e-06
"154",1e-15
"155",1e-15
"156",1e-15
"157",1e-15
"158",1e-15
"159",1e-15
"160",1e-15
"161",1e-15
"162",3.65519997432839e-05
"163",1e-15
"164",1e-15
"165",1e-15
"166",1e-15
"167",1e-15
"168",1e-15
"169",1e-15
"170",1e-15
"171",0.036407429387372
"172",1e-15
"173",1e-15
"174",6.8469020412576e-05
"175",1e-15
"176",1e-15
"177",1e-15
"178",1e-15
"179",1e-15
"180",8.99542922926377e-05
"181",0.0428412698918594
"182",0.0103416726610562
"183",1e-15
"184",1e-15
"185",1e-15
"186",1e-15
"187",1e-15
"188",1e-15
"189",1e-15
"190",1e-15
"191",1e-15
"192",0.000139461876454527
"193",1e-15
"194",1e-15
"195",1e-15
"196",1e-15
"197",1e-15
"198",1e-15
"199",1e-15
"200",1e-15
"201",0.00223602846952498
"202",8.27899457371828e-05
"203",1e-15
"204",0.000204669108567535
"205",1e-15
"206",1e-15
"207",1e-15
"208",1e-15
"209",0.00552694299546763
"210",1e-15
"211",1.00998085278414e-05
"212",1e-15
"213",1e-15
"214",0.000119796085140123
"215",0.000149605200913894
"216",5.97227315835003e-06
"217",1e-15
"218",1e-15
"219",1e-15
"220",0.000428069760805561
"221",0.0021408409292466
"222",1e-15
"223",1e-15
"224",1e-15
"225",1e-15
"226",1e-15
"227",1e-15
"228",1e-15
"229",3.20365524009159e-05
"230",1e-15
"231",1e-15
"232",1e-15
"233",1e-15
"234",6.37264975011931e-07
"235",1e-15
"236",1e-15
"237",4.00541275458188e-06
"238",1e-15
"239",1e-15
"240",1e-15
"241",1e-15
"242",1e-15
"243",1e-15
"244",1e-15
"245",1e-15
"246",1e-15
"247",0.00150172033395646
"248",1e-15
"249",1e-15
"250",1e-15
"251",0.0061418316690266
"252",1e-15
"253",1e-15
"254",0.00153199687294348
"255",1e-15
"256",1e-15
"257",1e-15
"258",1e-15
"259",1e-15
"260",0.000857575071342431
"261",7.24714911914948e-06
"262",1e-15
"263",1e-15
"264",0.0105491198776614
"265",1e-15
"266",2.62888991958699e-05
"267",1e-15
"268",1e-15
"269",1e-15
"270",1e-15
"271",1e-15
"272",1e-15
"273",0.000175653535637088
"274",1.58670793890536e-05
"275",1e-15
"276",1e-15
"277",1e-15
"278",1e-15
"279",1e-15
"280",1e-15
"281",1e-15
"282",1e-15
"283",1e-15
"284",1e-15
"285",8.32594103576945e-05
"286",1e-15
"287",4.20325142402866e-06
"288",1e-15
"289",1e-15
"290",1e-15
"291",1e-15
"292",1e-15
"293",1e-15
"294",1e-15
"295",1e-15
"296",1e-15
"297",1.99044577027241e-05
"298",0.00748127319577885
"299",1e-15
"300",1e-15
"301",1e-15
"302",1e-15
"303",1e-15
"304",8.25645615335491e-05
"305",1e-15
"306",1e-15
"307",6.02147130817077e-05
"308",3.06145500283961e-07
"309",1e-15
"310",1e-15
"311",1e-15
"312",1e-15
"313",1e-15
"314",1e-15
"315",0.00159147412930949
"316",9.45148163455922e-06
"317",5.07182973485953e-06
"318",1e-15
"319",1e-15
"320",1e-15
"321",1e-15
"322",7.32304997494992e-05
"323",1e-15
"324",1e-15
"325",0.0549397953039387
"326",1e-15
"327",1e-15
"328",0.000356669608763682
"329",1e-15
"330",1e-15
"331",1e-15
"332",5.94434878069539e-05
"333",1e-15
"334",1e-15
"335",1e-15
"336",1e-15
"337",1e-15
"338",1e-15
"339",1e-15
"340",1e-15
"341",0.0015174750513931
"342",8.67102365220696e-06
"343",1e-15
"344",1e-15
"345",0.000114835788980083
"346",1e-15
"347",1e-15
"348",1e-15
"349",1.46857673799516e-07
"350",7.48951923679186e-06
"351",0.00398461826652252
"352",1e-15
"353",1e-15
"354",0.142370723389205
"355",1.19416037159814e-05
"356",1.90358949514469e-06
"357",1e-15
"358",1e-15
"359",1e-15
"360",1e-15
"361",0.000112409823135096
"362",1e-15
"363",1e-15
"364",0.00187215401060281
"365",1e-15
"366",1e-15
"367",3.76081760146141e-05
"368",1e-15
"369",1e-15
"370",1e-15
"371",1e-15
"372",0.00608060176614211
"373",1e-15
"374",1e-15
"375",0.000725411736083648
"376",0.000188018573425319
"377",2.43342100711974e-05
"378",1.03030684458494e-05
"379",1e-15
"380",1e-15
"381",1e-15
"382",1e-15
"383",0.00377561276603167
"384",0.000121030200193717
"385",8.32822458540772e-06
"386",1e-15
"387",1e-15
"388",1e-15
"389",1e-15
"390",1e-15
"391",0.00190443728390111
"392",0.00378721564323303
"393",1e-15
"394",1e-15
"395",0.0041014002579749
"396",1e-15
"397",1e-15
"398",0.000154649386388539
"399",1e-15
"400",1e-15
"401",1e-15
"402",1e-15
"403",1e-15
"404",0.00227873427467162
"405",1e-15
"406",1e-15
"407",1e-15
"408",1e-15
"409",0.00215644878812127
"410",1e-15
"411",4.18756633944195e-05
"412",0.000226398573745512
"413",1e-15
"414",5.72295712308879e-06
"415",9.68814850788036e-07
"416",0.00833587023841176
"417",1e-15
"418",2.7328585920916e-06
"419",0.000649707977835479
"420",1e-15
"421",1e-15
"422",1e-15
"423",1e-15
"424",0.0053528147297548
"425",1e-15
"426",1e-15
"427",1e-15
"428",1e-15
"429",1e-15
"430",1e-15
"431",1e-15
"432",0.00366558113318993
"433",1e-15
"434",1e-15
"435",1e-15
"436",3.28398698871135e-05
"437",0.00107159867083251
"438",1e-15
"439",1e-15
"440",1.01233839236992e-05
"441",1e-15
"442",1e-15
"443",1e-15
"444",1e-15
"445",1e-15
"446",1e-15
"447",1e-15
"448",1e-15
"449",1e-15
"450",1e-15
"451",1e-15
"452",1e-15
"453",1e-15
"454",1e-15
"455",1e-15
"456",1e-15
"457",1e-15
"458",4.37184971748827e-05
"459",1e-15
"460",1e-15
"461",1e-15
"462",1e-15
"463",5.71167141227846e-06
"464",1e-15
"465",1e-15
"466",1e-15
"467",0.000247964037254356
"468",1e-15
"469",4.22425666626314e-05
"470",0.00292526158659923
"471",1e-15
"472",1e-15
"473",1e-15
"474",1e-15
"475",1e-15
"476",1e-15
"477",1e-15
"478",1e-15
"479",0.000181176058597465
"480",1e-15
"481",4.07683973135953e-06
"482",2.51781719640132e-06
"483",0.00546919721969108
"484",3.1912414414248e-05
"485",1e-15
"486",1e-15
"487",1e-15
"488",1e-15
"489",1e-15
"490",0.000214059513598652
"491",3.63129803954143e-05
"492",1e-15
"493",1e-15
"494",5.76428735163947e-05
"495",1e-15
"496",1e-15
"497",1e-15
"498",1e-15
"499",1e-15
"500",1e-15
"501",1e-15
"502",2.88324479846835e-07
"503",1e-15
"504",1e-15
"505",1.50003845699187e-05
"506",1e-15
"507",1e-15
"508",7.87275999869497e-06
"509",1e-15
"510",1e-15
"511",1e-15
"512",1e-15
"513",1e-15
"514",1e-15
"515",1e-15
"516",1e-15
"517",1e-15
"518",1e-15
"519",1e-15
"520",1e-15
"521",0.000691208393582721
"522",1e-15
"523",1e-15
"524",0.0128907682072281
"525",0.00209595901848347
"526",1e-15
"527",1e-15
"528",1e-15
"529",1e-15
"530",1e-15
"531",1e-15
"532",1e-15
"533",1.64318478823589e-08
"534",1e-15
"535",1e-15
"536",1e-15
"537",1e-15
"538",1e-15
"539",0.00809090713789717
"540",1e-15
"541",1e-15
"542",1e-15
"543",1e-15
"544",1e-15
"545",1e-15
"546",2.05078119697166e-05
"547",0.00249610411704382
"548",0.000950515027180465
"549",1e-15
"550",1e-15
"551",1e-15
"552",0.000107343780038738
"553",1e-15
"554",1e-15
"555",1e-15
"556",9.91941441195188e-05
"557",1e-15
"558",1e-15
"559",1e-15
"560",2.97126803087133e-05
"561",1e-15
"562",1e-15
"563",1e-15
"564",1e-15
"565",1e-15
"566",0.000549984450010088
"567",1e-15
"568",0.00292317649491802
"569",1e-15
"570",1e-15
"571",1e-15
"572",1e-15
"573",0.00230094937429637
"574",1e-15
"575",1e-15
"576",1e-15
"577",0.00792940838573908
"578",1e-15
"579",1e-15
"580",1e-15
"581",1e-15
"582",1e-15
"583",1e-15
"584",1e-15
"585",0.0114482438372404
"586",1e-15
"587",1e-15
"588",0.000955131403713949
"589",1e-15
"590",1e-15
"591",1e-15
"592",0.000855850863882401
"593",1e-15
"594",1.83698400236798e-05
"595",1e-15
"596",1e-15
"597",1e-15
"598",1e-15
"599",1e-15
"600",0.00591892607414124
"601",0.000180929359831827
"602",5.62789384235263e-05
"603",1e-15
"604",1e-15
"605",0.0149396356243843
"606",0.000205596226498184
"607",1e-15
"608",1e-15
"609",5.8013212263508e-05
"610",1e-15
"611",1e-15
"612",1e-15
"613",3.30907424203053e-05
"614",1e-15
"615",5.44073290819069e-05
"616",1e-15
"617",1e-15
"618",5.37790596999432e-06
"619",2.0622072215426e-06
"620",1e-15
"621",1e-15
"622",6.6771491219586e-05
"623",1e-15
"624",1e-15
"625",1e-15
"626",1e-15
"627",0.0024567535368375
"628",1e-15
"629",1e-15
"630",9.31114077303841e-05
"631",0.0076202998676459
"632",1e-15
"633",1e-15
"634",1e-15
"635",1e-15
"636",1e-15
"637",1e-15
"638",1e-15
"639",1e-15
"640",1e-15
"641",2.4199228242372e-06
