"","x"
"1",1e-15
"2",1.17031796338374e-05
"3",1e-15
"4",1.1469249266316e-05
"5",3.14752992874867e-05
"6",3.3520981860713e-05
"7",1e-15
"8",1e-15
"9",1e-15
"10",0.00232307895961781
"11",1e-15
"12",1e-15
"13",1e-15
"14",0.0128476800842708
"15",1e-15
"16",5.972325489223e-05
"17",1e-15
"18",1e-15
"19",1e-15
"20",1e-15
"21",1e-15
"22",1e-15
"23",1e-15
"24",1e-15
"25",4.45702081772748e-05
"26",1e-15
"27",1e-15
"28",1e-15
"29",0.000688653545645068
"30",1e-15
"31",1e-15
"32",1e-15
"33",1e-15
"34",1e-15
"35",1e-15
"36",0.000260222891210526
"37",1e-15
"38",0.00195704036258515
"39",1e-15
"40",1e-15
"41",1e-15
"42",0.00234235804581073
"43",0.000125427920390164
"44",1e-15
"45",0.0188607139088149
"46",0.000106522143157428
"47",1e-15
"48",1e-15
"49",1e-15
"50",0.000319059428535162
"51",2.46856609592561e-05
"52",1e-15
"53",1e-15
"54",1e-15
"55",1e-15
"56",1e-15
"57",6.34753836611379e-05
"58",0.00150211287142155
"59",0.000485678425950042
"60",0.00238543318260787
"61",3.15523028653342e-05
"62",1e-15
"63",1e-15
"64",0.00245826352532641
"65",1e-15
"66",1e-15
"67",1e-15
"68",1e-15
"69",1e-15
"70",1e-15
"71",1e-15
"72",1e-15
"73",1e-15
"74",1.65160812892751e-05
"75",1e-15
"76",1e-15
"77",1e-15
"78",1e-15
"79",1e-15
"80",1e-15
"81",1e-15
"82",1e-15
"83",1e-15
"84",1.11934308049122e-05
"85",1e-15
"86",1e-15
"87",1e-15
"88",0.000136702885378148
"89",1e-15
"90",1e-15
"91",1e-15
"92",1e-15
"93",1e-15
"94",1e-15
"95",1e-15
"96",1e-15
"97",1e-15
"98",1e-15
"99",0.00145788663696744
"100",1e-15
"101",1e-15
"102",1e-15
"103",1e-15
"104",1e-15
"105",1e-15
"106",1e-15
"107",1e-15
"108",1e-15
"109",1e-15
"110",1e-15
"111",3.29174860607129e-05
"112",1e-15
"113",1e-15
"114",1e-15
"115",1e-15
"116",0.00235798491521144
"117",1e-15
"118",1e-15
"119",0.00257310465589466
"120",1e-15
"121",0.000103339573261363
"122",1e-15
"123",1e-15
"124",1e-15
"125",1e-15
"126",1e-15
"127",1e-15
"128",0.000364968604669169
"129",1e-15
"130",1e-15
"131",0.00137120047575312
"132",1e-15
"133",0.00178312273709713
"134",1e-15
"135",1e-15
"136",2.11223124141346e-05
"137",1e-15
"138",0.000484058329651038
"139",0.0173656108451926
"140",1e-15
"141",1e-15
"142",1e-15
"143",1e-15
"144",1.62180325948835e-05
"145",1.64578083715616e-05
"146",1e-15
"147",0.000142803872537844
"148",1e-15
"149",1e-15
"150",0.00199248163779409
"151",1e-15
"152",1e-15
"153",1e-15
"154",4.70492635114006e-05
"155",1e-15
"156",1e-15
"157",1e-15
"158",1e-15
"159",1e-15
"160",0.00223287877839617
"161",3.06626522994513e-06
"162",1e-15
"163",1e-15
"164",1e-15
"165",1e-15
"166",1e-15
"167",1e-15
"168",1e-15
"169",0.000296498819598701
"170",9.58477915902201e-05
"171",1e-15
"172",1e-15
"173",1e-15
"174",1e-15
"175",1.74614140598939e-05
"176",1e-15
"177",1e-15
"178",1e-15
"179",1e-15
"180",1e-15
"181",0.000103283642383323
"182",1e-15
"183",1e-15
"184",1e-15
"185",0.000705431289881209
"186",1e-15
"187",1e-15
"188",1e-15
"189",1e-15
"190",1e-15
"191",1e-15
"192",0.00050681988107959
"193",1e-15
"194",1e-15
"195",1e-15
"196",4.62475564022569e-06
"197",1e-15
"198",0.00111327098741998
"199",1e-15
"200",1e-15
"201",1e-15
"202",2.30173643853693e-05
"203",1e-15
"204",1e-15
"205",1e-15
"206",1e-15
"207",1e-15
"208",1e-15
"209",1e-15
"210",0.000155648573121669
"211",0.00013154755564404
"212",0.000800397797902641
"213",5.00912659362474e-06
"214",0.000233982744645145
"215",1.49505386364268e-05
"216",1e-15
"217",1e-15
"218",1e-15
"219",1e-15
"220",1e-15
"221",1e-15
"222",1e-15
"223",1e-15
"224",0.000188703452877914
"225",1e-15
"226",1e-15
"227",1e-15
"228",1.87871628829495e-05
"229",1e-15
"230",0.000734527284813713
"231",5.00800210623265e-06
"232",1e-15
"233",1e-15
"234",1e-15
"235",1e-15
"236",1e-15
"237",1e-15
"238",1e-15
"239",1.51910085732787e-07
"240",0.00647774713162941
"241",0.00859146242044229
"242",1e-15
"243",0.0193628825620018
"244",1e-15
"245",1e-15
"246",1e-15
"247",1e-15
"248",1.3558378521572e-05
"249",1e-15
"250",3.94440739268642e-05
"251",1e-15
"252",1e-15
"253",0.000719651606383653
"254",1e-15
"255",2.96839478048927e-05
"256",1e-15
"257",1e-15
"258",1e-15
"259",1e-15
"260",5.82131929371954e-06
"261",1e-15
"262",3.00271161979282e-05
"263",1e-15
"264",1e-15
"265",1e-15
"266",1e-15
"267",1e-15
"268",7.03369411270138e-07
"269",0.00464181678623343
"270",1e-15
"271",1e-15
"272",6.82332904589078e-05
"273",1e-15
"274",0.00231847762345339
"275",1e-15
"276",1e-15
"277",1e-15
"278",1e-15
"279",1e-15
"280",1e-15
"281",0.000326288215922399
"282",1e-15
"283",1e-15
"284",1e-15
"285",1e-15
"286",0.000128614914653102
"287",1e-15
"288",1e-15
"289",1e-15
"290",1e-15
"291",0.000158772967675969
"292",1e-15
"293",1e-15
"294",1e-15
"295",1e-15
"296",1e-15
"297",1e-15
"298",1e-15
"299",4.77612721593301e-05
"300",0.00234801447681532
"301",0.0162498943525803
"302",1e-15
"303",1e-15
"304",1e-15
"305",1e-15
"306",1.76123819333185e-05
"307",1e-15
"308",1.02191544173458e-05
"309",1e-15
"310",0.000749264238514069
"311",3.75304383495312e-05
"312",1e-15
"313",1e-15
"314",1e-15
"315",1e-15
"316",0.0025708311416025
"317",0.000363036680223416
"318",8.27348075088663e-05
"319",1e-15
"320",1e-15
"321",1e-15
"322",0.000104966689871144
"323",1e-15
"324",1e-15
"325",1e-15
"326",1e-15
"327",1e-15
"328",0.000140429660643537
"329",1e-15
"330",0.000545509051321891
"331",1e-15
"332",1e-15
"333",1e-15
"334",1e-15
"335",1e-15
"336",1e-15
"337",2.08513759812901e-05
"338",1e-15
"339",1e-15
"340",1e-15
"341",1e-15
"342",0.00549754094645405
"343",1e-15
"344",1e-15
"345",1.32126501136698e-05
"346",1e-15
"347",3.55970352583501e-06
"348",1e-15
"349",1e-15
"350",1e-15
"351",1e-15
"352",0.000503540261663105
"353",5.10628795997725e-05
