"","x"
"1",1e-15
"2",1e-15
"3",1e-15
"4",0.0123725335537145
"5",1e-15
"6",1e-15
"7",1e-15
"8",0.000406865448064342
"9",1e-15
"10",1e-15
"11",1.88626680812654e-05
"12",0.00111927849016091
"13",1e-15
"14",1.40480203711935e-05
"15",1e-15
"16",1e-15
"17",1e-15
"18",1e-15
"19",1e-15
"20",2.55319620748873e-05
"21",0.00170005064509826
"22",0.000132578365703018
"23",1e-15
"24",1e-15
"25",1e-15
"26",1e-15
"27",1e-15
"28",1e-15
"29",1e-15
"30",1e-15
"31",1e-15
"32",0.0109123474488398
"33",1e-15
"34",1e-15
"35",1e-15
"36",1e-15
"37",1e-15
"38",0.000677453267982742
"39",1e-15
"40",1e-15
"41",1e-15
"42",1e-15
"43",1e-15
"44",1e-15
"45",1e-15
"46",1e-15
"47",1e-15
"48",1e-15
"49",1e-15
"50",1e-15
"51",1e-15
"52",1e-15
"53",0.00283264825336083
"54",5.57805784912047e-05
"55",1e-15
"56",0.00525552697374188
"57",1e-15
"58",1e-15
"59",1e-15
"60",1e-15
"61",1e-15
"62",5.11552859250308e-05
"63",1e-15
"64",8.52218807601002e-05
"65",1e-15
"66",1e-15
"67",1e-15
"68",1e-15
"69",0.00227750917093439
"70",0.00748067119780038
"71",1e-15
"72",0.00090642609554914
"73",1e-15
"74",1e-15
"75",1e-15
"76",1e-15
"77",0.000237478777340594
"78",1e-15
"79",1e-15
"80",1e-15
"81",0.00315350451499696
"82",1e-15
"83",1e-15
"84",1e-15
"85",1e-15
"86",1e-15
"87",1e-15
"88",1e-15
"89",1e-15
"90",1e-15
"91",1e-15
"92",1.97196774153197e-05
"93",1e-15
"94",1e-15
"95",1e-15
"96",0.000529251291567556
"97",1e-15
"98",0.00109752707789212
"99",1e-15
"100",0.000826517257839776
"101",4.57338153115883e-05
"102",1e-15
"103",1e-15
"104",1e-15
"105",1e-15
"106",5.87940085428063e-06
"107",1e-15
"108",1e-15
"109",1e-15
"110",5.29507009656704e-05
"111",0.000821275968851287
"112",1e-15
"113",0.000210352334717889
"114",0.00134677902750935
"115",1e-15
"116",1.60622502636265e-05
"117",1e-15
"118",1e-15
"119",1e-15
"120",0.000105008071095702
"121",0.00421395783111833
"122",1e-15
"123",1e-15
"124",1e-15
"125",0.000374055304745768
"126",1e-15
"127",5.55567001819801e-05
"128",1e-15
"129",0.00582010629503849
"130",1e-15
"131",1e-15
"132",1e-15
"133",1e-15
"134",1e-15
"135",0.000634755186330827
"136",1e-15
"137",1e-15
"138",1e-15
"139",3.19561435682125e-05
"140",0.000305958785282168
"141",1.1662580739813e-05
"142",1e-15
"143",1e-15
"144",1e-15
"145",1e-15
"146",1e-15
"147",0.000235016047538728
"148",1e-15
"149",0.0123940190600762
"150",3.15842398520561e-05
"151",1e-15
"152",1e-15
"153",1e-15
"154",1e-15
"155",1e-15
"156",5.50219892989645e-05
"157",1e-15
"158",1e-15
"159",1e-15
"160",0.000324719362493897
"161",9.43495668216388e-05
"162",1e-15
"163",1e-15
"164",1e-15
"165",1e-15
"166",1e-15
"167",5.48596606507745e-05
"168",1e-15
"169",1e-15
"170",1e-15
"171",1e-15
"172",1e-15
"173",1e-15
"174",1e-15
"175",1e-15
"176",1e-15
"177",1e-15
"178",0.00706624445153026
"179",1e-15
"180",1.73065708519715e-06
"181",1e-15
"182",1e-15
"183",1e-15
"184",0.00146631064021308
"185",1e-15
"186",1e-15
"187",1e-15
"188",1.8422841222554e-06
"189",1e-15
"190",1e-15
"191",1e-15
"192",1e-15
"193",1e-15
"194",2.3328587125282e-05
"195",1e-15
"196",1e-15
"197",1e-15
"198",1e-15
"199",1e-15
"200",1e-15
"201",7.86144003495082e-06
"202",1e-15
"203",1e-15
"204",2.90940131209005e-06
"205",1e-15
"206",1e-15
"207",1.80473250075419e-05
"208",1e-15
"209",1e-15
"210",1e-15
"211",1e-15
"212",6.58960524435592e-06
"213",1e-15
"214",1e-15
"215",1e-15
"216",1e-15
"217",1e-15
"218",1e-15
"219",1e-15
"220",1.02134832978829e-05
"221",1e-15
"222",0.00521519979003549
"223",1e-15
"224",1e-15
"225",0.000399778974482623
"226",0.00061325105190746
"227",0.00177782407436156
"228",1e-15
"229",1e-15
"230",1e-15
"231",2.12516905430116e-05
"232",1e-15
"233",1e-15
"234",0.000165749074948929
"235",1e-15
"236",1e-15
"237",1e-15
"238",1e-15
"239",1.41857802008483e-05
"240",1e-15
"241",2.02010640936168e-05
"242",1e-15
"243",1e-15
"244",1e-15
"245",1e-15
"246",1e-15
"247",1e-15
"248",1e-15
"249",1e-15
"250",1e-15
"251",1e-15
"252",1e-15
"253",1e-15
"254",1e-15
"255",1e-15
"256",1e-15
"257",1e-15
"258",1e-15
"259",1e-15
"260",0.0016350735574352
"261",1e-15
"262",1e-15
"263",1e-15
"264",4.50871929860153e-05
"265",1e-15
"266",1e-15
"267",1e-15
"268",1e-15
"269",1e-15
"270",1e-15
"271",1e-15
"272",1e-15
"273",1e-15
"274",1e-15
"275",1e-15
"276",6.96552065249101e-07
"277",1e-15
"278",1e-15
"279",1e-15
"280",1e-15
"281",1e-15
"282",1e-15
"283",1e-15
"284",1e-15
"285",1e-15
"286",1e-15
"287",1e-15
"288",1e-15
"289",1e-15
"290",0.000842850097546588
"291",0.000259561001288988
"292",2.7452514372861e-08
"293",1e-15
"294",1e-15
"295",1e-15
"296",2.47849135177614e-05
"297",1.5224620629084e-05
"298",1e-15
"299",1e-15
"300",1e-15
"301",1e-15
"302",1e-15
"303",1e-15
"304",1e-15
"305",1e-15
"306",0.022783013186905
"307",0.000155874883742024
"308",1e-15
"309",1e-15
"310",1e-15
"311",1e-15
"312",3.56515951389635e-05
"313",1e-15
"314",1e-15
"315",1e-15
"316",1e-15
"317",1e-15
"318",1e-15
"319",0.000104466149509208
"320",5.45634872605172e-05
"321",1e-15
"322",1e-15
"323",0.000208360859842327
"324",1e-15
"325",1e-15
"326",1e-15
"327",1e-15
"328",1e-15
"329",1e-15
"330",3.85466846112292e-05
"331",0.00100391092303831
"332",0.00230179385332308
"333",1e-15
"334",1e-15
"335",1e-15
"336",1e-15
"337",1e-15
"338",1e-15
"339",3.04100743983016e-05
"340",1e-15
"341",1e-15
"342",1e-15
"343",1e-15
"344",1e-15
"345",1e-15
"346",0.000363471594992504
"347",1e-15
"348",1e-15
"349",1e-15
"350",1e-15
"351",1.20290581536731e-05
"352",1e-15
"353",1e-15
"354",1e-15
"355",1e-15
"356",8.38263380280591e-05
"357",1e-15
"358",1e-15
"359",1e-15
"360",0.000459980503814794
"361",1e-15
"362",0.0163586045400756
"363",1e-15
"364",1e-15
"365",1e-15
"366",1e-15
"367",1e-15
"368",0.000415144929122868
"369",1e-15
"370",1e-15
"371",1e-15
"372",1e-15
"373",1e-15
"374",0.00134470856302316
"375",1e-15
"376",1e-15
"377",1e-15
"378",0.00164044370226457
"379",1.87441498417096e-05
"380",1e-15
"381",1e-15
"382",1e-15
"383",1e-15
"384",1e-15
"385",1e-15
"386",1e-15
"387",1e-15
"388",0.00320465939036418
"389",1e-15
"390",6.29809777026313e-05
"391",1e-15
"392",1e-15
"393",1e-15
"394",1e-15
"395",1e-15
"396",1e-15
"397",1e-15
"398",0.0080602014365253
"399",1e-15
"400",1e-15
"401",4.81313001676753e-07
"402",1e-15
"403",1e-15
"404",1e-15
"405",3.3640539648383e-05
"406",0.0004288746519725
"407",1e-15
"408",1e-15
"409",1e-15
"410",0.00345599295565713
"411",4.66749556482515e-06
"412",1e-15
"413",1e-15
"414",1e-15
"415",1e-15
"416",0.000387740217797417
"417",1e-15
"418",1e-15
"419",1e-15
"420",1e-15
"421",1e-15
"422",1e-15
"423",1e-15
"424",1e-15
"425",1e-15
"426",1e-15
"427",7.38953179768576e-06
"428",1e-15
"429",1e-15
"430",1e-15
"431",0.00011274817978224
"432",1e-15
"433",1e-15
"434",1e-15
"435",1e-15
"436",1e-15
"437",1e-15
"438",0.00766328300663299
"439",1e-15
"440",1e-15
"441",7.64155245513987e-06
"442",1e-15
"443",1e-15
"444",1e-15
"445",1e-15
"446",1e-15
"447",1e-15
"448",1e-15
"449",0.000255127452237436
"450",1e-15
"451",1e-15
"452",1e-15
"453",1e-15
"454",1e-15
"455",1e-15
"456",1e-15
"457",1e-15
"458",1e-15
"459",1e-15
"460",0.000807712329733978
"461",1e-15
"462",1e-15
"463",1e-15
"464",1e-15
"465",1e-15
"466",1e-15
"467",1e-15
"468",1e-15
"469",1e-15
"470",0.00188986943453351
"471",1e-15
"472",0.000164970896917471
"473",1e-15
"474",1e-15
"475",1e-15
"476",1e-15
"477",1e-15
"478",7.84324048308527e-06
"479",0.00137795380345374
"480",1e-15
"481",1e-15
"482",1e-15
"483",1e-15
"484",0.00013106299317589
"485",9.79583712257259e-07
"486",8.84351767299618e-05
"487",1e-15
"488",1e-15
"489",1e-15
"490",1e-15
"491",0.000123516043986416
"492",1e-15
"493",0.0265046515413716
"494",1e-15
"495",0.000132703078405627
"496",1e-15
"497",1e-15
"498",1e-15
"499",1e-15
"500",1e-15
"501",1.01421632749954e-05
"502",0.000273408565815147
"503",1e-15
"504",1e-15
"505",1e-15
"506",1e-15
"507",0.00691761577536532
"508",1e-15
"509",0.0014566936302608
"510",1e-15
"511",3.47181775189886e-05
"512",1e-15
"513",1e-15
"514",1e-15
"515",1e-15
"516",1e-15
"517",1e-15
"518",0.0010940082077715
"519",1e-15
"520",1e-15
"521",4.09697077463633e-05
"522",1e-15
"523",1e-15
"524",0.00313782565698639
"525",1e-15
"526",1e-15
"527",2.35995266391065e-05
"528",1e-15
"529",1e-15
"530",1e-15
"531",1e-15
"532",1e-15
"533",1e-15
"534",1e-15
"535",1e-15
"536",1e-15
"537",1e-15
"538",1e-15
"539",1e-15
"540",0.000558758576453156
"541",1e-15
"542",0.00424947372231443
"543",1e-15
"544",1e-15
"545",1e-15
"546",0.000152049654165598
"547",1e-15
"548",1e-15
"549",1e-15
"550",1e-15
"551",2.84434666619759e-06
"552",1e-15
"553",0.000138711459777952
"554",6.19268363144521e-07
"555",1e-15
"556",1e-15
"557",1e-15
"558",1.28623631471259e-05
"559",1e-15
"560",1e-15
"561",1e-15
"562",1e-15
"563",1e-15
"564",1e-15
"565",1e-15
"566",1e-15
"567",1e-15
"568",1e-15
"569",1e-15
"570",0.000150857866705878
"571",1e-15
"572",1e-15
"573",1e-15
"574",1e-15
"575",1e-15
"576",1e-15
"577",1e-15
"578",1e-15
"579",1e-15
"580",1e-15
"581",1e-15
"582",1e-15
"583",1e-15
"584",1e-15
"585",0.00016061029028025
"586",8.71754425979532e-07
"587",1e-15
"588",1e-15
"589",3.32825974846962e-05
"590",1e-15
"591",1e-15
"592",0.00318275815840618
"593",1e-15
"594",1.87322389516575e-05
"595",1e-15
"596",1e-15
"597",1e-15
"598",1e-15
"599",1e-15
"600",8.45709851600152e-05
"601",0.000783904660733081
"602",1e-15
"603",1e-15
"604",1e-15
"605",1e-15
"606",1e-15
"607",1.6710997159386e-05
"608",1e-15
"609",1e-15
"610",4.2001222870236e-05
"611",1e-15
"612",1e-15
"613",1e-15
"614",1e-15
"615",1e-15
"616",4.21852026244451e-06
"617",0.000183460343116781
"618",1e-15
"619",1e-15
"620",1e-15
"621",4.50602696464575e-05
"622",1e-15
"623",0.00781989035823472
"624",1e-15
"625",1e-15
"626",2.45495381642202e-05
"627",1e-15
"628",0.000545730375411391
"629",1e-15
"630",1e-15
"631",1e-15
"632",1e-15
"633",1e-15
"634",0.00104905229170893
"635",1.75186238848823e-07
"636",1e-15
"637",1.54041735150878e-05
"638",4.43881083406206e-05
"639",1e-15
"640",0.00167265983681664
"641",1e-15
"642",1e-15
"643",1e-15
"644",1e-15
"645",1e-15
"646",1e-15
"647",1e-15
"648",1e-15
"649",1e-15
"650",1e-15
"651",0.000135020109265249
"652",1e-15
"653",1e-15
"654",1e-15
"655",9.02170848048334e-05
"656",1e-15
"657",0.00228570464243039
"658",1e-15
"659",1e-15
