"","x"
"1",1e-15
"2",1e-15
"3",1e-15
"4",1e-15
"5",1e-15
"6",1e-15
"7",1e-15
"8",1e-15
"9",4.32963228895744e-05
"10",0.00985582295924081
"11",1e-15
"12",1e-15
"13",1e-15
"14",1e-15
"15",1e-15
"16",1e-15
"17",1e-15
"18",1e-15
"19",5.02011323586515e-05
"20",1e-15
"21",1e-15
"22",5.45020760370774e-05
"23",0.00231068667724299
"24",0.00568905169857381
"25",1e-15
"26",1e-15
"27",8.04028739320728e-05
"28",1e-15
"29",1e-15
"30",1.25638331038846e-05
"31",0.00230969783253732
"32",1e-15
"33",1e-15
"34",1e-15
"35",1e-15
"36",0.000138749171363917
"37",1e-15
"38",0.000539964342365917
"39",1e-15
"40",1e-15
"41",1.52356473814841e-06
"42",0.022268046267636
"43",1e-15
"44",1e-15
"45",1e-15
"46",0.000402947628043271
"47",1e-15
"48",3.53327924274005e-06
"49",0.00686019406493965
"50",1.54866103874163e-05
"51",1e-15
"52",1e-15
"53",4.65246062120173e-07
"54",1e-15
"55",1e-15
"56",1e-15
"57",1e-15
"58",1e-15
"59",1e-15
"60",0.00466803120560033
"61",1e-15
"62",1.74772402772305e-07
"63",1e-15
"64",5.29890699163538e-06
"65",1e-15
"66",1e-15
"67",1e-15
"68",1e-15
"69",1e-15
"70",1e-15
"71",1e-15
"72",1.1926401998763e-05
"73",1e-15
"74",1e-15
"75",1e-15
"76",1e-15
"77",0.000460791734473998
"78",6.12572669690392e-05
"79",1e-15
"80",1e-15
"81",1e-15
"82",1e-15
"83",1e-15
"84",1e-15
"85",1e-15
"86",1e-15
"87",1e-15
"88",0.0031233067511951
"89",1e-15
"90",1e-15
"91",1e-15
"92",1e-15
"93",1e-15
"94",8.50919891977053e-05
"95",1e-15
"96",1e-15
"97",1e-15
"98",1e-15
"99",1e-15
"100",1e-15
"101",1e-15
"102",1e-15
"103",0.00296737347453713
"104",3.68677055111455e-05
"105",1e-15
"106",1e-15
"107",0.000292491596607491
"108",1e-15
"109",1e-15
"110",1e-15
"111",1e-15
"112",1e-15
"113",1e-15
"114",1e-15
"115",0.00222272616377295
"116",1e-15
"117",1e-15
"118",1e-15
"119",1e-15
"120",1e-15
"121",8.1608513708975e-06
"122",1e-15
"123",0.00611367661357187
"124",8.66692111411993e-08
"125",1e-15
"126",1e-15
"127",1e-15
"128",1.68821445112322e-06
"129",1e-15
"130",1e-15
"131",1e-15
"132",1e-15
"133",1e-15
"134",0.000119533713054398
"135",1e-15
"136",1e-15
"137",1e-15
"138",0.000332389667312194
"139",0.000131874520089559
"140",2.36441103499407e-05
"141",1e-15
"142",1e-15
"143",1e-15
"144",0.000610202835204077
"145",1e-15
"146",1.26444339646481e-05
"147",1e-15
"148",1e-15
"149",1e-15
"150",1e-15
"151",1e-15
"152",1e-15
"153",1e-15
"154",1e-15
"155",1e-15
"156",0.000362544596060999
"157",0.00053631246493302
"158",1e-15
"159",3.38985886829679e-05
"160",1e-15
"161",1e-15
"162",0.013725563672913
"163",1e-15
"164",1e-15
"165",1e-15
"166",1e-15
"167",1e-15
"168",1e-15
"169",1e-15
"170",1e-15
"171",1e-15
"172",0.001372192648735
"173",1e-15
"174",1e-15
"175",1e-15
"176",1e-15
"177",1e-15
"178",1.75789060963272e-05
"179",0.00340761353455554
"180",1e-15
"181",1e-15
"182",1e-15
"183",1e-15
"184",5.89783611517625e-05
"185",1e-15
"186",1e-15
"187",7.71544933553248e-05
"188",1e-15
"189",1e-15
"190",1e-15
"191",1e-15
"192",1e-15
"193",1e-15
"194",0.00317809910588485
"195",0.00391685563559196
"196",1e-15
"197",1e-15
"198",0.000575957796330684
"199",9.20815537241992e-06
"200",1e-15
"201",0.00242704915079717
"202",1e-15
"203",1e-15
"204",1e-15
"205",0.00212323345454657
"206",1.66440597071382e-06
"207",1e-15
"208",1e-15
"209",1e-15
"210",2.80738781618384e-05
"211",1e-15
"212",1e-15
"213",1e-15
"214",1e-15
"215",1e-15
"216",1e-15
"217",1e-15
"218",4.60298226973022e-05
"219",1e-15
"220",0.000332209022412489
"221",0.000327105436407127
"222",1e-15
"223",1e-15
"224",1e-15
"225",0.00164319899981946
"226",0.000348493133743633
"227",1e-15
"228",1.88275890951051e-05
"229",1e-15
"230",1e-15
"231",1e-15
"232",1e-15
"233",1e-15
"234",0.000908788380770909
"235",1.69666107052713e-06
"236",1e-15
"237",0.000718704279378146
"238",1e-15
"239",1e-15
"240",1e-15
"241",1e-15
"242",1e-15
"243",1e-15
"244",0.000131462970165308
"245",0.000333085220544649
"246",1e-15
"247",1e-15
"248",5.19974851912464e-05
"249",1e-15
"250",1.39470165555489e-05
"251",0.000946606361089231
"252",1e-15
"253",1e-15
"254",1e-15
"255",1e-15
"256",1e-15
"257",1e-15
"258",1e-15
"259",1e-15
"260",1e-15
"261",1e-15
"262",6.38360879856581e-06
"263",1e-15
"264",1e-15
"265",1e-15
"266",1e-15
"267",1e-15
"268",1e-15
"269",1e-15
"270",1e-15
"271",0.000916535356240922
"272",1e-15
"273",1e-15
"274",1e-15
"275",0.00598746939437345
"276",1e-15
"277",0.000725690025100811
"278",1e-15
"279",1e-15
"280",1e-15
"281",6.95242850679012e-06
"282",1e-15
"283",1e-15
"284",1e-15
"285",0.000867208431822641
"286",0.00352232293536714
"287",1e-15
"288",1e-15
"289",1e-15
"290",0.000948600569584568
"291",1e-15
"292",0.000970333607137608
"293",1e-15
"294",1e-15
"295",1e-15
"296",1e-15
"297",1e-15
"298",1e-15
"299",1e-15
"300",1e-15
"301",1e-15
"302",1e-15
"303",1e-15
"304",1e-15
"305",1e-15
"306",1e-15
"307",0.00276206043288219
"308",1e-15
"309",0.000896191800300539
"310",1e-15
"311",1e-15
"312",1e-15
"313",1e-15
"314",1e-15
"315",1e-15
"316",1e-15
"317",1e-15
"318",6.28398256097285e-06
"319",1e-15
"320",1e-15
"321",1e-15
"322",1e-15
"323",1e-15
"324",1e-15
"325",3.12358551135539e-07
"326",1e-15
"327",1e-15
"328",1.09469409248497e-06
"329",1e-15
"330",0.00155011471150346
"331",1e-15
"332",1e-15
"333",1e-15
"334",1e-15
"335",0.000540143328803477
"336",1e-15
"337",1.86219241128383e-05
"338",1e-15
"339",1e-15
"340",1e-15
"341",1e-15
"342",1e-15
"343",1e-15
"344",1e-15
"345",1e-15
"346",1e-15
"347",0.000374208349384841
"348",9.80814587027146e-05
"349",1e-15
"350",1e-15
"351",1e-15
"352",1e-15
"353",1e-15
"354",1e-15
"355",1.19670983234066e-07
"356",1e-15
"357",1e-15
"358",1e-15
"359",1e-15
"360",0.00308933055647398
"361",6.54897648333375e-08
"362",1e-15
"363",1e-15
"364",1e-15
"365",1e-15
"366",1e-15
"367",1e-15
"368",1e-15
"369",1e-15
"370",0.000122104867373851
"371",0.00149267788408802
"372",1e-15
"373",1e-15
"374",0.000259392873457109
"375",0.00034891931643144
"376",1e-15
"377",1e-15
"378",1e-15
"379",1e-15
"380",3.41356184319075e-07
"381",1e-15
"382",1e-15
"383",1e-15
"384",1e-15
"385",1e-15
"386",1e-15
"387",1e-15
"388",1e-15
"389",0.00132745857317373
"390",1.8437280816519e-06
"391",1e-15
"392",1e-15
"393",1e-15
"394",1e-15
"395",1e-15
"396",1e-15
"397",1e-15
"398",1e-15
"399",3.49175184344297e-06
"400",1e-15
"401",1e-15
"402",1e-15
"403",1e-15
"404",1e-15
"405",1e-15
"406",1e-15
"407",1e-15
"408",1e-15
"409",1e-15
"410",1e-15
"411",1e-15
"412",1e-15
"413",1e-15
"414",3.10032274476457e-05
"415",1e-15
"416",1e-15
"417",1e-15
"418",1e-15
"419",5.0354145982423e-05
"420",1e-15
"421",1e-15
"422",1e-15
"423",1e-15
"424",0.000635250891400374
"425",1e-15
"426",1e-15
"427",0.000112864371961563
"428",1e-15
"429",1e-15
"430",1e-15
"431",9.39663422242498e-05
"432",1.65555156650399e-06
"433",0.000259104097075191
"434",5.87648897871773e-05
"435",1e-15
"436",7.64669377345539e-05
"437",1e-15
"438",0.00014778184381592
"439",1e-15
"440",1e-15
"441",5.45497979402843e-05
"442",8.32328309607888e-08
"443",1e-15
"444",1e-15
"445",1e-15
"446",4.12497849144877e-05
"447",4.74557255891739e-06
"448",1.16410128927491e-05
"449",1.25370163702732e-05
"450",1e-15
"451",1e-15
"452",1e-15
"453",1e-15
"454",0.000121009544861606
"455",1.02876498551119e-05
"456",0.000172873162722076
"457",3.10163226413529e-06
"458",2.33350742129268e-05
"459",0.00104532393906309
"460",1e-15
"461",1e-15
"462",1e-15
"463",1e-15
"464",1.62199808663166e-05
"465",2.78207233272987e-06
"466",1e-15
"467",1e-15
"468",0.0020073115571887
"469",1e-15
"470",1e-15
"471",1.50033177201969e-05
"472",2.044719969585e-05
"473",1e-15
"474",1e-15
"475",0.00145230448176836
"476",1e-15
"477",1e-15
"478",1e-15
"479",1e-15
"480",0.0183333295629362
"481",9.77503544359326e-05
"482",1e-15
"483",1e-15
"484",1e-15
"485",1e-15
"486",1e-15
"487",1e-15
"488",1.39195989429242e-05
"489",0.00164658218446601
"490",1.18353946920724e-06
"491",4.32759319046738e-07
"492",1e-15
"493",1e-15
"494",1e-15
"495",1e-15
"496",1e-15
"497",0.000426333109488586
"498",1e-15
"499",1e-15
"500",1e-15
"501",5.05465467648403e-06
"502",0.00142872281395678
"503",0.00115203068454239
"504",1e-15
"505",1e-15
"506",1e-15
"507",1e-15
"508",1e-15
"509",3.41125952374455e-06
"510",7.17747616452158e-07
"511",6.79523058266795e-07
"512",5.35337811520264e-05
"513",1e-15
"514",0.000573012711380105
"515",1e-15
"516",1e-15
"517",1e-15
"518",0.000150496344317852
"519",1.49573784686829e-05
"520",1e-15
"521",1e-15
"522",1.23605796983339e-05
"523",1e-15
"524",1e-15
"525",1e-15
"526",1e-15
"527",1e-15
"528",1e-15
"529",1e-15
"530",1e-15
"531",8.40039825533712e-06
"532",1e-15
"533",1e-15
"534",0.00942958984177888
"535",1e-15
"536",1e-15
"537",1e-15
"538",1e-15
"539",1e-15
"540",1e-15
"541",1e-15
"542",1e-15
"543",0.000202109456390875
"544",1e-15
"545",2.42673216299671e-07
"546",1e-15
"547",1e-15
"548",0.00200594412039168
"549",1e-15
"550",1e-15
"551",1e-15
"552",0.00150663723569089
"553",1e-15
"554",1e-15
"555",1e-15
"556",2.94870981680795e-05
"557",1e-15
"558",1e-15
"559",1e-15
"560",1e-15
"561",1e-15
"562",1e-15
"563",1e-15
"564",1e-15
"565",2.38551903153361e-06
"566",1e-15
"567",1e-15
"568",0.000733922253710717
"569",1e-15
"570",9.96837778421966e-06
"571",0.000295001085576341
"572",0.000583830466886259
"573",1e-15
"574",0.0102150844710824
"575",1e-15
"576",1e-15
"577",1e-15
"578",0.00042617950464463
"579",1.96820814524212e-06
"580",1e-15
"581",1e-15
"582",0.00125404372710824
"583",0.0011582832546605
"584",4.95925848444934e-05
"585",2.29746526545505e-05
"586",1e-15
"587",1e-15
"588",1e-15
"589",1e-15
"590",0.00354634442134816
"591",1e-15
"592",1.12802505979337e-05
"593",1e-15
"594",1e-15
"595",1e-15
"596",1e-15
"597",1e-15
"598",1e-15
"599",1e-15
"600",1e-15
"601",1e-15
"602",1e-15
"603",1e-15
"604",1e-15
"605",3.63509149781116e-07
"606",1e-15
"607",1e-15
"608",1e-15
"609",1e-15
"610",1e-15
"611",1e-15
"612",1e-15
"613",2.79120053233717e-05
"614",0.000118767274866483
"615",1e-15
"616",1e-15
"617",0.000580133169790109
"618",0.000552268943730505
"619",1e-15
"620",1e-15
"621",1e-15
"622",1e-15
"623",5.35315870209274e-06
"624",1e-15
"625",1e-15
"626",1e-15
"627",1e-15
"628",1e-15
"629",6.74270264078292e-06
"630",1e-15
"631",1e-15
"632",0.000674427019481172
"633",0.00212672014047843
"634",1e-15
"635",1e-15
"636",2.38905201378481e-05
"637",5.86572392914375e-05
"638",1e-15
"639",0.00244562428217876
"640",9.76685327491733e-06
"641",1e-15
"642",1e-15
