"","x"
"1",1e-15
"2",0.0123725335537145
"3",1e-15
"4",0.000406865448064342
"5",1e-15
"6",0.00115473027684598
"7",1.40480203711935e-05
"8",1e-15
"9",1e-15
"10",2.55319620748873e-05
"11",0.00170005064509826
"12",1e-15
"13",1e-15
"14",1e-15
"15",1e-15
"16",0.0109123474488398
"17",1e-15
"18",1e-15
"19",0.000677453267982742
"20",1e-15
"21",1e-15
"22",1e-15
"23",1e-15
"24",1e-15
"25",1e-15
"26",1e-15
"27",0.0113609888165455
"28",0.00525552697374188
"29",1e-15
"30",1e-15
"31",5.11552859250308e-05
"32",8.52218807601002e-05
"33",1e-15
"34",1e-15
"35",0.0101333008280327
"36",0.00090642609554914
"37",1e-15
"38",1e-15
"39",0.000841252868036158
"40",1e-15
"41",0.00315350451499696
"42",1e-15
"43",1e-15
"44",1e-15
"45",1e-15
"46",1.97196774153197e-05
"47",1e-15
"48",0.000529251291567556
"49",0.00109752707789212
"50",0.000826517257839776
"51",5.42128966085631e-05
"52",1e-15
"53",5.87940085428063e-06
"54",1e-15
"55",5.29507009656704e-05
"56",0.00199831852406329
"57",0.00153105451607616
"58",1.60622502636265e-05
"59",1e-15
"60",0.000105008071095702
"61",0.00421395783111833
"62",1e-15
"63",0.000674185599602084
"64",5.55567001819801e-05
"65",0.00582010629503849
"66",1e-15
"67",1e-15
"68",0.0011674536956906
"69",1e-15
"70",0.000348114182074477
"71",3.75036074258261e-05
"72",1e-15
"73",1e-15
"74",0.000235016047538728
"75",0.0123940190600762
"76",1e-15
"77",1e-15
"78",5.50219892989645e-05
"79",1e-15
"80",0.000324719362493897
"81",0.000211425765361706
"82",1e-15
"83",1e-15
"84",5.48596606507745e-05
"85",1e-15
"86",1e-15
"87",1e-15
"88",1e-15
"89",0.00706624445153026
"90",1.73065708519715e-06
"91",1e-15
"92",0.00146631064021308
"93",1e-15
"94",1.8422841222554e-06
"95",1e-15
"96",1e-15
"97",2.3328587125282e-05
"98",1e-15
"99",1e-15
"100",1e-15
"101",5.37623776347695e-05
"102",2.90940131209005e-06
"103",1e-15
"104",1.80473250075419e-05
"105",1e-15
"106",6.58960524435592e-06
"107",1e-15
"108",1e-15
"109",1e-15
"110",1.02134832978829e-05
"111",0.00521519979003549
"112",1e-15
"113",0.00114571164812982
"114",0.00381905745320099
"115",1e-15
"116",3.07296103244648e-05
"117",0.000165749074948929
"118",1e-15
"119",1e-15
"120",1.41857802008483e-05
"121",3.24968385089219e-05
"122",1e-15
"123",1e-15
"124",1e-15
"125",1e-15
"126",1e-15
"127",1e-15
"128",1e-15
"129",1e-15
"130",0.0016350735574352
"131",1e-15
"132",4.50871929860153e-05
"133",1e-15
"134",1e-15
"135",1e-15
"136",1e-15
"137",1e-15
"138",6.96552065249101e-07
"139",1e-15
"140",1e-15
"141",1e-15
"142",1e-15
"143",1e-15
"144",1e-15
"145",0.000842850097546588
"146",0.000391689536801021
"147",1e-15
"148",2.47849135177614e-05
"149",1.5224620629084e-05
"150",1e-15
"151",1e-15
"152",1e-15
"153",0.022783013186905
"154",0.000209403377209427
"155",1e-15
"156",3.56515951389635e-05
"157",1e-15
"158",1e-15
"159",1e-15
"160",0.00018824835002007
"161",1e-15
"162",0.000372590395564032
"163",1e-15
"164",1e-15
"165",3.85466846112292e-05
"166",0.00435729195876966
"167",1e-15
"168",1e-15
"169",1e-15
"170",0.000139640109840244
"171",1e-15
"172",1e-15
"173",0.000363471594992504
"174",1e-15
"175",1e-15
"176",1.41453598853092e-05
"177",1e-15
"178",8.38263380280591e-05
"179",1e-15
"180",0.000459980503814794
"181",0.0163586045400756
"182",1e-15
"183",1e-15
"184",0.000415144929122868
"185",1e-15
"186",1e-15
"187",0.00134470856302316
"188",1e-15
"189",0.00164044370226457
"190",2.39209637648008e-05
"191",1e-15
"192",1e-15
"193",1e-15
"194",0.00320465939036418
"195",6.29809777026313e-05
"196",1e-15
"197",1e-15
"198",1e-15
"199",0.0080602014365253
"200",1e-15
"201",3.48846415765269e-06
"202",1e-15
"203",0.000483287125459753
"204",1e-15
"205",0.00345599295565713
"206",1.12674338349494e-05
"207",1e-15
"208",0.000387740217797417
"209",1e-15
"210",1e-15
"211",1e-15
"212",1e-15
"213",1e-15
"214",1.46191848354738e-05
"215",1e-15
"216",0.00011274817978224
"217",1e-15
"218",1e-15
"219",0.00766328300663299
"220",1e-15
"221",1.31802064899933e-05
"222",1e-15
"223",1e-15
"224",1e-15
"225",0.000312633915951266
"226",1e-15
"227",1e-15
"228",1e-15
"229",1e-15
"230",0.000807712329733978
"231",1e-15
"232",1e-15
"233",1e-15
"234",1e-15
"235",0.00188986943453351
"236",0.000164970896917471
"237",1e-15
"238",1e-15
"239",7.84324048308527e-06
"240",0.00137795380345374
"241",1e-15
"242",0.00013106299317589
"243",9.00464430497738e-05
"244",1e-15
"245",1e-15
"246",0.000123516043986416
"247",0.0265046515413716
"248",0.00036229142503319
"249",1e-15
"250",1e-15
"251",0.000291236499835867
"252",1e-15
"253",1e-15
"254",0.00691761577536532
"255",0.0014566936302608
"256",3.47181775189886e-05
"257",1e-15
"258",1e-15
"259",0.0010940082077715
"260",1e-15
"261",0.000238076586688063
"262",0.00313782565698639
"263",1e-15
"264",2.35995266391065e-05
"265",1e-15
"266",1e-15
"267",1e-15
"268",1e-15
"269",1e-15
"270",0.000558758576453156
"271",0.00424947372231443
"272",1e-15
"273",0.000152049654165598
"274",1e-15
"275",1e-15
"276",7.81699710605821e-06
"277",0.000138711459777952
"278",1e-15
"279",1.28623631471259e-05
"280",1e-15
"281",1e-15
"282",1e-15
"283",1e-15
"284",1e-15
"285",0.000150857866705878
"286",1e-15
"287",1e-15
"288",1e-15
"289",1e-15
"290",1e-15
"291",1e-15
"292",1e-15
"293",0.000160749006189231
"294",1e-15
"295",3.69882499301477e-05
"296",0.00318275815840618
"297",1.87322389516575e-05
"298",1e-15
"299",1e-15
"300",8.45709851600152e-05
"301",0.000783904660733081
"302",1e-15
"303",1e-15
"304",2.3144994812041e-05
"305",4.2001222870236e-05
"306",1e-15
"307",1e-15
"308",4.21852026244451e-06
"309",0.000183460343116781
"310",1e-15
"311",8.77745224082682e-05
"312",0.0106041310693731
"313",2.45495381642202e-05
"314",0.000545730375411391
"315",1e-15
"316",1e-15
"317",0.00104905229170893
"318",1.75186238848823e-07
"319",5.57619852508129e-05
"320",0.00167265983681664
"321",1e-15
"322",1e-15
"323",1e-15
"324",1e-15
"325",1e-15
"326",0.000145920448433756
"327",1e-15
"328",0.000101446895757196
"329",0.00268328156960973
"330",0.000515924657977229
"331",0.0126114163205017
"332",1e-15
"333",0.00096922330060123
"334",1e-15
"335",1e-15
"336",1e-15
"337",0.000184140165180868
"338",1e-15
"339",1e-15
"340",1e-15
"341",1e-15
"342",0.00230454005452041
"343",0.00196839767702106
"344",0.0214762309037526
"345",1e-15
"346",1e-15
"347",1e-15
"348",1e-15
"349",1e-15
"350",8.3364205255565e-06
"351",8.52412836205296e-07
"352",1e-15
"353",1e-15
"354",1e-15
"355",1e-15
"356",0.00165294944133176
"357",1e-15
"358",0.000381786960659491
"359",0.00151024880896189
"360",0.00152838658417376
"361",1e-15
"362",0.00893661619480157
"363",0.000105577248791233
"364",1e-15
"365",1e-15
"366",1e-15
"367",1e-15
"368",1e-15
"369",1e-15
"370",1e-15
"371",0.0443623287373932
"372",1e-15
"373",1.32736513305254e-05
"374",1e-15
"375",0.00251676639707987
"376",1e-15
"377",1e-15
"378",0.000229783595658284
"379",1e-15
"380",0.0109157538900344
"381",0.00315854921950176
"382",1e-15
"383",1.15851219739671e-06
"384",0.000692967941911204
"385",1e-15
"386",0.00269963923519823
"387",0.000321336417484885
"388",1e-15
"389",1e-15
"390",1e-15
"391",1e-15
"392",1e-15
"393",3.30944988413684e-07
"394",1e-15
"395",0.00527742508333129
"396",9.79486496688331e-07
"397",1e-15
"398",1e-15
"399",1e-15
"400",1e-15
"401",0.00654157317751691
"402",1e-15
"403",1e-15
"404",0.00244775441037193
"405",1e-15
"406",0.00022467142803817
"407",1e-15
"408",1e-15
"409",1e-15
"410",6.18925389525016e-05
"411",0.0371561244726047
"412",1e-15
"413",8.32642467801792e-05
"414",1e-15
"415",0.000120554993357724
"416",1e-15
"417",0.000103293351360167
"418",0.00299891705368382
"419",1.15497537045428e-06
"420",1e-15
"421",1.22234240395036e-05
"422",1e-15
"423",5.16158467513961e-05
"424",0.00603147964042483
"425",1e-15
"426",0.000442677698928584
"427",1.44288805642434e-05
"428",1e-15
"429",1e-15
"430",0.00137744033112719
"431",1e-15
"432",1e-15
"433",1.56213390456461e-06
"434",1e-15
"435",1e-15
"436",0.00175945704526803
"437",1e-15
"438",1e-15
"439",2.50792348166495e-06
"440",1e-15
"441",1e-15
"442",1.62577898576988e-06
"443",1e-15
"444",5.57277751378482e-06
"445",1e-15
"446",1e-15
"447",1.20326834274209e-06
"448",1e-15
"449",1e-15
"450",1e-15
"451",0.00422755750421722
"452",1e-15
"453",1e-15
"454",1e-15
"455",1e-15
"456",1e-15
"457",1e-15
"458",1e-15
"459",1e-15
"460",1e-15
"461",0.000134283801681456
"462",1.00595155561045e-05
"463",0.0934572240256509
"464",1e-15
"465",0.00056370764148006
"466",0.000124880601845123
"467",1e-15
"468",1e-15
"469",1e-15
"470",1e-15
"471",1e-15
"472",1e-15
"473",0.00243996528127821
"474",0.010552926816866
"475",1e-15
"476",1e-15
"477",0.00671968003395762
"478",1e-15
"479",8.84737614222919e-05
"480",1e-15
"481",0.0001108048380839
"482",1e-15
"483",0.000100250443673788
"484",0.000195596264657705
"485",1.18912432971463e-05
"486",0.0202293220757407
"487",7.57034775528131e-05
"488",1e-15
"489",0.00170313715971337
"490",1e-15
"491",3.57221884405012e-05
"492",1e-15
"493",0.000159067502415677
"494",1.66301819708448e-05
"495",0.0106757815303161
"496",1e-15
"497",1e-15
"498",0.00242134827472296
"499",1e-15
"500",1e-15
"501",1e-15
"502",0.00205555178364147
"503",0.00031974111227917
"504",1e-15
"505",1e-15
"506",1e-15
"507",1e-15
"508",0.00185643235769806
"509",1.32415641682648e-05
"510",1e-15
"511",0.000438556048125593
"512",1e-15
"513",0.00016132766520105
"514",0.0138053993858966
"515",0.000113968286378885
"516",1e-15
"517",1e-15
"518",1e-15
"519",1e-15
"520",0.000107081901464023
"521",0.000937412807069382
"522",0.0273697660233326
"523",1e-15
"524",1e-15
"525",1e-15
"526",0.00111912412386028
"527",1.2957281773307e-05
"528",2.73239282044813e-05
"529",1e-15
"530",0.00274608003586896
"531",5.19176953528433e-05
"532",1e-15
"533",1e-15
"534",1e-15
"535",1e-15
"536",0.000126570987652119
"537",0.075638208858993
"538",1e-15
"539",1e-15
"540",1e-15
"541",1e-15
"542",1e-15
"543",1e-15
"544",1e-15
"545",5.8986875291489e-05
"546",1e-15
"547",0.000977768523696576
