"","x"
"1",1e-15
"2",1e-15
"3",1e-15
"4",1e-15
"5",0.00992088126847246
"6",1e-15
"7",1e-15
"8",1e-15
"9",1e-15
"10",6.61885664205997e-05
"11",5.45020760370774e-05
"12",0.00867116503496612
"13",1e-15
"14",0.000128514355434484
"15",1.25638331038846e-05
"16",0.00230969783253732
"17",1e-15
"18",0.000138749171363917
"19",0.000539964342365917
"20",1e-15
"21",0.0222697680357509
"22",1e-15
"23",0.000402947628043271
"24",3.53327924274005e-06
"25",0.00977155827361653
"26",1e-15
"27",4.65246062120173e-07
"28",1e-15
"29",1e-15
"30",0.00466803120560033
"31",1.74772402772305e-07
"32",5.29890699163538e-06
"33",1e-15
"34",1e-15
"35",1e-15
"36",1.1926401998763e-05
"37",1e-15
"38",1e-15
"39",0.000878322188375469
"40",1e-15
"41",1e-15
"42",1e-15
"43",1e-15
"44",0.0031233067511951
"45",1e-15
"46",1e-15
"47",8.50919891977053e-05
"48",1e-15
"49",1e-15
"50",1e-15
"51",1e-15
"52",0.00296737347453713
"53",1e-15
"54",0.000292491596607491
"55",1e-15
"56",1e-15
"57",1e-15
"58",0.00222272616377295
"59",1e-15
"60",1e-15
"61",1.29471377936508e-05
"62",0.0102016752450591
"63",1e-15
"64",1.68821445112322e-06
"65",1e-15
"66",1e-15
"67",0.000119533713054398
"68",1e-15
"69",0.000332389667312194
"70",0.000131874520089559
"71",1e-15
"72",0.000610202835204077
"73",1.26444339646481e-05
"74",1e-15
"75",1e-15
"76",1e-15
"77",1e-15
"78",0.000362544596060999
"79",0.00053631246493302
"80",3.38985886829679e-05
"81",0.013725563672913
"82",1e-15
"83",1e-15
"84",1e-15
"85",1e-15
"86",0.001372192648735
"87",1e-15
"88",1e-15
"89",1.75789060963272e-05
"90",0.00354842326375504
"91",1e-15
"92",5.89783611517625e-05
"93",1e-15
"94",7.71544933553248e-05
"95",1e-15
"96",1e-15
"97",0.00317809910588485
"98",0.00721026061573238
"99",0.000575957796330684
"100",1.81577127329469e-05
"101",0.00242704915079717
"102",1e-15
"103",0.00273396684982252
"104",1e-15
"105",2.80738781618384e-05
"106",1e-15
"107",1e-15
"108",1e-15
"109",4.60298226973022e-05
"110",0.000332209022412489
"111",0.000327105436407127
"112",1e-15
"113",0.00164319899981946
"114",1.88275890951051e-05
"115",1e-15
"116",1e-15
"117",0.000908788380770909
"118",3.0914946791416e-06
"119",0.000773785469878274
"120",1e-15
"121",1e-15
"122",0.000131462970165308
"123",0.00080566456619624
"124",5.19974851912464e-05
"125",1.39470165555489e-05
"126",0.000989968225577509
"127",1e-15
"128",1e-15
"129",1e-15
"130",1e-15
"131",6.38360879856581e-06
"132",1e-15
"133",1e-15
"134",1e-15
"135",1e-15
"136",0.000967849000247711
"137",1e-15
"138",0.00598746939437345
"139",0.000894269014192872
"140",1e-15
"141",1.04136059588811e-05
"142",1e-15
"143",0.00497078055995392
"144",1e-15
"145",0.000948600569584568
"146",0.000970333607137608
"147",1e-15
"148",1e-15
"149",1e-15
"150",1e-15
"151",1e-15
"152",1e-15
"153",1e-15
"154",0.00276206043288219
"155",0.0012120682259309
"156",1e-15
"157",1e-15
"158",1e-15
"159",6.28398256097285e-06
"160",1e-15
"161",1e-15
"162",1e-15
"163",3.12358551135539e-07
"164",1.09469409248497e-06
"165",0.00155011471150346
"166",1e-15
"167",1e-15
"168",0.00108969639794843
"169",2.24211838323329e-05
"170",1e-15
"171",1e-15
"172",1e-15
"173",1e-15
"174",0.000430034872516583
"175",1e-15
"176",1e-15
"177",1e-15
"178",2.81524855871851e-07
"179",1e-15
"180",0.00308933055647398
"181",1.10586051205175e-07
"182",1e-15
"183",1e-15
"184",1e-15
"185",0.000122104867373851
"186",0.00149267788408802
"187",0.000259392873457109
"188",0.00034891931643144
"189",1e-15
"190",3.41356184319075e-07
"191",1e-15
"192",1e-15
"193",1e-15
"194",1e-15
"195",0.00132745857317373
"196",1e-15
"197",1e-15
"198",1e-15
"199",1e-15
"200",3.49175184344297e-06
"201",1e-15
"202",1e-15
"203",1e-15
"204",1e-15
"205",1e-15
"206",1e-15
"207",3.10032274476457e-05
"208",1e-15
"209",1e-15
"210",7.64726614962408e-05
"211",1e-15
"212",0.000635250891400374
"213",1e-15
"214",0.000186621755603023
"215",1e-15
"216",0.000483706208782686
"217",0.000881386389884997
"218",7.64669377345539e-05
"219",0.00014778184381592
"220",1e-15
"221",8.78713682597176e-05
"222",1e-15
"223",4.12497849144877e-05
"224",1.91888581487776e-05
"225",2.25879761371894e-05
"226",1e-15
"227",0.000121009544861606
"228",0.000179396807682974
"229",3.30944725120963e-05
"230",0.00395221542853785
"231",1e-15
"232",1.62199808663166e-05
"233",5.94140487042427e-06
"234",0.0020073115571887
"235",1e-15
"236",4.06153962427824e-05
"237",1e-15
"238",0.0018077443671155
"239",1e-15
"240",0.0183333295629362
"241",0.000113935024205314
"242",1e-15
"243",1e-15
"244",1.39195989429242e-05
"245",0.00202769411909143
"246",6.07385826190132e-07
"247",1e-15
"248",1e-15
"249",0.000426333109488586
"250",1e-15
"251",0.00144212125308252
"252",0.00115203068454239
"253",1e-15
"254",1e-15
"255",4.24123776210372e-06
"256",5.45060227168381e-05
"257",0.000573012711380105
"258",1e-15
"259",0.000150496344317852
"260",1.94857561049977e-05
"261",1.23605796983339e-05
"262",1e-15
"263",1e-15
"264",1e-15
"265",1e-15
"266",1.60081615200314e-05
"267",0.00942958984177888
"268",1e-15
"269",1e-15
"270",1e-15
"271",1e-15
"272",0.000294670579163325
"273",2.42673216299671e-07
"274",0.00200594412039168
"275",1e-15
"276",0.00150663723569089
"277",1e-15
"278",2.94870981680795e-05
"279",1e-15
"280",1e-15
"281",1e-15
"282",1e-15
"283",1.30864032954481e-05
"284",0.000733922253710717
"285",9.96837778421966e-06
"286",0.000782941321594177
"287",0.0102150844710824
"288",1e-15
"289",0.00042617950464463
"290",2.224631654002e-06
"291",0.00125404372710824
"292",0.0011582832546605
"293",3.16287563266737e-05
"294",1e-15
"295",0.00354634442134816
"296",1.12802505979337e-05
"297",1e-15
"298",1e-15
"299",1e-15
"300",1e-15
"301",1e-15
"302",1e-15
"303",7.66671445773248e-07
"304",1e-15
"305",1e-15
"306",1e-15
"307",0.00016347278015616
"308",1e-15
"309",0.00186299597861916
"310",1e-15
"311",1e-15
"312",9.88382396160947e-06
"313",1e-15
"314",1e-15
"315",6.74270264078292e-06
"316",0.000674427019481172
"317",0.00212672014047843
"318",2.38905201378481e-05
"319",7.15861999806e-05
"320",0.00244562428217876
"321",1e-15
"322",1.7593979392716e-05
"323",0.00184219695925569
"324",1e-15
"325",6.14480694763886e-05
"326",7.81884474364558e-05
"327",0.0065328903179499
"328",1e-15
"329",0.000233059031530258
"330",0.000888105950253237
"331",1e-15
"332",2.12369270792268e-05
"333",1e-15
"334",3.17284759532299e-06
"335",0.000318467204840522
"336",1e-15
"337",0.000678491083542787
"338",1e-15
"339",9.00535192623897e-05
"340",0.0233269642810978
"341",1e-15
"342",7.15927375138925e-06
"343",1e-15
"344",0.0491574414760713
"345",0.00187093530667548
"346",1e-15
"347",1e-15
"348",1e-15
"349",1e-15
"350",1e-15
"351",1e-15
"352",1e-15
"353",1e-15
"354",1e-15
"355",0.016387478631158
"356",0.000251109390845161
"357",6.50127045198623e-07
"358",0.000451980522613304
"359",1e-15
"360",1e-15
"361",1e-15
"362",0.00121664978277269
"363",1.29779087298942e-06
"364",0.000807264473495883
"365",6.21255236965546e-06
"366",1e-15
"367",1e-15
"368",1e-15
"369",1e-15
"370",3.16846206646071e-05
"371",1e-15
"372",0.00873612553645531
"373",1e-15
"374",1e-15
"375",1e-15
"376",6.60791399120786e-06
"377",1e-15
"378",1e-15
"379",1e-15
"380",1e-15
"381",3.54336822772083e-07
"382",0.00183136866995415
"383",1e-15
"384",1.5043806110171e-05
"385",1e-15
"386",1e-15
"387",1e-15
"388",3.38911774078188e-06
"389",1e-15
"390",1e-15
"391",7.42188990296988e-05
"392",1e-15
"393",1e-15
"394",8.18064945095065e-05
"395",1e-15
"396",5.01646867101524e-06
"397",1e-15
"398",1e-15
"399",1e-15
"400",1e-15
"401",1e-15
"402",0.000672771054863186
"403",1e-15
"404",0.000163137558687465
"405",8.288964556602e-05
"406",1e-15
"407",1e-15
"408",0.00168738087044173
"409",4.42443543909876e-05
"410",1e-15
"411",1e-15
"412",0.000267041409453883
"413",0.000158417338568473
"414",1e-15
"415",1e-15
"416",1e-15
"417",1e-15
"418",1e-15
"419",1e-15
"420",2.49059461499002e-07
"421",1e-15
"422",1e-15
"423",1e-15
"424",3.66240826543685e-06
"425",1.1640463541962e-05
"426",1e-15
"427",1e-15
"428",1e-15
"429",1e-15
"430",1e-15
"431",0.000333541644141899
"432",1e-15
"433",1e-15
"434",0.00152952442867405
"435",7.3706329994927e-07
"436",0.000547180922386814
"437",8.66078375683088e-07
"438",1e-15
"439",1e-15
"440",0.000143285610025523
"441",1e-15
"442",9.61257299936236e-06
"443",0.00108439005335204
"444",1e-15
"445",1e-15
"446",1e-15
"447",0.00851993108265214
"448",9.48087121828145e-05
"449",1e-15
"450",1e-15
"451",0.000181399091260137
"452",1e-15
"453",1e-15
"454",1e-15
"455",0.00114687240451516
"456",1e-15
"457",0.000495073906404242
"458",1e-15
"459",0.000156833275736123
"460",0.0200742427704924
"461",1e-15
"462",1e-15
"463",1e-15
"464",0.000872935237422268
"465",6.99679865397984e-05
"466",1.11365359174442e-05
"467",0.00223231557547288
"468",1e-15
"469",0.0225461307266109
"470",0.000464487892509191
"471",1e-15
"472",0.000213566586561464
"473",0.000126711108589195
"474",1e-15
"475",1e-15
"476",1e-15
"477",1e-15
"478",1e-15
"479",1e-15
"480",1e-15
"481",0.00853337815083122
"482",1e-15
"483",1e-15
"484",8.51917911416367e-05
"485",0.00160546609097378
"486",3.11398738128688e-07
"487",1e-15
"488",1e-15
"489",0.00284582952614076
"490",1e-15
"491",1.31685245121638e-05
"492",0.00292971737087311
"493",1e-15
"494",8.46024146483604e-06
"495",1e-15
"496",0.000160738728181675
"497",1e-15
"498",2.80188194712316e-06
"499",1e-15
"500",0.000264177080256167
"501",1e-15
"502",1.22244167521934e-06
"503",1e-15
"504",0.000126082539450789
"505",2.24224350708901e-06
"506",1e-15
"507",1.31280754142038e-05
"508",8.36627345398577e-05
"509",1e-15
"510",1e-15
"511",1e-15
"512",1e-15
"513",1e-15
"514",1e-15
"515",1e-15
"516",1e-15
"517",1e-15
"518",1e-15
"519",2.45437805377335e-05
"520",1e-15
"521",0.000124217015323613
"522",1e-15
"523",1e-15
"524",1.69473812511312e-05
"525",0.000646727500253297
"526",1e-15
"527",1e-15
"528",1e-15
"529",0.0174149962998243
"530",1.59456732946595e-05
"531",2.75546093697621e-06
"532",1e-15
"533",0.000118913788813457
"534",1e-15
"535",0.00193626376183709
"536",2.70591729275571e-05
"537",0.00153917411405935
"538",1e-15
"539",1e-15
"540",1e-15
"541",8.69267377061611e-05
"542",1e-15
"543",0.000303268101001786
"544",3.60475021160545e-05
"545",0.000161361176708064
"546",1e-15
"547",0.000252440959661926
"548",1e-15
"549",1e-15
"550",1e-15
"551",1e-15
"552",1e-15
"553",0.0182947272394993
"554",0.000305718423180057
"555",1e-15
"556",5.97376409317008e-05
"557",1e-15
"558",1e-15
"559",1e-15
"560",0.00117073190946426
"561",1e-15
"562",1e-15
"563",1e-15
"564",1e-15
"565",1e-15
"566",1e-15
"567",1.50585841236506e-05
"568",1.16917119286075e-06
"569",6.47769267442255e-05
"570",0.00144091101158672
"571",0.000354306631171419
"572",1e-15
"573",0.000328701342892757
"574",0.000257463791452084
"575",1e-15
"576",4.10260738409329e-05
"577",1e-15
"578",1e-15
"579",1e-15
"580",1e-15
"581",0.000305327982747183
"582",1e-15
"583",1e-15
"584",1e-15
"585",0.000164433437351841
"586",0.000220655203581277
"587",1e-15
"588",0.000284307425974073
"589",0.000152672517709451
"590",1e-15
"591",1e-15
"592",0.000172639914792105
"593",0.00305028848246791
