"","x"
"1",0.000105989912727145
"2",5.52670768294572e-06
"3",0.000350348731578354
"4",1e-15
"5",0.000109429773818559
"6",1e-15
"7",0.000104243270490412
"8",3.4307293013125e-05
"9",0.0139236352579272
"10",0.0173073751921529
"11",4.97679247113414e-06
"12",2.36235498130011e-06
"13",0.00250954316211127
"14",0.00120321810102908
"15",7.86859979973187e-06
"16",7.3384661984921e-06
"17",0.0234636916903422
"18",1e-15
"19",9.63558328681557e-05
"20",0.00198384708382182
"21",1.2903347319515e-06
"22",3.38872274223689e-05
"23",0.000198012340279941
"24",3.71261508802512e-06
"25",8.69989653962122e-06
"26",1e-15
"27",0.000162598745795273
"28",0.000176243183128033
"29",1.31273635806117e-06
"30",6.26435582540275e-06
"31",0.000380669369249298
"32",0.00125562540794022
"33",0.000643577190007738
"34",1e-15
"35",4.49555554238312e-06
"36",0.00425591499008682
"37",1.37475298478407e-07
"38",0.000627787982820815
"39",1.857451800924e-05
"40",0.000101461682933568
"41",1e-15
"42",0.000112264430202957
"43",7.73569629001214e-05
"44",7.60976393565649e-07
"45",1e-15
"46",3.4984725449938e-07
"47",0.000400055728464133
"48",3.94910040912855e-06
"49",9.24896335765535e-05
"50",0.00363829569001262
"51",0.000103243610731329
"52",0.000101859624526357
"53",0.00102617584767339
"54",0.00384508818390195
"55",1.64977368354302e-05
"56",4.51748463441426e-05
"57",0.000116491500702143
"58",0.00149658733742231
"59",0.000437541617690496
"60",1.54229617258528e-05
"61",3.68997139132965e-05
"62",1e-15
"63",1e-15
"64",0.00211475789512183
"65",9.30330228686715e-05
"66",0.00393930511679585
"67",3.19647874313933e-06
"68",1.1059523688961e-05
"69",3.23659853016522e-05
"70",1.40848535945537e-06
"71",0.000104487127081554
"72",6.63314247384417e-06
"73",4.26902363503956e-06
"74",1e-15
"75",0.000304483758344243
"76",5.82608666899187e-06
"77",0.000122605053171632
"78",1.25722378458981e-05
"79",4.73471379913715e-06
"80",1e-15
"81",0.000249088355259275
"82",5.39283121721024e-05
"83",1e-15
"84",2.11769564562037e-06
"85",1e-15
"86",1e-15
"87",7.3823146695684e-07
"88",1e-15
"89",2.36804413905611e-05
"90",3.61306392623328e-05
"91",1e-15
"92",2.37639645939147e-06
"93",1e-15
"94",0.00086976738605582
"95",0.000395918899175562
"96",1e-15
"97",0.0026134417324456
"98",1e-15
"99",1e-15
"100",0.000355548487021351
"101",0.000849776987745687
"102",0.000191782393936468
"103",9.5436748975386e-05
"104",1.82558694103996e-05
"105",6.35773130119865e-06
"106",5.01092911608936e-09
"107",0.00121540421152955
"108",4.7861066678756e-06
"109",1e-15
"110",1.6989676798751e-07
"111",1e-15
"112",2.65301155177866e-06
"113",0.000103074524395175
"114",7.70950023598616e-07
"115",0.00338682763379483
"116",2.5770324706742e-05
"117",1.10612222431472e-05
"118",3.62296944622642e-06
"119",1e-15
"120",6.08466592161294e-05
"121",2.57791423974307e-06
"122",0.00108748117379376
"123",0.000290259514827973
"124",9.44498071819844e-06
"125",8.48140340181658e-08
"126",0.000103840189161652
"127",2.33554101469746e-06
"128",1e-15
"129",0.00297487175916111
"130",2.87504813036854e-05
"131",1.97660702362379e-05
"132",1e-15
"133",0.00130338523654094
"134",3.65517409783855e-07
"135",3.91128898943327e-05
"136",3.04919167588569e-05
"137",1e-15
"138",1e-15
"139",0.00826720728379027
"140",0.00166408689093611
"141",4.80163554826829e-05
"142",1e-15
"143",4.79238977388885e-05
"144",2.76763423290305e-09
"145",1.36702283495271e-05
"146",0.000101516605509944
"147",0.00070461292405799
"148",0.000100352758684363
"149",0.000383635151501749
"150",2.79362970534436e-08
"151",2.57924371749318e-07
"152",1e-15
"153",5.19205355653529e-06
"154",1e-15
"155",1e-15
"156",1.3712151416545e-06
"157",0.000223213607437267
"158",0.014636436609038
"159",0.00364211115199986
"160",5.91237126107425e-05
"161",1.44186039274796e-06
"162",2.25805473563767e-06
"163",7.99618215863163e-07
"164",1e-15
"165",1.99123227495601e-06
"166",0.00250659894409588
"167",0.000191278878762802
"168",2.0299715669525e-06
"169",1e-15
"170",0.00361636818404265
"171",1e-15
"172",8.69784695086695e-05
"173",0.0026006074912317
"174",1e-15
"175",0.00061502211085851
"176",2.11069928535146e-07
"177",0.000753179411574045
"178",1e-15
"179",1e-15
"180",6.92780541722282e-06
"181",0.00213507095962018
"182",2.92793128773283e-05
"183",3.83665364176444e-05
"184",3.56746802543384e-07
"185",1e-15
"186",1e-15
"187",1.04326709149394e-05
"188",1.85551569398257e-06
"189",1.08331483410495e-05
"190",7.63927379432428e-06
"191",1.08490416870222e-05
"192",8.35733068083044e-07
"193",1e-15
"194",1e-15
"195",1e-15
"196",1.84836336103444e-05
"197",1e-15
"198",1e-15
"199",1e-15
"200",0.000143970655033021
"201",9.64238692779951e-07
"202",1e-15
"203",8.38528741662348e-05
"204",0.0311479617522091
"205",8.00255246891091e-06
"206",0.000306639303751077
"207",1e-15
"208",5.14939796636416e-06
"209",4.53655988392754e-05
"210",8.84060541461729e-06
"211",9.35149534094792e-05
"212",1e-15
"213",0.00130491120539744
"214",2.29003780681802e-05
"215",1e-15
"216",0.00099845604303439
"217",4.6532989440573e-06
